CAN Message; 0x1bb:0000bfa78c8f05cb
Timestamp;Amplitude
1739209745.7839231;-45.120503652039325
1739209745.7839255;-45.120503652039325
1739209745.7839282;-45.120503652039325
1739209745.7839305;-45.120503652039325
1739209745.7839332;-45.120503652039325
1739209745.7839355;-45.120503652039325
1739209745.7839382;-45.120503652039325
1739209745.7839406;-38.13080360867914
1739209745.7839432;-38.13080360867914
1739209745.7839456;-45.120503652039325
1739209745.7839482;-38.13080360867914
1739209745.7839506;-33.981070128970906
1739209745.7839532;-45.120503652039325
1739209745.7839556;-38.13080360867914
1739209745.7839582;-35.57807855764607
1739209745.7839606;-35.57807855764607
1739209745.7839632;-45.120503652039325
1739209745.7839656;-38.13080360867914
1739209745.7839682;-38.13080360867914
1739209745.7839706;-38.13080360867914
1739209745.7839732;-38.13080360867914
1739209745.7839756;-45.120503652039325
1739209745.7839782;-45.120503652039325
1739209745.7839806;-32.816014438256545
1739209745.7839832;-35.57807855764607
1739209745.7839856;-45.120503652039325
1739209745.7839882;-38.13080360867914
1739209745.7839906;-35.57807855764607
1739209745.7839932;-38.13080360867914
1739209745.7839956;-38.13080360867914
1739209745.7839983;-38.13080360867914
1739209745.7840006;-45.120503652039325
1739209745.7840033;-38.13080360867914
1739209745.7840056;-38.13080360867914
1739209745.7840083;-45.120503652039325
1739209745.7840106;-35.57807855764607
1739209745.7840133;-38.13080360867914
1739209745.7840157;-38.13080360867914
1739209745.7840183;-38.13080360867914
1739209745.7840207;-45.120503652039325
1739209745.7840233;-38.13080360867914
1739209745.7840257;-45.120503652039325
1739209745.7840283;-38.13080360867914
1739209745.7840307;-38.13080360867914
1739209745.7840333;-38.13080360867914
1739209745.7840357;-35.57807855764607
1739209745.7840383;-38.13080360867914
1739209745.7840407;-45.120503652039325
1739209745.7840433;-38.13080360867914
1739209745.7840457;-38.13080360867914
1739209745.7840483;-45.120503652039325
1739209745.7840507;-38.13080360867914
1739209745.7840533;-38.13080360867914
1739209745.7840557;-35.57807855764607
1739209745.7840583;-38.13080360867914
1739209745.7840607;-38.13080360867914
1739209745.7840633;-38.13080360867914
1739209745.7840657;-45.120503652039325
1739209745.7840683;-45.120503652039325
1739209745.7840707;-38.13080360867914
1739209745.7840734;-33.981070128970906
1739209745.7840757;-38.13080360867914
1739209745.7840784;-33.981070128970906
1739209745.784081;-45.120503652039325
1739209745.7840834;-45.120503652039325
1739209745.784086;-35.57807855764607
1739209745.7840884;-38.13080360867914
1739209745.784091;-45.120503652039325
1739209745.7840934;-35.57807855764607
1739209745.784096;-35.57807855764607
1739209745.7840984;-38.13080360867914
1739209745.784101;-45.120503652039325
1739209745.7841034;-33.981070128970906
1739209745.784106;-38.13080360867914
1739209745.7841084;-38.13080360867914
1739209745.784111;-45.120503652039325
1739209745.7841134;-38.13080360867914
1739209745.784116;-45.120503652039325
1739209745.7841184;-45.120503652039325
