CAN Message; 0x1d3:000062ce0e88564c
Timestamp;Amplitude
1739209716.0024872;-30.49652367304973
1739209716.002497;-38.13080360867914
1739209716.0025067;-45.120503652039325
1739209716.0025165;-38.13080360867914
1739209716.0025263;-35.57807855764607
1739209716.0025363;-38.13080360867914
1739209716.002546;-45.120503652039325
1739209716.0025558;-45.120503652039325
1739209716.0025656;-38.13080360867914
1739209716.0025754;-38.13080360867914
1739209716.0025852;-45.120503652039325
1739209716.002595;-45.120503652039325
1739209716.0026047;-45.120503652039325
1739209716.0026145;-38.13080360867914
1739209716.0026243;-38.13080360867914
1739209716.0026343;-45.120503652039325
1739209716.002644;-24.746238672633048
1739209716.0026538;-35.57807855764607
1739209716.0026636;-45.120503652039325
1739209716.0026734;-45.120503652039325
1739209716.0026832;-32.816014438256545
1739209716.002693;-38.13080360867914
1739209716.0027027;-38.13080360867914
1739209716.0027125;-38.13080360867914
1739209716.0027223;-45.120503652039325
1739209716.0027323;-45.120503652039325
1739209716.002742;-45.120503652039325
1739209716.0027518;-45.120503652039325
1739209716.0027616;-35.57807855764607
1739209716.0027714;-38.13080360867914
1739209716.0027812;-45.120503652039325
1739209716.002791;-45.120503652039325
1739209716.0028007;-35.57807855764607
1739209716.0028105;-35.57807855764607
1739209716.0028203;-45.120503652039325
1739209716.00283;-45.120503652039325
1739209716.00284;-45.120503652039325
1739209716.0028498;-33.981070128970906
1739209716.0028596;-45.120503652039325
1739209716.0028694;-45.120503652039325
1739209716.0028791;-31.141103565318893
1739209716.002889;-38.13080360867914
1739209716.0028987;-45.120503652039325
1739209716.0029085;-45.120503652039325
1739209716.0029182;-38.13080360867914
1739209716.002928;-38.13080360867914
1739209716.002938;-32.816014438256545
1739209716.0029478;-38.13080360867914
1739209716.0029576;-45.120503652039325
1739209716.0029674;-45.120503652039325
1739209716.0029771;-38.13080360867914
1739209716.002987;-38.13080360867914
1739209716.0029967;-45.120503652039325
1739209716.0030065;-38.13080360867914
1739209716.0030162;-38.13080360867914
1739209716.003026;-45.120503652039325
1739209716.003036;-38.13080360867914
1739209716.0030458;-38.13080360867914
1739209716.0030556;-38.13080360867914
1739209716.0030653;-35.57807855764607
1739209716.0030751;-45.120503652039325
1739209716.003085;-38.13080360867914
1739209716.0030947;-35.57807855764607
1739209716.0031044;-45.120503652039325
1739209716.0031142;-45.120503652039325
1739209716.003124;-38.13080360867914
1739209716.0031338;-45.120503652039325
1739209716.0031438;-45.120503652039325
1739209716.0031536;-38.13080360867914
1739209716.0031633;-35.57807855764607
1739209716.003173;-45.120503652039325
1739209716.003183;-45.120503652039325
1739209716.0031927;-35.57807855764607
1739209716.0032024;-31.141103565318915
1739209716.0032122;-45.120503652039325
1739209716.003222;-45.120503652039325
1739209716.0032318;-38.13080360867914
1739209716.0032418;-33.981070128970906
1739209716.0032516;-38.13080360867914
1739209716.0032613;-38.13080360867914
1739209716.003271;-45.120503652039325
1739209716.0032809;-33.981070128970906
1739209716.0032907;-45.120503652039325
1739209716.0033004;-45.120503652039325
1739209716.0033102;-45.120503652039325
1739209716.00332;-45.120503652039325
1739209716.0033298;-38.13080360867914
1739209716.0033398;-38.13080360867914
1739209716.0033495;-45.120503652039325
1739209716.0033593;-31.14110356531892
1739209716.003369;-38.13080360867914
1739209716.0033789;-38.13080360867914
1739209716.0033886;-45.120503652039325
1739209716.0033984;-38.13080360867914
1739209716.0034082;-38.13080360867914
1739209716.003418;-38.13080360867914
1739209716.0034277;-45.120503652039325
1739209716.0034375;-31.141103565318915
1739209716.0034475;-38.13080360867914
1739209716.0034573;-45.120503652039325
1739209716.003467;-38.13080360867914
1739209716.0034769;-33.981070128970906
1739209716.0034866;-38.13080360867914
1739209716.0034964;-38.13080360867914
1739209716.0035062;-45.120503652039325
1739209716.003516;-33.981070128970906
1739209716.0035257;-38.13080360867914
1739209716.0035355;-38.13080360867914
1739209716.0035455;-45.120503652039325
1739209716.0035553;-38.13080360867914
