CAN Message; 0x150:05009972cffd9302
Timestamp;Amplitude
1739209673.1266673;-38.13080360867914
1739209673.1266751;-32.816014438256545
1739209673.1266832;-45.120503652039325
1739209673.126691;-38.13080360867914
1739209673.126699;-38.13080360867914
1739209673.1267068;-38.13080360867914
1739209673.1267147;-31.141103565318915
1739209673.1267228;-38.13080360867914
1739209673.1267307;-45.120503652039325
1739209673.1267385;-45.120503652039325
1739209673.1267464;-38.13080360867914
1739209673.1267543;-45.120503652039325
1739209673.1267624;-38.13080360867914
1739209673.1267703;-35.57807855764607
1739209673.1267781;-38.13080360867914
1739209673.126786;-45.120503652039325
1739209673.1267939;-38.13080360867914
1739209673.126802;-30.49652367304973
1739209673.1268098;-35.57807855764607
1739209673.1268177;-33.981070128970906
1739209673.1268256;-38.13080360867914
1739209673.1268334;-38.13080360867914
1739209673.1268415;-45.120503652039325
1739209673.1268494;-45.120503652039325
1739209673.1268573;-45.120503652039325
1739209673.1268651;-45.120503652039325
1739209673.126873;-45.120503652039325
1739209673.1268811;-45.120503652039325
1739209673.126889;-38.13080360867914
1739209673.1268969;-35.57807855764607
1739209673.1269047;-38.13080360867914
1739209673.1269126;-45.120503652039325
1739209673.1269207;-38.13080360867914
1739209673.1269286;-33.981070128970906
1739209673.1269364;-38.13080360867914
1739209673.1269443;-45.120503652039325
1739209673.1269524;-45.120503652039325
1739209673.1269603;-33.981070128970906
1739209673.1269681;-35.57807855764607
1739209673.126976;-45.120503652039325
1739209673.126984;-45.120503652039325
1739209673.126992;-38.13080360867914
1739209673.1269999;-38.13080360867914
1739209673.1270077;-45.120503652039325
1739209673.1270156;-45.120503652039325
1739209673.1270235;-45.120503652039325
1739209673.1270316;-38.13080360867914
1739209673.1270394;-38.13080360867914
1739209673.1270473;-38.13080360867914
1739209673.1270552;-38.13080360867914
1739209673.127063;-38.13080360867914
1739209673.1270711;-45.120503652039325
1739209673.127079;-45.120503652039325
1739209673.1270869;-30.49652367304973
1739209673.1270947;-38.13080360867914
1739209673.1271026;-38.13080360867914
1739209673.1271107;-45.120503652039325
1739209673.1271186;-35.57807855764607
1739209673.1271265;-35.57807855764607
1739209673.1271343;-45.120503652039325
1739209673.1271422;-38.13080360867914
1739209673.1271503;-45.120503652039325
1739209673.1271582;-45.120503652039325
1739209673.127166;-45.120503652039325
1739209673.127174;-45.120503652039325
1739209673.1271818;-38.13080360867914
1739209673.1271899;-45.120503652039325
1739209673.1271977;-35.57807855764607
1739209673.1272056;-45.120503652039325
1739209673.1272135;-31.141103565318893
1739209673.1272213;-32.816014438256545
1739209673.1272295;-38.13080360867914
1739209673.1272373;-35.57807855764607
1739209673.1272452;-38.13080360867914
1739209673.127253;-35.57807855764607
1739209673.127261;-38.13080360867914
1739209673.127269;-38.13080360867914
1739209673.127277;-45.120503652039325
1739209673.1272848;-45.120503652039325
1739209673.1272926;-38.13080360867914
1739209673.1273005;-38.13080360867914
1739209673.1273086;-45.120503652039325
1739209673.1273165;-45.120503652039325
1739209673.1273243;-35.57807855764607
1739209673.1273322;-38.13080360867914
