CAN Message; 0x1a7:0000d45a491b11cf
Timestamp;Amplitude
1739209816.392714;-38.13080360867914
1739209816.3927186;-45.120503652039325
1739209816.3927228;-38.13080360867914
1739209816.3927274;-38.13080360867914
1739209816.3927317;-45.120503652039325
1739209816.392736;-38.13080360867914
1739209816.3927405;-45.120503652039325
1739209816.3927448;-38.13080360867914
1739209816.392749;-38.13080360867914
1739209816.3927536;-45.120503652039325
1739209816.392758;-45.120503652039325
1739209816.3927624;-45.120503652039325
1739209816.3927667;-35.57807855764607
1739209816.392771;-38.13080360867914
1739209816.3927755;-38.13080360867914
1739209816.3927798;-38.13080360867914
1739209816.3927844;-38.13080360867914
1739209816.3927886;-38.13080360867914
1739209816.392793;-45.120503652039325
1739209816.3927975;-45.120503652039325
1739209816.3928018;-45.120503652039325
1739209816.3928063;-45.120503652039325
1739209816.3928106;-35.57807855764607
1739209816.3928149;-38.13080360867914
1739209816.3928194;-45.120503652039325
1739209816.3928237;-38.13080360867914
1739209816.392828;-38.13080360867914
1739209816.3928325;-38.13080360867914
1739209816.3928368;-45.120503652039325
1739209816.3928413;-38.13080360867914
1739209816.3928456;-38.13080360867914
1739209816.39285;-38.13080360867914
1739209816.3928545;-45.120503652039325
1739209816.3928587;-38.13080360867914
1739209816.3928633;-38.13080360867914
1739209816.3928676;-45.120503652039325
1739209816.3928719;-45.120503652039325
1739209816.3928764;-38.13080360867914
1739209816.3928807;-35.57807855764607
1739209816.392885;-33.981070128970906
1739209816.3928895;-38.13080360867914
1739209816.3928938;-38.13080360867914
1739209816.3928983;-35.57807855764607
1739209816.3929026;-35.57807855764607
1739209816.392907;-35.57807855764607
1739209816.3929114;-38.13080360867914
1739209816.3929157;-32.816014438256545
1739209816.3929203;-33.981070128970906
1739209816.3929245;-45.120503652039325
1739209816.3929288;-38.13080360867914
1739209816.3929334;-38.13080360867914
1739209816.3929377;-33.981070128970906
1739209816.392942;-45.120503652039325
1739209816.3929465;-45.120503652039325
1739209816.3929508;-45.120503652039325
1739209816.3929553;-45.120503652039325
1739209816.3929596;-45.120503652039325
1739209816.392964;-45.120503652039325
1739209816.3929684;-45.120503652039325
1739209816.3929727;-33.981070128970906
1739209816.3929772;-38.13080360867914
1739209816.3929815;-38.13080360867914
1739209816.3929858;-45.120503652039325
1739209816.3929904;-31.141103565318915
1739209816.3929946;-35.57807855764607
1739209816.3929992;-35.57807855764607
1739209816.3930035;-33.981070128970906
1739209816.3930078;-45.120503652039325
1739209816.3930123;-38.13080360867914
1739209816.3930166;-45.120503652039325
1739209816.3930209;-45.120503652039325
1739209816.3930254;-38.13080360867914
1739209816.3930297;-38.13080360867914
1739209816.3930342;-38.13080360867914
1739209816.3930385;-45.120503652039325
1739209816.3930428;-45.120503652039325
1739209816.3930473;-45.120503652039325
1739209816.3930516;-38.13080360867914
1739209816.3930562;-45.120503652039325
1739209816.3930604;-28.992665084841942
1739209816.3930647;-33.981070128970906
1739209816.3930693;-45.120503652039325
1739209816.3930736;-38.13080360867914
1739209816.3930779;-35.57807855764607
1739209816.3930824;-38.13080360867914
1739209816.3930867;-38.13080360867914
1739209816.3930912;-38.13080360867914
1739209816.3930955;-45.120503652039325
1739209816.3930998;-45.120503652039325
1739209816.3931043;-38.13080360867914
1739209816.3931086;-38.13080360867914
1739209816.3931131;-45.120503652039325
1739209816.3931174;-45.120503652039325
1739209816.3931217;-45.120503652039325
1739209816.3931262;-35.57807855764607
1739209816.3931305;-38.13080360867914
1739209816.393135;-45.120503652039325
1739209816.3931394;-38.13080360867914
1739209816.3931437;-38.13080360867914
1739209816.3931482;-45.120503652039325
1739209816.3931525;-45.120503652039325
1739209816.3931568;-35.57807855764607
1739209816.3931613;-38.13080360867914
1739209816.3931656;-32.816014438256545
1739209816.39317;-30.49652367304973
1739209816.3931744;-45.120503652039325
1739209816.3931787;-38.13080360867914
1739209816.3931832;-35.57807855764607
1739209816.3931875;-38.13080360867914
1739209816.393192;-38.13080360867914
1739209816.3931963;-32.816014438256545
1739209816.3932006;-45.120503652039325
1739209816.3932052;-29.438486411369375
1739209816.3932095;-38.13080360867914
1739209816.3932137;-35.57807855764607
1739209816.3932183;-45.120503652039325
1739209816.3932226;-45.120503652039325
1739209816.393227;-33.981070128970906
1739209816.3932314;-45.120503652039325
1739209816.3932357;-38.13080360867914
1739209816.3932402;-31.141103565318893
1739209816.3932445;-45.120503652039325
1739209816.393249;-45.120503652039325
1739209816.3932533;-45.120503652039325
1739209816.3932576;-45.120503652039325
1739209816.3932621;-45.120503652039325
1739209816.3932664;-45.120503652039325
1739209816.393271;-45.120503652039325
1739209816.3932753;-45.120503652039325
1739209816.3932796;-38.13080360867914
1739209816.393284;-38.13080360867914
1739209816.3932884;-38.13080360867914
1739209816.3932927;-45.120503652039325
1739209816.3932972;-45.120503652039325
1739209816.3933015;-45.120503652039325
1739209816.393306;-45.120503652039325
1739209816.3933103;-38.13080360867914
1739209816.3933146;-38.13080360867914
1739209816.3933191;-45.120503652039325
1739209816.3933234;-38.13080360867914
1739209816.393328;-38.13080360867914
1739209816.3933322;-38.13080360867914
1739209816.3933365;-38.13080360867914
1739209816.393341;-45.120503652039325
1739209816.3933454;-35.57807855764607
1739209816.3933496;-38.13080360867914
1739209816.3933542;-38.13080360867914
1739209816.3933585;-35.57807855764607
1739209816.393363;-38.13080360867914
1739209816.3933673;-45.120503652039325
1739209816.3933716;-45.120503652039325
1739209816.393376;-38.13080360867914
1739209816.3933804;-45.120503652039325
1739209816.393385;-38.13080360867914
1739209816.3933892;-45.120503652039325
1739209816.3933935;-45.120503652039325
1739209816.393398;-45.120503652039325
1739209816.3934023;-45.120503652039325
1739209816.3934066;-38.13080360867914
1739209816.3934112;-45.120503652039325
1739209816.3934155;-45.120503652039325
1739209816.39342;-45.120503652039325
1739209816.3934243;-38.13080360867914
1739209816.3934286;-38.13080360867914
1739209816.393433;-45.120503652039325
1739209816.3934374;-38.13080360867914
1739209816.393442;-38.13080360867914
1739209816.3934462;-45.120503652039325
1739209816.3934505;-38.13080360867914
1739209816.393455;-38.13080360867914
1739209816.3934593;-35.57807855764607
1739209816.3934639;-38.13080360867914
1739209816.3934681;-38.13080360867914
1739209816.3934724;-33.981070128970906
1739209816.393477;-38.13080360867914
1739209816.3934813;-38.13080360867914
1739209816.3934855;-38.13080360867914
1739209816.39349;-33.981070128970906
1739209816.3934944;-45.120503652039325
1739209816.393499;-45.120503652039325
1739209816.3935032;-45.120503652039325
1739209816.3935075;-38.13080360867914
1739209816.393512;-35.57807855764607
1739209816.3935163;-38.13080360867914
1739209816.3935208;-45.120503652039325
1739209816.3935251;-31.141103565318915
1739209816.3935294;-35.57807855764607
1739209816.393534;-38.13080360867914
1739209816.3935382;-35.57807855764607
1739209816.3935425;-33.981070128970906
1739209816.393547;-45.120503652039325
1739209816.3935513;-38.13080360867914
1739209816.3935559;-45.120503652039325
1739209816.3935602;-38.13080360867914
1739209816.3935645;-38.13080360867914
1739209816.393569;-45.120503652039325
1739209816.3935733;-38.13080360867914
1739209816.3935778;-38.13080360867914
1739209816.393582;-45.120503652039325
1739209816.3935864;-38.13080360867914
1739209816.393591;-38.13080360867914
1739209816.3935952;-33.981070128970906
1739209816.3935997;-45.120503652039325
1739209816.393604;-45.120503652039325
1739209816.3936083;-45.120503652039325
1739209816.3936129;-45.120503652039325
1739209816.3936172;-45.120503652039325
1739209816.3936214;-38.13080360867914
1739209816.393626;-38.13080360867914
1739209816.3936303;-31.141103565318915
1739209816.3936348;-45.120503652039325
1739209816.393639;-38.13080360867914
1739209816.3936434;-38.13080360867914
1739209816.393648;-35.57807855764607
1739209816.3972;-45.120503652039325
1739209816.3972018;-45.120503652039325
1739209816.3972032;-45.120503652039325
1739209816.3972046;-38.13080360867914
1739209816.3972063;-38.13080360867914
1739209816.3972077;-33.981070128970906
1739209816.3972092;-45.120503652039325
1739209816.3972106;-32.816014438256545
1739209816.3972123;-26.991370085610736
1739209816.3972137;-38.13080360867914
1739209816.3972151;-45.120503652039325
1739209816.3972168;-45.120503652039325
1739209816.3972182;-38.13080360867914
1739209816.3972197;-45.120503652039325
1739209816.3972213;-45.120503652039325
1739209816.3972228;-45.120503652039325
1739209816.3972242;-45.120503652039325
1739209816.3972256;-45.120503652039325
1739209816.3972273;-45.120503652039325
1739209816.3972287;-38.13080360867914
1739209816.3972301;-45.120503652039325
1739209816.3972318;-45.120503652039325
1739209816.3972332;-45.120503652039325
1739209816.3972347;-35.57807855764607
1739209816.3972363;-26.991370085610736
1739209816.3972378;-38.13080360867914
