CAN Message; 0x1bb:00008e69facff597
Timestamp;Amplitude
1739209813.945973;-45.120503652039325
1739209813.9459767;-33.981070128970956
1739209813.9459805;-45.120503652039325
1739209813.9459844;-38.13080360867914
1739209813.9459882;-45.120503652039325
1739209813.945992;-45.120503652039325
1739209813.9459958;-45.120503652039325
1739209813.9459996;-45.120503652039325
1739209813.9460034;-45.120503652039325
1739209813.9460073;-32.816014438256545
1739209813.946011;-35.57807855764607
1739209813.946015;-45.120503652039325
1739209813.946019;-38.13080360867914
1739209813.9460227;-32.816014438256545
1739209813.9460266;-38.13080360867914
1739209813.9460304;-33.981070128970906
1739209813.9460342;-45.120503652039325
1739209813.946038;-35.57807855764607
1739209813.9460418;-38.13080360867914
1739209813.9460456;-45.120503652039325
1739209813.9460495;-45.120503652039325
1739209813.9460533;-35.57807855764607
1739209813.946057;-35.57807855764607
1739209813.946061;-38.13080360867914
1739209813.9460647;-32.816014438256545
1739209813.9460685;-38.13080360867914
1739209813.9460723;-45.120503652039325
1739209813.9460762;-38.13080360867914
1739209813.94608;-45.120503652039325
1739209813.9460838;-45.120503652039325
1739209813.9460876;-38.13080360867914
1739209813.9460914;-45.120503652039325
1739209813.9460952;-45.120503652039325
1739209813.946099;-29.438486411369333
1739209813.9461029;-31.141103565318893
1739209813.9461067;-38.13080360867914
1739209813.9461105;-45.120503652039325
1739209813.9461145;-45.120503652039325
1739209813.9461184;-45.120503652039325
1739209813.9461222;-38.13080360867914
1739209813.946126;-38.13080360867914
1739209813.9461298;-38.13080360867914
1739209813.9461336;-38.13080360867914
1739209813.9461374;-32.816014438256545
1739209813.9461412;-35.57807855764607
1739209813.946145;-38.13080360867914
1739209813.9461489;-38.13080360867914
1739209813.9461527;-38.13080360867914
1739209813.9461565;-32.816014438256545
1739209813.9461603;-45.120503652039325
1739209813.9461641;-45.120503652039325
1739209813.946168;-38.13080360867914
1739209813.9461718;-35.57807855764607
1739209813.9461756;-45.120503652039325
1739209813.9461794;-45.120503652039325
1739209813.9461832;-33.981070128970906
1739209813.946187;-45.120503652039325
1739209813.9461908;-38.13080360867914
1739209813.9461946;-38.13080360867914
1739209813.9461985;-45.120503652039325
1739209813.9462023;-38.13080360867914
1739209813.946206;-45.120503652039325
1739209813.9462101;-45.120503652039325
1739209813.946214;-38.13080360867914
1739209813.9462178;-38.13080360867914
1739209813.9462216;-45.120503652039325
1739209813.9462254;-45.120503652039325
1739209813.9462292;-45.120503652039325
1739209813.946233;-45.120503652039325
1739209813.9462368;-35.57807855764607
1739209813.9462407;-32.816014438256545
1739209813.9462445;-45.120503652039325
1739209813.9462483;-45.120503652039325
1739209813.946252;-38.13080360867914
1739209813.946256;-38.13080360867914
1739209813.9462597;-38.13080360867914
1739209813.9462636;-38.13080360867914
1739209813.9462674;-38.13080360867914
1739209813.9462712;-45.120503652039325
1739209813.946275;-38.13080360867914
1739209813.9462788;-38.13080360867914
1739209813.9462826;-33.981070128970906
1739209813.9462864;-38.13080360867914
1739209813.9462903;-45.120503652039325
1739209813.946294;-38.13080360867914
1739209813.946298;-38.13080360867914
1739209813.9463017;-38.13080360867914
1739209813.9463058;-38.13080360867914
1739209813.9463096;-45.120503652039325
1739209813.9463134;-45.120503652039325
1739209813.9463172;-33.981070128970906
1739209813.946321;-45.120503652039325
1739209813.9463248;-45.120503652039325
1739209813.9463286;-38.13080360867914
1739209813.9463325;-33.981070128970906
1739209813.9463363;-38.13080360867914
1739209813.94634;-45.120503652039325
1739209813.946344;-45.120503652039325
1739209813.9463477;-38.13080360867914
1739209813.9463515;-45.120503652039325
1739209813.9463553;-45.120503652039325
1739209813.9463592;-45.120503652039325
1739209813.946363;-45.120503652039325
1739209813.9463668;-38.13080360867914
1739209813.9463706;-33.981070128970906
1739209813.9463744;-32.816014438256545
1739209813.9463782;-29.438486411369347
1739209813.946382;-31.141103565318915
1739209813.9463859;-38.13080360867914
1739209813.9463897;-38.13080360867914
1739209813.9463935;-38.13080360867914
