CAN Message; 0x1d3:000004d411c6fae3
Timestamp;Amplitude
1739209691.2198403;-45.120503652039325
1739209691.2198424;-38.13080360867914
1739209691.2198448;-29.438486411369333
1739209691.2198472;-38.13080360867914
1739209691.2198496;-45.120503652039325
1739209691.2198517;-45.120503652039325
1739209691.219854;-35.57807855764607
1739209691.2198565;-38.13080360867914
1739209691.219859;-45.120503652039325
1739209691.219861;-45.120503652039325
1739209691.2198634;-38.13080360867914
1739209691.2198658;-38.13080360867914
1739209691.2198682;-45.120503652039325
1739209691.2198703;-45.120503652039325
1739209691.2198727;-45.120503652039325
1739209691.219875;-38.13080360867914
1739209691.2198775;-45.120503652039325
1739209691.2198796;-38.13080360867914
1739209691.219882;-38.13080360867914
1739209691.2198844;-38.13080360867914
1739209691.2198868;-45.120503652039325
1739209691.219889;-38.13080360867914
1739209691.2198913;-27.8777449560314
1739209691.2198937;-38.13080360867914
1739209691.219896;-45.120503652039325
1739209691.2198982;-38.13080360867914
1739209691.2199006;-32.816014438256545
1739209691.219903;-45.120503652039325
1739209691.2199054;-45.120503652039325
1739209691.2199075;-45.120503652039325
1739209691.21991;-38.13080360867914
1739209691.2199123;-45.120503652039325
1739209691.2199147;-38.13080360867914
1739209691.2199168;-38.13080360867914
1739209691.2199192;-45.120503652039325
1739209691.2199216;-45.120503652039325
1739209691.219924;-35.57807855764607
1739209691.219926;-45.120503652039325
1739209691.2199285;-45.120503652039325
1739209691.219931;-38.13080360867914
1739209691.2199333;-45.120503652039325
1739209691.2199354;-38.13080360867914
1739209691.2199378;-45.120503652039325
1739209691.2199402;-45.120503652039325
1739209691.2199426;-45.120503652039325
1739209691.2199447;-45.120503652039325
1739209691.219947;-31.141103565318893
1739209691.2199495;-35.57807855764607
1739209691.2199519;-35.57807855764607
1739209691.219954;-45.120503652039325
1739209691.2199564;-31.141103565318893
1739209691.2199588;-33.981070128970906
1739209691.2199612;-35.57807855764607
1739209691.2199633;-32.816014438256545
1739209691.2199657;-38.13080360867914
1739209691.219968;-45.120503652039325
1739209691.2199705;-32.816014438256545
1739209691.2199726;-38.13080360867914
1739209691.219975;-45.120503652039325
1739209691.2199774;-38.13080360867914
1739209691.2199798;-35.57807855764607
1739209691.219982;-38.13080360867914
1739209691.2199843;-45.120503652039325
1739209691.2199867;-45.120503652039325
1739209691.2199888;-35.57807855764607
1739209691.2199912;-38.13080360867914
1739209691.2199936;-45.120503652039325
1739209691.219996;-45.120503652039325
1739209691.2199981;-38.13080360867914
1739209691.2200005;-45.120503652039325
1739209691.220003;-35.57807855764607
1739209691.2200053;-38.13080360867914
1739209691.2200074;-38.13080360867914
1739209691.2200098;-45.120503652039325
1739209691.2200122;-38.13080360867914
1739209691.2200146;-38.13080360867914
1739209691.2200167;-38.13080360867914
1739209691.220019;-38.13080360867914
1739209691.2200215;-45.120503652039325
1739209691.2200239;-38.13080360867914
1739209691.220026;-35.57807855764607
1739209691.2200284;-35.57807855764607
1739209691.2200308;-38.13080360867914
1739209691.2200332;-45.120503652039325
1739209691.2200353;-38.13080360867914
1739209691.2200377;-33.981070128970906
1739209691.22004;-45.120503652039325
1739209691.2200425;-45.120503652039325
1739209691.2200446;-45.120503652039325
1739209691.220047;-45.120503652039325
1739209691.2200494;-45.120503652039325
1739209691.2200518;-45.120503652039325
1739209691.220054;-38.13080360867914
1739209691.2200563;-45.120503652039325
1739209691.2200587;-45.120503652039325
1739209691.220061;-33.981070128970906
1739209691.2200632;-45.120503652039325
1739209691.2200656;-45.120503652039325
1739209691.220068;-45.120503652039325
1739209691.2200704;-38.13080360867914
1739209691.2200725;-38.13080360867914
1739209691.220075;-38.13080360867914
1739209691.2200773;-35.57807855764607
1739209691.2200797;-33.981070128970906
1739209691.2200818;-45.120503652039325
1739209691.2200842;-45.120503652039325
1739209691.2200866;-45.120503652039325
1739209691.220089;-33.981070128970906
1739209691.220091;-45.120503652039325
1739209691.2200935;-45.120503652039325
1739209691.2200959;-38.13080360867914
1739209691.2200983;-38.13080360867914
1739209691.2201004;-45.120503652039325
1739209691.2201028;-38.13080360867914
1739209691.2201052;-38.13080360867914
