CAN Message; 0x1d3:0000147ee0b044af
Timestamp;Amplitude
1739209611.0539289;-32.816014438256545
1739209611.0539348;-29.438486411369333
1739209611.0539408;-45.120503652039325
1739209611.053947;-38.13080360867914
1739209611.053953;-35.57807855764607
1739209611.053959;-38.13080360867914
1739209611.0539649;-45.120503652039325
1739209611.0539708;-38.13080360867914
1739209611.0539768;-45.120503652039325
1739209611.053983;-33.981070128970956
1739209611.053989;-38.13080360867914
1739209611.053995;-45.120503652039325
1739209611.0540009;-45.120503652039325
1739209611.0540068;-38.13080360867914
1739209611.0540128;-38.13080360867914
1739209611.054019;-38.13080360867914
1739209611.054025;-32.816014438256545
1739209611.054031;-28.21854285175415
1739209611.0540369;-38.13080360867914
1739209611.0540428;-32.816014438256545
1739209611.0540488;-38.13080360867914
1739209611.054055;-35.57807855764607
1739209611.054061;-38.13080360867914
1739209611.054067;-32.816014438256545
1739209611.0540729;-45.120503652039325
1739209611.0540788;-31.141103565318943
1739209611.0540848;-38.13080360867914
1739209611.054091;-33.981070128970906
1739209611.054097;-45.120503652039325
1739209611.054103;-45.120503652039325
1739209611.0541089;-38.13080360867914
1739209611.0541148;-45.120503652039325
1739209611.0541208;-35.57807855764607
1739209611.054127;-28.21854285175415
1739209611.054133;-38.13080360867914
1739209611.054139;-45.120503652039325
1739209611.0541449;-45.120503652039325
1739209611.0541508;-45.120503652039325
1739209611.0541568;-45.120503652039325
1739209611.054163;-45.120503652039325
1739209611.054169;-45.120503652039325
1739209611.054175;-45.120503652039325
1739209611.0541809;-45.120503652039325
1739209611.0541868;-45.120503652039325
1739209611.0541928;-38.13080360867914
1739209611.054199;-45.120503652039325
1739209611.054205;-38.13080360867914
1739209611.054211;-38.13080360867914
1739209611.0542169;-38.13080360867914
1739209611.0542228;-45.120503652039325
1739209611.0542288;-45.120503652039325
1739209611.0542347;-38.13080360867914
1739209611.054241;-38.13080360867914
1739209611.054247;-45.120503652039325
1739209611.0542529;-45.120503652039325
1739209611.0542588;-45.120503652039325
1739209611.0542648;-38.13080360867914
1739209611.0542707;-38.13080360867914
1739209611.054277;-38.13080360867914
1739209611.054283;-38.13080360867914
1739209611.0542889;-38.13080360867914
1739209611.0542948;-32.816014438256545
1739209611.0543008;-38.13080360867914
1739209611.0543067;-45.120503652039325
1739209611.054313;-45.120503652039325
1739209611.054319;-45.120503652039325
1739209611.0543249;-38.13080360867914
1739209611.0543308;-45.120503652039325
1739209611.0543368;-38.13080360867914
1739209611.0543427;-45.120503652039325
1739209611.054349;-38.13080360867914
1739209611.054355;-33.981070128970906
1739209611.0543609;-45.120503652039325
1739209611.0543668;-38.13080360867914
1739209611.0543728;-35.57807855764607
1739209611.0543787;-38.13080360867914
1739209611.054385;-38.13080360867914
1739209611.054391;-38.13080360867914
1739209611.0543969;-38.13080360867914
1739209611.0544028;-38.13080360867914
1739209611.0544088;-45.120503652039325
1739209611.0544147;-45.120503652039325
1739209611.054421;-45.120503652039325
1739209611.054427;-38.13080360867914
1739209611.0544329;-45.120503652039325
1739209611.0544388;-38.13080360867914
1739209611.0544448;-38.13080360867914
1739209611.0544508;-45.120503652039325
1739209611.054457;-38.13080360867914
1739209611.054463;-35.57807855764607
1739209611.0544689;-45.120503652039325
1739209611.0544748;-45.120503652039325
1739209611.0544808;-38.13080360867914
1739209611.0544868;-45.120503652039325
1739209611.0544927;-45.120503652039325
1739209611.054499;-45.120503652039325
1739209611.0545049;-45.120503652039325
1739209611.0545108;-45.120503652039325
1739209611.0545168;-33.981070128970906
1739209611.0545228;-35.57807855764607
1739209611.0545287;-35.57807855764607
1739209611.054535;-35.57807855764607
1739209611.0545409;-45.120503652039325
1739209611.0545468;-35.57807855764607
1739209611.0545528;-38.13080360867914
1739209611.0545588;-45.120503652039325
1739209611.0545647;-38.13080360867914
1739209611.054571;-38.13080360867914
1739209611.0545769;-38.13080360867914
1739209611.0545828;-45.120503652039325
1739209611.0545888;-45.120503652039325
1739209611.0545948;-32.816014438256545
1739209611.0546007;-45.120503652039325
1739209611.054607;-45.120503652039325
1739209611.0546129;-33.981070128970906
1739209611.0546188;-38.13080360867914
1739209611.0546248;-45.120503652039325
1739209611.0546308;-38.13080360867914
1739209611.0546367;-35.57807855764607
