CAN Message; 0x39:0614e7e23aa412bf
Timestamp;Amplitude
1739209877.3592958;-35.57807855764607
1739209877.3593018;-38.13080360867914
1739209877.3593075;-38.13080360867914
1739209877.3593132;-45.120503652039325
1739209877.3593192;-38.13080360867914
1739209877.359325;-38.13080360867914
1739209877.3593307;-45.120503652039325
1739209877.3593366;-45.120503652039325
1739209877.3593423;-45.120503652039325
1739209877.359348;-38.13080360867914
1739209877.359354;-38.13080360867914
1739209877.3593597;-45.120503652039325
1739209877.3593655;-45.120503652039325
1739209877.3593714;-33.981070128970906
1739209877.3593771;-45.120503652039325
1739209877.3593829;-45.120503652039325
1739209877.3593888;-32.816014438256545
1739209877.3593946;-31.141103565318915
1739209877.3594003;-38.13080360867914
1739209877.3594062;-45.120503652039325
1739209877.359412;-32.816014438256545
1739209877.3594177;-38.13080360867914
1739209877.3594236;-45.120503652039325
1739209877.3594294;-45.120503652039325
1739209877.359435;-32.816014438256545
1739209877.359441;-35.57807855764607
1739209877.3594468;-35.57807855764607
1739209877.3594525;-38.13080360867914
1739209877.3594584;-45.120503652039325
1739209877.3594642;-38.13080360867914
1739209877.35947;-38.13080360867914
1739209877.3594759;-33.981070128970906
1739209877.3594816;-45.120503652039325
1739209877.3594873;-45.120503652039325
1739209877.3594933;-45.120503652039325
1739209877.359499;-38.13080360867914
1739209877.359505;-45.120503652039325
1739209877.3595107;-45.120503652039325
1739209877.3595164;-45.120503652039325
1739209877.3595223;-45.120503652039325
1739209877.359528;-32.816014438256545
1739209877.3595338;-31.141103565318893
1739209877.3595397;-45.120503652039325
1739209877.3595455;-45.120503652039325
1739209877.3595512;-35.57807855764607
1739209877.3595572;-35.57807855764607
1739209877.3595629;-45.120503652039325
1739209877.3595686;-45.120503652039325
1739209877.3595746;-45.120503652039325
1739209877.3595803;-45.120503652039325
1739209877.359586;-45.120503652039325
1739209877.359592;-45.120503652039325
1739209877.3595977;-45.120503652039325
1739209877.3596034;-45.120503652039325
1739209877.3596094;-45.120503652039325
1739209877.359615;-38.13080360867914
1739209877.3596208;-45.120503652039325
1739209877.3596268;-45.120503652039325
1739209877.3596325;-38.13080360867914
1739209877.3596382;-38.13080360867914
1739209877.3596442;-45.120503652039325
1739209877.35965;-45.120503652039325
1739209877.3596556;-45.120503652039325
1739209877.3596616;-45.120503652039325
1739209877.3596673;-32.816014438256545
1739209877.359673;-26.487275050834715
1739209877.359679;-45.120503652039325
1739209877.3596847;-38.13080360867914
1739209877.3596904;-35.57807855764607
1739209877.3596964;-35.57807855764607
1739209877.359702;-45.120503652039325
1739209877.3597078;-45.120503652039325
1739209877.3597138;-45.120503652039325
1739209877.3597195;-45.120503652039325
1739209877.3597252;-45.120503652039325
1739209877.3597312;-45.120503652039325
1739209877.359737;-38.13080360867914
1739209877.3597426;-38.13080360867914
1739209877.3597486;-38.13080360867914
1739209877.3597543;-45.120503652039325
1739209877.35976;-35.57807855764607
1739209877.359766;-31.141103565318915
1739209877.3597717;-38.13080360867914
1739209877.3597775;-38.13080360867914
1739209877.3597834;-38.13080360867914
1739209877.3597891;-38.13080360867914
1739209877.3597949;-45.120503652039325
1739209877.3598008;-45.120503652039325
1739209877.3598065;-45.120503652039325
1739209877.3598123;-45.120503652039325
1739209877.3598182;-45.120503652039325
1739209877.359824;-45.120503652039325
1739209877.3598297;-35.57807855764607
1739209877.3598356;-33.981070128970906
1739209877.3598413;-45.120503652039325
1739209877.359847;-38.13080360867914
1739209877.359853;-38.13080360867914
1739209877.3598588;-45.120503652039325
1739209877.3598645;-45.120503652039325
1739209877.3598704;-38.13080360867914
1739209877.3598762;-38.13080360867914
1739209877.3598819;-45.120503652039325
1739209877.3598878;-38.13080360867914
1739209877.3598936;-38.13080360867914
1739209877.3598993;-38.13080360867914
1739209877.3599052;-30.49652367304973
1739209877.359911;-38.13080360867914
1739209877.3599167;-45.120503652039325
1739209877.3599226;-45.120503652039325
1739209877.3599284;-38.13080360867914
1739209877.3599343;-33.981070128970906
1739209877.35994;-38.13080360867914
1739209877.3599458;-45.120503652039325
1739209877.3599517;-38.13080360867914
1739209877.3599575;-35.57807855764607
1739209877.3599632;-33.981070128970906
1739209877.3599691;-45.120503652039325
1739209877.3599749;-38.13080360867914
1739209877.3599806;-38.13080360867914
1739209877.3599865;-45.120503652039325
1739209877.3599923;-31.141103565318893
1739209877.359998;-33.981070128970906
1739209877.360004;-45.120503652039325
1739209877.3600097;-45.120503652039325
1739209877.3600154;-45.120503652039325
