CAN Message; 0x77:1f0a9f3e5844561a
Timestamp;Amplitude
1739209759.9172401;-32.816014438256545
1739209759.9172468;-38.13080360867914
1739209759.9172533;-38.13080360867914
1739209759.9172597;-38.13080360867914
1739209759.9172661;-35.57807855764607
1739209759.9172728;-38.13080360867914
1739209759.9172792;-45.120503652039325
1739209759.9172857;-45.120503652039325
1739209759.9172924;-45.120503652039325
1739209759.9172988;-45.120503652039325
1739209759.9173052;-45.120503652039325
1739209759.9173117;-38.13080360867914
1739209759.9173183;-45.120503652039325
1739209759.9173248;-45.120503652039325
1739209759.9173312;-38.13080360867914
1739209759.917338;-38.13080360867914
1739209759.9173443;-35.57807855764607
1739209759.9173508;-35.57807855764607
1739209759.9173572;-45.120503652039325
1739209759.917364;-45.120503652039325
1739209759.9173703;-35.57807855764607
1739209759.9173768;-38.13080360867914
1739209759.9173834;-45.120503652039325
1739209759.9173899;-45.120503652039325
1739209759.9173963;-45.120503652039325
1739209759.9174027;-45.120503652039325
1739209759.9174094;-33.981070128970906
1739209759.9174159;-38.13080360867914
1739209759.9174223;-45.120503652039325
1739209759.9174287;-33.981070128970906
1739209759.9174354;-45.120503652039325
1739209759.9174418;-45.120503652039325
1739209759.9174483;-35.57807855764607
1739209759.917455;-38.13080360867914
1739209759.9174614;-38.13080360867914
1739209759.9174678;-45.120503652039325
1739209759.9174743;-38.13080360867914
1739209759.917481;-45.120503652039325
1739209759.9174874;-45.120503652039325
1739209759.9174938;-45.120503652039325
1739209759.9175005;-45.120503652039325
1739209759.917507;-45.120503652039325
1739209759.9175134;-45.120503652039325
1739209759.9175198;-45.120503652039325
1739209759.9175265;-38.13080360867914
1739209759.917533;-32.816014438256545
1739209759.9175394;-45.120503652039325
1739209759.917546;-45.120503652039325
1739209759.9175525;-33.981070128970906
1739209759.917559;-31.141103565318915
1739209759.9175653;-38.13080360867914
1739209759.917572;-45.120503652039325
1739209759.9175785;-38.13080360867914
1739209759.917585;-38.13080360867914
1739209759.9175916;-38.13080360867914
1739209759.917598;-45.120503652039325
1739209759.9176044;-38.13080360867914
1739209759.917611;-33.981070128970906
1739209759.9176176;-45.120503652039325
1739209759.917624;-45.120503652039325
1739209759.9176304;-38.13080360867914
1739209759.917637;-35.57807855764607
1739209759.9176435;-45.120503652039325
1739209759.91765;-45.120503652039325
1739209759.9176564;-45.120503652039325
1739209759.917663;-45.120503652039325
1739209759.9176695;-45.120503652039325
1739209759.917676;-45.120503652039325
1739209759.9176826;-38.13080360867914
1739209759.917689;-38.13080360867914
1739209759.9176955;-38.13080360867914
1739209759.917702;-45.120503652039325
1739209759.9177086;-38.13080360867914
