CAN Message; 0x98:000086a8cc0724d2
Timestamp;Amplitude
1739209663.9924216;-38.13080360867914
1739209663.9924316;-45.120503652039325
1739209663.9924417;-27.267205301931607
1739209663.9924517;-35.57807855764607
1739209663.9924614;-38.13080360867914
1739209663.9924715;-45.120503652039325
1739209663.9924815;-45.120503652039325
1739209663.9924915;-33.981070128970906
1739209663.9925015;-45.120503652039325
1739209663.9925115;-45.120503652039325
1739209663.9925215;-45.120503652039325
1739209663.9925315;-45.120503652039325
1739209663.9925416;-38.13080360867914
1739209663.9925516;-45.120503652039325
1739209663.9925616;-33.981070128970906
1739209663.9925716;-35.57807855764607
1739209663.9925816;-45.120503652039325
1739209663.9925916;-45.120503652039325
1739209663.9926016;-33.981070128970906
1739209663.9926116;-35.57807855764607
1739209663.9926217;-38.13080360867914
1739209663.9926317;-45.120503652039325
1739209663.9926417;-38.13080360867914
1739209663.9926517;-32.816014438256545
1739209663.9926615;-38.13080360867914
1739209663.9926715;-38.13080360867914
1739209663.9926815;-33.981070128970906
1739209663.9926915;-38.13080360867914
1739209663.9927015;-38.13080360867914
1739209663.9927115;-45.120503652039325
1739209663.9927216;-38.13080360867914
1739209663.9927316;-45.120503652039325
1739209663.9927416;-38.13080360867914
1739209663.9927516;-45.120503652039325
1739209663.9927616;-45.120503652039325
1739209663.9927716;-38.13080360867914
1739209663.9927816;-38.13080360867914
1739209663.9927917;-45.120503652039325
1739209663.9928017;-38.13080360867914
1739209663.9928117;-32.816014438256545
1739209663.9928217;-38.13080360867914
1739209663.9928317;-45.120503652039325
1739209663.9928417;-33.981070128970906
1739209663.9928517;-45.120503652039325
1739209663.9928615;-45.120503652039325
1739209663.9928715;-38.13080360867914
1739209663.9928815;-35.57807855764607
1739209663.9928916;-45.120503652039325
1739209663.9929016;-45.120503652039325
1739209663.9929116;-45.120503652039325
1739209663.9929216;-45.120503652039325
1739209663.9929316;-45.120503652039325
1739209663.9929416;-45.120503652039325
1739209663.9929516;-45.120503652039325
1739209663.9929616;-45.120503652039325
1739209663.9929717;-35.57807855764607
1739209663.9929817;-45.120503652039325
1739209663.9929917;-45.120503652039325
1739209663.9930017;-38.13080360867914
1739209663.9930117;-38.13080360867914
1739209663.9930217;-38.13080360867914
1739209663.9930317;-38.13080360867914
1739209663.9930418;-45.120503652039325
1739209663.9930518;-45.120503652039325
1739209663.9930615;-38.13080360867914
1739209663.9930716;-38.13080360867914
1739209663.9930816;-45.120503652039325
1739209663.9930916;-45.120503652039325
1739209663.9931016;-45.120503652039325
1739209663.9931116;-45.120503652039325
1739209663.9931216;-33.981070128970906
1739209663.9931316;-45.120503652039325
1739209663.9931417;-45.120503652039325
1739209663.9931517;-45.120503652039325
1739209663.9931617;-45.120503652039325
1739209663.9931717;-32.816014438256545
1739209663.9931817;-38.13080360867914
1739209663.9931917;-45.120503652039325
1739209663.9932017;-45.120503652039325
1739209663.9932117;-45.120503652039325
1739209663.9932218;-38.13080360867914
1739209663.9932318;-38.13080360867914
1739209663.9932418;-35.57807855764607
1739209663.9932518;-38.13080360867914
1739209663.9932618;-45.120503652039325
1739209663.9932716;-33.981070128970906
1739209663.9932816;-33.981070128970906
1739209663.9932916;-38.13080360867914
1739209663.9933016;-45.120503652039325
1739209663.9933116;-45.120503652039325
1739209663.9933217;-45.120503652039325
1739209663.9933317;-33.981070128970906
1739209663.9933417;-35.57807855764607
1739209663.9933517;-38.13080360867914
1739209663.9933617;-45.120503652039325
1739209663.9933717;-45.120503652039325
1739209663.9933817;-38.13080360867914
1739209663.9933918;-38.13080360867914
1739209663.9934018;-38.13080360867914
1739209663.9934118;-45.120503652039325
1739209663.9934218;-45.120503652039325
1739209663.9934318;-45.120503652039325
1739209663.9934418;-45.120503652039325
1739209663.9934518;-38.13080360867914
1739209663.9934618;-38.13080360867914
1739209663.9934716;-45.120503652039325
1739209663.9934816;-45.120503652039325
1739209663.9934916;-35.57807855764607
1739209663.9935017;-38.13080360867914
1739209663.9935117;-45.120503652039325
1739209663.9935217;-38.13080360867914
1739209663.9935317;-32.816014438256545
1739209663.9935417;-38.13080360867914
1739209663.9935517;-45.120503652039325
1739209663.9935617;-45.120503652039325
1739209663.9935718;-38.13080360867914
1739209663.9935818;-38.13080360867914
1739209663.9935918;-45.120503652039325
1739209663.9936018;-45.120503652039325
1739209663.9936118;-45.120503652039325
1739209663.9936218;-45.120503652039325
1739209663.9936318;-45.120503652039325
1739209663.9936419;-45.120503652039325
1739209663.9936519;-45.120503652039325
1739209663.9936619;-45.120503652039325
1739209663.9936717;-38.13080360867914
1739209663.9936817;-38.13080360867914
1739209663.9936917;-32.816014438256545
1739209663.9937017;-38.13080360867914
1739209663.9937117;-45.120503652039325
1739209663.9937217;-38.13080360867914
1739209663.9937317;-38.13080360867914
1739209663.9937418;-33.981070128970906
1739209663.9937518;-38.13080360867914
1739209663.9937618;-35.57807855764607
1739209663.9937718;-38.13080360867914
1739209663.9937818;-45.120503652039325
1739209663.9937918;-45.120503652039325
1739209663.9938018;-38.13080360867914
1739209663.9938118;-38.13080360867914
1739209663.9938219;-33.981070128970906
1739209663.9938319;-38.13080360867914
1739209663.993842;-38.13080360867914
1739209663.993852;-35.57807855764607
1739209663.993862;-38.13080360867914
1739209663.9938717;-45.120503652039325
1739209663.9938817;-38.13080360867914
1739209663.9938917;-33.981070128970906
1739209663.9939017;-28.992665084841942
1739209663.9939117;-38.13080360867914
1739209663.9939218;-45.120503652039325
1739209663.9939318;-38.13080360867914
1739209663.9939418;-38.13080360867914
1739209663.9939518;-45.120503652039325
1739209663.9939618;-38.13080360867914
1739209663.9939718;-33.981070128970906
1739209663.9939818;-33.981070128970906
1739209663.9939919;-45.120503652039325
1739209663.9940019;-38.13080360867914
1739209663.9940119;-38.13080360867914
1739209663.994022;-45.120503652039325
1739209663.994032;-45.120503652039325
1739209663.994042;-33.981070128970906
1739209663.994052;-38.13080360867914
1739209663.994062;-31.141103565318915
1739209663.9940717;-45.120503652039325
1739209663.9940817;-33.981070128970906
1739209663.9940917;-45.120503652039325
1739209663.9941018;-38.13080360867914
1739209663.9941118;-45.120503652039325
1739209663.9941218;-38.13080360867914
1739209663.9941318;-32.816014438256545
1739209663.9941418;-38.13080360867914
1739209663.9941518;-38.13080360867914
1739209663.9941618;-35.57807855764607
1739209663.9941719;-35.57807855764607
1739209663.9941819;-45.120503652039325
1739209663.994192;-45.120503652039325
1739209663.994202;-45.120503652039325
1739209663.994212;-35.57807855764607
1739209663.994222;-33.981070128970906
1739209663.994232;-45.120503652039325
1739209663.994242;-38.13080360867914
1739209663.994252;-45.120503652039325
1739209663.994262;-38.13080360867914
1739209663.9942718;-45.120503652039325
1739209663.9942818;-35.57807855764607
1739209663.9942918;-45.120503652039325
1739209663.9943018;-31.14110356531892
1739209663.9943118;-45.120503652039325
1739209663.9943218;-38.13080360867914
1739209663.9943318;-38.13080360867914
1739209663.9943419;-38.13080360867914
1739209663.9943519;-45.120503652039325
1739209663.9943619;-45.120503652039325
1739209663.994372;-38.13080360867914
1739209663.994382;-27.267205301931607
1739209663.994392;-38.13080360867914
1739209663.994402;-38.13080360867914
1739209663.994412;-32.816014438256545
1739209663.994422;-38.13080360867914
1739209663.994432;-45.120503652039325
1739209663.994442;-33.981070128970906
1739209663.994452;-32.816014438256545
1739209663.994462;-32.81601443825658
1739209663.9944718;-45.120503652039325
1739209663.9944818;-33.981070128970906
1739209663.9944918;-38.13080360867914
1739209663.9945018;-38.13080360867914
1739209663.9945118;-38.13080360867914
1739209663.9945219;-45.120503652039325
1739209663.9945319;-38.13080360867914
1739209663.994542;-38.13080360867914
1739209663.994552;-45.120503652039325
1739209663.994562;-45.120503652039325
1739209663.994572;-38.13080360867914
1739209663.994582;-38.13080360867914
1739209663.994592;-45.120503652039325
1739209663.994602;-38.13080360867914
1739209663.994612;-38.13080360867914
1739209663.994622;-38.13080360867914
1739209663.994632;-38.13080360867914
1739209663.994642;-45.120503652039325
1739209663.994652;-45.120503652039325
1739209663.994662;-33.981070128970906
1739209663.9946718;-45.120503652039325
1739209663.9946818;-38.13080360867914
1739209663.9946918;-38.13080360867914
1739209663.9947019;-38.13080360867914
1739209663.9947119;-45.120503652039325
1739209663.994722;-45.120503652039325
1739209663.994732;-45.120503652039325
1739209663.994742;-45.120503652039325
1739209663.994752;-32.816014438256545
1739209663.994762;-38.13080360867914
1739209663.994772;-45.120503652039325
1739209663.994782;-38.13080360867914
1739209663.994792;-38.13080360867914
1739209663.994802;-45.120503652039325
1739209663.994812;-38.13080360867914
1739209663.994822;-45.120503652039325
1739209663.994832;-45.120503652039325
1739209663.994842;-38.13080360867914
1739209663.994852;-38.13080360867914
1739209663.994862;-45.120503652039325
1739209663.9948719;-45.120503652039325
1739209663.9948819;-38.13080360867914
1739209663.994892;-45.120503652039325
1739209663.994902;-35.57807855764607
1739209663.994912;-38.13080360867914
1739209663.994922;-45.120503652039325
1739209663.994932;-45.120503652039325
1739209663.994942;-38.13080360867914
1739209663.994952;-31.141103565318893
1739209663.994962;-38.13080360867914
1739209663.994972;-38.13080360867914
1739209663.994982;-45.120503652039325
1739209663.994992;-38.13080360867914
1739209663.995002;-33.981070128970906
1739209663.995012;-45.120503652039325
1739209663.995022;-38.13080360867914
1739209663.995032;-45.120503652039325
1739209663.995042;-45.120503652039325
1739209663.995052;-45.120503652039325
1739209663.995062;-45.120503652039325
1739209663.995072;-45.120503652039325
1739209663.995082;-45.120503652039325
1739209663.995092;-45.120503652039325
1739209663.995102;-38.13080360867914
1739209663.995112;-38.13080360867914
1739209663.995122;-38.13080360867914
1739209663.995132;-38.13080360867914
1739209663.995142;-38.13080360867914
1739209663.995152;-35.57807855764607
1739209663.995162;-35.57807855764607
1739209663.995172;-45.120503652039325
1739209663.995182;-33.981070128970906
1739209663.995192;-45.120503652039325
1739209663.995202;-38.13080360867914
1739209663.995212;-45.120503652039325
1739209663.995222;-45.120503652039325
1739209663.995232;-45.120503652039325
1739209663.995242;-45.120503652039325
1739209663.9952521;-45.120503652039325
1739209663.9952621;-38.13080360867914
1739209663.995272;-35.57807855764607
1739209663.995282;-38.13080360867914
1739209663.995292;-45.120503652039325
1739209663.995302;-35.57807855764607
1739209663.995312;-26.991370085610736
1739209663.995322;-38.13080360867914
1739209663.995332;-38.13080360867914
1739209663.995342;-38.13080360867914
1739209663.995352;-31.141103565318915
1739209663.995362;-33.981070128970906
1739209663.995372;-45.120503652039325
1739209663.995382;-38.13080360867914
1739209663.995392;-35.57807855764607
1739209663.995402;-38.13080360867914
1739209663.995412;-45.120503652039325
1739209663.9954221;-35.57807855764607
1739209663.9954321;-38.13080360867914
1739209663.9954422;-45.120503652039325
1739209663.9954522;-45.120503652039325
1739209663.9954622;-45.120503652039325
1739209663.995472;-45.120503652039325
1739209663.995482;-45.120503652039325
1739209663.995492;-38.13080360867914
1739209663.995502;-33.981070128970906
1739209663.995512;-28.992665084841942
1739209663.995522;-31.141103565318915
1739209663.995532;-38.13080360867914
1739209663.995542;-45.120503652039325
1739209663.995552;-38.13080360867914
1739209663.995562;-38.13080360867914
1739209663.995572;-38.13080360867914
1739209663.995582;-38.13080360867914
1739209663.995592;-45.120503652039325
1739209663.9956021;-33.981070128970906
1739209663.9956121;-38.13080360867914
1739209663.9956222;-35.57807855764607
1739209663.9956322;-38.13080360867914
1739209663.9956422;-45.120503652039325
1739209663.9956522;-38.13080360867914
1739209663.9956622;-45.120503652039325
1739209663.995672;-31.141103565318915
1739209663.995682;-33.981070128970906
1739209663.995692;-45.120503652039325
1739209663.995702;-38.13080360867914
1739209663.995712;-45.120503652039325
1739209663.995722;-38.13080360867914
1739209663.995732;-38.13080360867914
1739209663.995742;-38.13080360867914
1739209663.995752;-38.13080360867914
1739209663.995762;-33.981070128970906
1739209663.9957721;-38.13080360867914
1739209663.9957821;-45.120503652039325
1739209663.9957922;-45.120503652039325
1739209663.9958022;-45.120503652039325
1739209663.9958122;-38.13080360867914
1739209663.9958222;-38.13080360867914
1739209663.9958322;-38.13080360867914
1739209663.9958422;-33.981070128970906
1739209663.9958522;-35.57807855764607
1739209663.9958622;-38.13080360867914
1739209663.9958723;-45.120503652039325
1739209663.995882;-38.13080360867914
1739209663.995892;-38.13080360867914
1739209663.995902;-45.120503652039325
1739209663.995912;-45.120503652039325
1739209663.995922;-33.981070128970906
1739209663.995932;-35.57807855764607
1739209663.995942;-45.120503652039325
1739209663.9959521;-45.120503652039325
1739209663.9959621;-38.13080360867914
1739209663.9959722;-38.13080360867914
1739209663.9959822;-33.981070128970906
1739209663.9959922;-38.13080360867914
1739209663.9960022;-31.141103565318915
1739209663.9960122;-38.13080360867914
1739209663.9960222;-38.13080360867914
1739209663.9960322;-45.120503652039325
