CAN Message; 0x1d3:0000cdd7a94b1e66
Timestamp;Amplitude
1739209803.2542205;-28.58837851428586
1739209803.2542224;-38.13080360867914
1739209803.2542245;-38.13080360867914
1739209803.2542264;-38.13080360867914
1739209803.2542284;-38.13080360867914
1739209803.2542303;-38.13080360867914
1739209803.2542324;-38.13080360867914
1739209803.2542343;-38.13080360867914
1739209803.2542362;-33.981070128970956
1739209803.2542381;-45.120503652039325
1739209803.25424;-45.120503652039325
1739209803.2542422;-38.13080360867914
1739209803.254244;-45.120503652039325
1739209803.254246;-33.981070128970906
1739209803.254248;-38.13080360867914
1739209803.25425;-38.13080360867914
1739209803.254252;-33.981070128970906
1739209803.2542539;-38.13080360867914
1739209803.2542558;-45.120503652039325
1739209803.2542577;-45.120503652039325
1739209803.2542598;-38.13080360867914
1739209803.2542617;-38.13080360867914
1739209803.2542636;-38.13080360867914
1739209803.2542655;-38.13080360867914
1739209803.2542677;-45.120503652039325
1739209803.2542696;-35.57807855764607
1739209803.2542715;-32.816014438256545
1739209803.2542734;-45.120503652039325
1739209803.2542756;-45.120503652039325
1739209803.2542775;-35.57807855764607
1739209803.2542794;-35.57807855764607
1739209803.2542813;-38.13080360867914
1739209803.2542832;-32.81601443825658
1739209803.2542853;-38.13080360867914
1739209803.2542872;-33.981070128970906
1739209803.2542892;-45.120503652039325
1739209803.254291;-45.120503652039325
1739209803.2542932;-45.120503652039325
1739209803.254295;-45.120503652039325
1739209803.254297;-45.120503652039325
1739209803.254299;-31.141103565318915
1739209803.2543008;-33.981070128970906
1739209803.254303;-45.120503652039325
1739209803.254305;-38.13080360867914
1739209803.2543068;-35.57807855764607
1739209803.2543087;-45.120503652039325
1739209803.2543108;-45.120503652039325
1739209803.2543128;-38.13080360867914
1739209803.2543147;-38.13080360867914
1739209803.2543166;-38.13080360867914
1739209803.2543185;-45.120503652039325
1739209803.2543206;-38.13080360867914
1739209803.2543225;-38.13080360867914
1739209803.2543244;-38.13080360867914
1739209803.2543263;-38.13080360867914
1739209803.2543285;-33.981070128970906
1739209803.2543304;-38.13080360867914
1739209803.2543323;-45.120503652039325
1739209803.2543342;-45.120503652039325
1739209803.254336;-38.13080360867914
1739209803.2543383;-35.57807855764607
