CAN Message; 0x150:06004e273b6af83d
Timestamp;Amplitude
1739209606.6281219;-45.120503652039325
1739209606.6281269;-45.120503652039325
1739209606.6281319;-45.120503652039325
1739209606.6281369;-45.120503652039325
1739209606.6281419;-38.13080360867914
1739209606.628147;-38.13080360867914
1739209606.6281521;-45.120503652039325
1739209606.6281571;-45.120503652039325
1739209606.6281621;-38.13080360867914
1739209606.6281672;-45.120503652039325
1739209606.6281722;-45.120503652039325
1739209606.6281772;-45.120503652039325
1739209606.6281822;-45.120503652039325
1739209606.6281872;-45.120503652039325
1739209606.6281922;-38.13080360867914
1739209606.6281972;-45.120503652039325
1739209606.6282022;-38.13080360867914
1739209606.6282072;-35.57807855764607
1739209606.6282122;-45.120503652039325
1739209606.6282175;-45.120503652039325
1739209606.6282225;-35.57807855764607
1739209606.6282275;-35.57807855764607
1739209606.6282325;-45.120503652039325
1739209606.6282375;-45.120503652039325
1739209606.6282425;-38.13080360867914
1739209606.6282475;-45.120503652039325
1739209606.6282525;-45.120503652039325
1739209606.6282575;-45.120503652039325
1739209606.6282625;-45.120503652039325
1739209606.6282675;-38.13080360867914
1739209606.6282725;-38.13080360867914
1739209606.6282775;-45.120503652039325
1739209606.6282828;-45.120503652039325
1739209606.6282878;-45.120503652039325
1739209606.6282928;-45.120503652039325
1739209606.6282978;-45.120503652039325
1739209606.6283028;-38.13080360867914
1739209606.6283078;-32.816014438256545
1739209606.6283128;-38.13080360867914
1739209606.6283178;-45.120503652039325
1739209606.6283228;-33.981070128970906
1739209606.6283278;-45.120503652039325
1739209606.6283329;-38.13080360867914
1739209606.6283379;-45.120503652039325
1739209606.6283429;-45.120503652039325
1739209606.6283479;-38.13080360867914
1739209606.628353;-38.13080360867914
1739209606.6283581;-38.13080360867914
1739209606.6283631;-28.992665084841942
1739209606.6283681;-38.13080360867914
1739209606.6283731;-45.120503652039325
1739209606.6283782;-45.120503652039325
1739209606.6283832;-45.120503652039325
1739209606.6283882;-38.13080360867914
1739209606.6283932;-45.120503652039325
1739209606.6283982;-45.120503652039325
1739209606.6284032;-38.13080360867914
1739209606.6284082;-38.13080360867914
1739209606.6284132;-30.49652367304973
