CAN Message; 0x24:0cccc8e7fde1771b
Timestamp;Amplitude
1739209728.507954;-38.13080360867914
1739209728.5079596;-45.120503652039325
1739209728.5079656;-38.13080360867914
1739209728.5079715;-38.13080360867914
1739209728.5079772;-28.992665084841942
1739209728.5079832;-33.981070128970906
1739209728.5079892;-45.120503652039325
1739209728.507995;-38.13080360867914
1739209728.5080009;-38.13080360867914
1739209728.5080068;-38.13080360867914
1739209728.5080125;-38.13080360867914
1739209728.5080185;-38.13080360867914
1739209728.5080245;-45.120503652039325
1739209728.5080302;-45.120503652039325
1739209728.5080361;-38.13080360867914
1739209728.508042;-45.120503652039325
1739209728.5080478;-38.13080360867914
1739209728.5080538;-45.120503652039325
1739209728.5080597;-38.13080360867914
1739209728.5080655;-35.57807855764607
1739209728.5080714;-38.13080360867914
1739209728.5080774;-45.120503652039325
1739209728.508083;-45.120503652039325
1739209728.508089;-45.120503652039325
1739209728.508095;-45.120503652039325
1739209728.5081007;-45.120503652039325
1739209728.5081067;-38.13080360867914
1739209728.5081127;-45.120503652039325
1739209728.5081184;-32.816014438256545
1739209728.5081244;-33.981070128970906
1739209728.50813;-45.120503652039325
1739209728.508136;-38.13080360867914
1739209728.508142;-35.57807855764607
1739209728.5081477;-38.13080360867914
1739209728.5081537;-45.120503652039325
1739209728.5081596;-32.816014438256545
1739209728.5081654;-38.13080360867914
1739209728.5081713;-38.13080360867914
1739209728.5081773;-38.13080360867914
1739209728.508183;-35.57807855764607
1739209728.508189;-45.120503652039325
1739209728.508195;-38.13080360867914
1739209728.5082006;-38.13080360867914
1739209728.5082066;-38.13080360867914
1739209728.5082126;-32.816014438256545
1739209728.5082183;-29.438486411369333
1739209728.5082242;-45.120503652039325
1739209728.5082302;-45.120503652039325
1739209728.508236;-38.13080360867914
1739209728.508242;-45.120503652039325
1739209728.5082479;-45.120503652039325
1739209728.5082536;-38.13080360867914
1739209728.5082595;-45.120503652039325
1739209728.5082655;-38.13080360867914
1739209728.5082712;-33.981070128970906
1739209728.5082772;-45.120503652039325
1739209728.5082831;-38.13080360867914
1739209728.5082889;-38.13080360867914
1739209728.5082948;-45.120503652039325
1739209728.5083008;-38.13080360867914
1739209728.5083065;-45.120503652039325
1739209728.5083125;-38.13080360867914
1739209728.5083184;-45.120503652039325
1739209728.5083241;-35.57807855764607
1739209728.50833;-45.120503652039325
1739209728.508336;-38.13080360867914
1739209728.5083418;-38.13080360867914
1739209728.5083477;-38.13080360867914
1739209728.5083537;-32.816014438256545
1739209728.5083594;-31.141103565318893
1739209728.5083654;-45.120503652039325
1739209728.5083714;-45.120503652039325
1739209728.508377;-38.13080360867914
1739209728.508383;-45.120503652039325
1739209728.508389;-38.13080360867914
1739209728.5083947;-45.120503652039325
1739209728.5084007;-45.120503652039325
1739209728.5084066;-45.120503652039325
1739209728.5084124;-38.13080360867914
1739209728.5084183;-45.120503652039325
1739209728.5084243;-45.120503652039325
1739209728.50843;-38.13080360867914
1739209728.508436;-38.13080360867914
1739209728.508442;-45.120503652039325
1739209728.5084476;-38.13080360867914
1739209728.5084536;-32.816014438256545
1739209728.5084596;-38.13080360867914
1739209728.5084653;-45.120503652039325
1739209728.5084713;-35.57807855764607
1739209728.5084772;-33.981070128970906
