CAN Message; 0x150:0300e23e19ce9a6d
Timestamp;Amplitude
1739209768.3054578;-38.13080360867914
1739209768.305463;-26.991370085610722
1739209768.3054686;-38.13080360867914
1739209768.3054738;-35.57807855764607
1739209768.305479;-35.57807855764607
1739209768.3054843;-38.13080360867914
1739209768.3054895;-45.120503652039325
1739209768.3054948;-45.120503652039325
1739209768.3055003;-38.13080360867914
1739209768.3055055;-45.120503652039325
1739209768.3055108;-45.120503652039325
1739209768.305516;-38.13080360867914
1739209768.3055212;-38.13080360867914
1739209768.3055265;-38.13080360867914
1739209768.305532;-45.120503652039325
1739209768.3055372;-38.13080360867914
1739209768.3055425;-38.13080360867914
1739209768.3055477;-45.120503652039325
1739209768.305553;-45.120503652039325
1739209768.3055582;-38.13080360867914
1739209768.3055637;-35.57807855764607
1739209768.305569;-45.120503652039325
1739209768.3055742;-45.120503652039325
1739209768.3055794;-35.57807855764607
1739209768.3055847;-45.120503652039325
1739209768.30559;-28.58837851428586
1739209768.3055954;-35.57807855764607
1739209768.3056006;-45.120503652039325
1739209768.305606;-38.13080360867914
1739209768.3056111;-32.816014438256545
1739209768.3056164;-38.13080360867914
1739209768.3056216;-38.13080360867914
1739209768.305627;-32.816014438256545
1739209768.3056324;-45.120503652039325
1739209768.3056376;-45.120503652039325
1739209768.3056428;-45.120503652039325
1739209768.305648;-45.120503652039325
1739209768.3056533;-45.120503652039325
1739209768.3056588;-38.13080360867914
1739209768.305664;-45.120503652039325
1739209768.3056693;-45.120503652039325
1739209768.3056746;-31.141103565318893
1739209768.3056798;-32.816014438256545
1739209768.3056853;-45.120503652039325
1739209768.3056905;-45.120503652039325
1739209768.3056958;-45.120503652039325
1739209768.305701;-45.120503652039325
1739209768.3057063;-35.57807855764607
1739209768.3057115;-38.13080360867914
1739209768.305717;-32.816014438256545
1739209768.3057222;-38.13080360867914
1739209768.3057275;-45.120503652039325
1739209768.3057327;-45.120503652039325
1739209768.305738;-35.57807855764607
1739209768.3057432;-38.13080360867914
1739209768.3057487;-45.120503652039325
1739209768.305754;-38.13080360867914
1739209768.3057592;-38.13080360867914
1739209768.3057644;-45.120503652039325
1739209768.3057697;-38.13080360867914
1739209768.305775;-38.13080360867914
1739209768.3057804;-38.13080360867914
1739209768.3057857;-28.58837851428586
1739209768.305791;-45.120503652039325
1739209768.3057961;-45.120503652039325
1739209768.3058014;-38.13080360867914
1739209768.3058066;-35.57807855764607
1739209768.3058121;-45.120503652039325
1739209768.3058174;-45.120503652039325
1739209768.3058226;-38.13080360867914
1739209768.3058279;-45.120503652039325
1739209768.305833;-38.13080360867914
1739209768.3058383;-45.120503652039325
1739209768.3058438;-45.120503652039325
1739209768.305849;-33.981070128970906
1739209768.3058543;-38.13080360867914
1739209768.3058596;-45.120503652039325
1739209768.3058648;-35.57807855764607
1739209768.3058703;-35.57807855764607
1739209768.3058755;-45.120503652039325
1739209768.3058808;-45.120503652039325
1739209768.305886;-45.120503652039325
1739209768.3058913;-31.141103565318915
1739209768.3058965;-38.13080360867914
1739209768.305902;-38.13080360867914
1739209768.3059072;-45.120503652039325
1739209768.3059125;-38.13080360867914
1739209768.3059177;-38.13080360867914
1739209768.305923;-38.13080360867914
1739209768.3059282;-38.13080360867914
1739209768.3059337;-38.13080360867914
1739209768.305939;-32.816014438256545
1739209768.3059442;-33.981070128970906
1739209768.3059494;-45.120503652039325
1739209768.3059547;-45.120503652039325
1739209768.30596;-38.13080360867914
