CAN Message; 0x150:0100ae9787885838
Timestamp;Amplitude
1739209866.4369557;-45.120503652039325
1739209866.436961;-38.13080360867914
1739209866.4369664;-33.981070128970906
1739209866.436972;-45.120503652039325
1739209866.4369771;-45.120503652039325
1739209866.4369826;-32.816014438256545
1739209866.436988;-45.120503652039325
1739209866.4369934;-45.120503652039325
1739209866.4369988;-45.120503652039325
1739209866.4370043;-45.120503652039325
1739209866.4370096;-38.13080360867914
1739209866.437015;-45.120503652039325
1739209866.4370205;-38.13080360867914
1739209866.4370258;-38.13080360867914
1739209866.4370313;-35.57807855764607
1739209866.4370368;-30.49652367304973
1739209866.437042;-35.57807855764607
1739209866.4370475;-38.13080360867914
1739209866.437053;-38.13080360867914
1739209866.4370582;-45.120503652039325
1739209866.4370637;-38.13080360867914
1739209866.437069;-38.13080360867914
1739209866.4370744;-45.120503652039325
1739209866.43708;-38.13080360867914
1739209866.4370852;-38.13080360867914
1739209866.4370906;-38.13080360867914
1739209866.437096;-33.981070128970906
1739209866.4371014;-45.120503652039325
1739209866.4371068;-45.120503652039325
1739209866.4371123;-38.13080360867914
1739209866.4371176;-45.120503652039325
1739209866.437123;-45.120503652039325
1739209866.4371285;-45.120503652039325
1739209866.4371338;-45.120503652039325
1739209866.4371393;-32.816014438256545
1739209866.4371448;-35.57807855764607
1739209866.43715;-45.120503652039325
1739209866.4371555;-45.120503652039325
1739209866.437161;-35.57807855764607
1739209866.4371662;-38.13080360867914
1739209866.4371717;-38.13080360867914
1739209866.4371772;-38.13080360867914
1739209866.4371824;-45.120503652039325
1739209866.437188;-45.120503652039325
1739209866.4371934;-45.120503652039325
1739209866.4371986;-45.120503652039325
1739209866.4372041;-45.120503652039325
1739209866.4372096;-45.120503652039325
1739209866.4372149;-38.13080360867914
1739209866.4372203;-38.13080360867914
1739209866.4372258;-45.120503652039325
1739209866.437231;-45.120503652039325
1739209866.4372365;-35.57807855764607
1739209866.437242;-45.120503652039325
1739209866.4372473;-38.13080360867914
1739209866.4372528;-35.57807855764607
1739209866.4372582;-35.57807855764607
1739209866.4372635;-45.120503652039325
1739209866.437269;-32.816014438256545
1739209866.4372742;-28.58837851428586
1739209866.4372797;-45.120503652039325
1739209866.4372852;-45.120503652039325
1739209866.4372904;-38.13080360867914
1739209866.437296;-38.13080360867914
1739209866.4373014;-45.120503652039325
1739209866.4373066;-45.120503652039325
1739209866.4373121;-45.120503652039325
1739209866.4373176;-38.13080360867914
1739209866.4373229;-38.13080360867914
1739209866.4373283;-38.13080360867914
1739209866.4373338;-45.120503652039325
1739209866.437339;-38.13080360867914
1739209866.4373446;-38.13080360867914
1739209866.43735;-45.120503652039325
1739209866.4373553;-38.13080360867914
1739209866.4373608;-35.57807855764607
1739209866.4373662;-38.13080360867914
1739209866.4373715;-38.13080360867914
1739209866.437377;-38.13080360867914
1739209866.4373825;-35.57807855764607
1739209866.4373877;-45.120503652039325
1739209866.4373932;-45.120503652039325
1739209866.4373987;-38.13080360867914
1739209866.437404;-38.13080360867914
1739209866.4374094;-45.120503652039325
1739209866.437415;-45.120503652039325
1739209866.4374201;-38.13080360867914
