CAN Message; 0x77:d655006b1c1c52da
Timestamp;Amplitude
1739209785.1299932;-45.120503652039325
1739209785.1299984;-38.13080360867914
1739209785.1300037;-45.120503652039325
1739209785.1300092;-45.120503652039325
1739209785.1300144;-38.13080360867914
1739209785.1300197;-38.13080360867914
1739209785.130025;-45.120503652039325
1739209785.1300302;-38.13080360867914
1739209785.1300354;-35.57807855764607
1739209785.130041;-45.120503652039325
1739209785.1300461;-38.13080360867914
1739209785.1300514;-33.981070128970906
1739209785.1300566;-45.120503652039325
1739209785.1300619;-45.120503652039325
1739209785.130067;-38.13080360867914
1739209785.1300724;-31.141103565318915
1739209785.1300778;-45.120503652039325
1739209785.130083;-45.120503652039325
1739209785.1300883;-45.120503652039325
1739209785.1300936;-45.120503652039325
1739209785.1300988;-45.120503652039325
1739209785.130104;-45.120503652039325
1739209785.1301095;-45.120503652039325
1739209785.1301148;-45.120503652039325
1739209785.13012;-45.120503652039325
1739209785.1301253;-45.120503652039325
1739209785.1301305;-38.13080360867914
1739209785.1301358;-38.13080360867914
1739209785.130141;-45.120503652039325
1739209785.1301465;-45.120503652039325
1739209785.1301517;-33.981070128970906
1739209785.130157;-45.120503652039325
1739209785.1301622;-45.120503652039325
1739209785.1301675;-38.13080360867914
1739209785.1301727;-45.120503652039325
1739209785.130178;-45.120503652039325
1739209785.1301835;-45.120503652039325
1739209785.1301887;-45.120503652039325
1739209785.130194;-38.13080360867914
1739209785.1301992;-33.981070128970906
1739209785.1302044;-38.13080360867914
1739209785.1302097;-35.57807855764607
1739209785.1302152;-33.981070128970906
1739209785.1302204;-45.120503652039325
1739209785.1302257;-32.816014438256545
1739209785.130231;-45.120503652039325
1739209785.1302361;-38.13080360867914
1739209785.1302414;-45.120503652039325
1739209785.1302466;-45.120503652039325
1739209785.1302521;-38.13080360867914
1739209785.1302574;-38.13080360867914
1739209785.1302626;-45.120503652039325
1739209785.1302679;-38.13080360867914
1739209785.130273;-33.981070128970906
1739209785.1302783;-33.981070128970906
1739209785.1302838;-45.120503652039325
1739209785.130289;-38.13080360867914
1739209785.1302943;-38.13080360867914
1739209785.1302996;-38.13080360867914
1739209785.1303048;-35.57807855764607
1739209785.13031;-30.49652367304973
1739209785.1303153;-33.981070128970906
1739209785.1303208;-38.13080360867914
1739209785.130326;-38.13080360867914
1739209785.1303313;-35.57807855764607
1739209785.1303365;-45.120503652039325
1739209785.1303418;-38.13080360867914
1739209785.130347;-45.120503652039325
