CAN Message; 0x62:07332af0db1d5209
Timestamp;Amplitude
1739209752.1172624;-38.13080360867914
1739209752.1172688;-45.120503652039325
1739209752.1172755;-45.120503652039325
1739209752.117282;-45.120503652039325
1739209752.1172884;-38.13080360867914
1739209752.1172948;-45.120503652039325
1739209752.1173012;-33.981070128970906
1739209752.117308;-28.58837851428586
1739209752.1173143;-38.13080360867914
1739209752.1173208;-45.120503652039325
1739209752.1173272;-38.13080360867914
1739209752.1173337;-35.57807855764607
1739209752.1173403;-38.13080360867914
1739209752.1173468;-38.13080360867914
1739209752.1173532;-45.120503652039325
1739209752.1173596;-38.13080360867914
1739209752.117366;-38.13080360867914
1739209752.1173728;-45.120503652039325
1739209752.1173792;-45.120503652039325
1739209752.1173856;-38.13080360867914
1739209752.117392;-38.13080360867914
1739209752.1173985;-38.13080360867914
1739209752.1174052;-38.13080360867914
1739209752.1174116;-35.57807855764607
1739209752.117418;-38.13080360867914
1739209752.1174245;-38.13080360867914
1739209752.117431;-35.57807855764607
1739209752.1174374;-45.120503652039325
1739209752.117444;-45.120503652039325
1739209752.1174505;-45.120503652039325
1739209752.117457;-38.13080360867914
1739209752.1174634;-29.438486411369333
1739209752.1174698;-38.13080360867914
1739209752.1174765;-45.120503652039325
1739209752.117483;-38.13080360867914
1739209752.1174893;-38.13080360867914
1739209752.1174958;-45.120503652039325
1739209752.1175022;-35.57807855764607
1739209752.117509;-45.120503652039325
1739209752.1175153;-32.81601443825658
1739209752.1175218;-45.120503652039325
1739209752.1175282;-45.120503652039325
1739209752.1175346;-45.120503652039325
1739209752.1175413;-38.13080360867914
1739209752.1175478;-38.13080360867914
1739209752.1175542;-45.120503652039325
1739209752.1175606;-38.13080360867914
1739209752.117567;-29.438486411369333
1739209752.1175737;-38.13080360867914
1739209752.1175802;-38.13080360867914
1739209752.1175866;-45.120503652039325
1739209752.117593;-45.120503652039325
1739209752.1175995;-45.120503652039325
1739209752.1176062;-32.816014438256545
1739209752.1176126;-38.13080360867914
1739209752.117619;-45.120503652039325
1739209752.1176255;-38.13080360867914
1739209752.117632;-35.57807855764607
1739209752.1176386;-45.120503652039325
1739209752.117645;-38.13080360867914
1739209752.1176515;-45.120503652039325
1739209752.117658;-38.13080360867914
1739209752.1176643;-45.120503652039325
1739209752.117671;-45.120503652039325
1739209752.1176775;-38.13080360867914
1739209752.117684;-38.13080360867914
1739209752.1176903;-45.120503652039325
1739209752.1176968;-45.120503652039325
1739209752.1177034;-45.120503652039325
1739209752.1177099;-45.120503652039325
1739209752.1177163;-38.13080360867914
1739209752.1177227;-35.57807855764607
1739209752.1177292;-45.120503652039325
1739209752.1177359;-38.13080360867914
1739209752.1177423;-45.120503652039325
1739209752.1177487;-35.57807855764607
1739209752.1177552;-38.13080360867914
1739209752.1177616;-45.120503652039325
1739209752.1177683;-45.120503652039325
1739209752.1177747;-45.120503652039325
1739209752.1177812;-38.13080360867914
1739209752.1177876;-35.57807855764607
