CAN Message; 0x150:04007aac3d842bf6
Timestamp;Amplitude
1739209586.3682966;-38.13080360867914
1739209586.3683019;-45.120503652039325
1739209586.368307;-45.120503652039325
1739209586.3683124;-45.120503652039325
1739209586.3683174;-45.120503652039325
1739209586.3683226;-45.120503652039325
1739209586.3683279;-35.57807855764607
1739209586.368333;-35.57807855764607
1739209586.3683383;-45.120503652039325
1739209586.3683436;-28.992665084841942
1739209586.3683488;-35.57807855764607
1739209586.368354;-35.57807855764607
1739209586.368359;-45.120503652039325
1739209586.3683643;-32.816014438256545
1739209586.3683696;-45.120503652039325
1739209586.3683748;-45.120503652039325
1739209586.36838;-38.13080360867914
1739209586.3683853;-38.13080360867914
1739209586.3683906;-45.120503652039325
1739209586.3683958;-38.13080360867914
1739209586.368401;-38.13080360867914
1739209586.368406;-45.120503652039325
1739209586.3684113;-33.981070128970906
1739209586.3684165;-31.141103565318893
1739209586.3684218;-45.120503652039325
1739209586.368427;-31.141103565318915
1739209586.3684323;-32.816014438256545
1739209586.3684375;-32.816014438256545
1739209586.3684428;-38.13080360867914
1739209586.3684478;-45.120503652039325
1739209586.368453;-33.981070128970906
1739209586.3684583;-38.13080360867914
1739209586.3684635;-35.57807855764607
1739209586.3684688;-38.13080360867914
1739209586.368474;-45.120503652039325
1739209586.3684793;-45.120503652039325
1739209586.3684845;-38.13080360867914
1739209586.3684897;-38.13080360867914
1739209586.3684947;-38.13080360867914
1739209586.3685;-38.13080360867914
1739209586.3685052;-38.13080360867914
1739209586.3685105;-45.120503652039325
1739209586.3685157;-45.120503652039325
1739209586.368521;-33.981070128970906
1739209586.3685262;-38.13080360867914
1739209586.3685315;-45.120503652039325
1739209586.3685365;-45.120503652039325
1739209586.3685417;-45.120503652039325
1739209586.368547;-45.120503652039325
1739209586.3685522;-31.141103565318915
1739209586.3685575;-38.13080360867914
1739209586.3685627;-45.120503652039325
1739209586.368568;-38.13080360867914
1739209586.3685732;-35.57807855764607
1739209586.3685784;-38.13080360867914
1739209586.3685834;-45.120503652039325
1739209586.3685887;-45.120503652039325
1739209586.368594;-45.120503652039325
1739209586.3685992;-45.120503652039325
1739209586.3686044;-35.57807855764607
1739209586.3686097;-38.13080360867914
1739209586.368615;-45.120503652039325
1739209586.3686202;-45.120503652039325
1739209586.3686252;-45.120503652039325
1739209586.3686304;-38.13080360867914
1739209586.3686357;-45.120503652039325
1739209586.368641;-38.13080360867914
1739209586.3686461;-38.13080360867914
1739209586.3686514;-38.13080360867914
1739209586.3686566;-35.57807855764607
1739209586.3686619;-45.120503652039325
1739209586.3686671;-45.120503652039325
1739209586.3686721;-38.13080360867914
1739209586.3686774;-45.120503652039325
1739209586.3686826;-38.13080360867914
1739209586.3686879;-38.13080360867914
1739209586.368693;-45.120503652039325
1739209586.3686984;-45.120503652039325
1739209586.3687036;-38.13080360867914
1739209586.3687088;-38.13080360867914
1739209586.368714;-45.120503652039325
1739209586.368719;-45.120503652039325
1739209586.3687243;-45.120503652039325
1739209586.3687296;-38.13080360867914
1739209586.3687348;-45.120503652039325
1739209586.36874;-45.120503652039325
1739209586.3687453;-38.13080360867914
1739209586.3687506;-38.13080360867914
1739209586.3687558;-38.13080360867914
1739209586.3687608;-38.13080360867914
1739209586.368766;-35.57807855764607
1739209586.3687713;-35.57807855764607
1739209586.3687766;-38.13080360867914
1739209586.3687818;-45.120503652039325
1739209586.368787;-35.57807855764607
1739209586.3687923;-33.981070128970906
1739209586.3687975;-45.120503652039325
1739209586.3688028;-45.120503652039325
1739209586.3688078;-45.120503652039325
1739209586.368813;-38.13080360867914
1739209586.3688183;-38.13080360867914
1739209586.3688235;-45.120503652039325
1739209586.3688288;-45.120503652039325
1739209586.368834;-45.120503652039325
1739209586.3688393;-45.120503652039325
1739209586.3688445;-45.120503652039325
1739209586.3688495;-35.57807855764607
1739209586.3688548;-32.816014438256545
