CAN Message; 0x62:030a27f3d6015f23
Timestamp;Amplitude
1739209766.4540632;-45.120503652039325
1739209766.4540653;-45.120503652039325
1739209766.4540677;-38.13080360867914
1739209766.45407;-38.13080360867914
1739209766.4540722;-38.13080360867914
1739209766.4540746;-38.13080360867914
1739209766.454077;-33.981070128970906
1739209766.4540792;-32.816014438256545
1739209766.4540815;-38.13080360867914
1739209766.4540837;-38.13080360867914
1739209766.454086;-45.120503652039325
1739209766.4540884;-33.981070128970906
1739209766.4540906;-45.120503652039325
1739209766.454093;-38.13080360867914
1739209766.4540954;-33.981070128970906
1739209766.4540975;-38.13080360867914
1739209766.4541;-38.13080360867914
1739209766.4541023;-45.120503652039325
1739209766.4541044;-30.49652367304973
1739209766.4541068;-35.57807855764607
1739209766.4541092;-45.120503652039325
1739209766.4541113;-45.120503652039325
1739209766.4541137;-38.13080360867914
1739209766.4541159;-38.13080360867914
1739209766.4541183;-45.120503652039325
1739209766.4541206;-45.120503652039325
1739209766.4541228;-45.120503652039325
1739209766.4541252;-45.120503652039325
1739209766.4541276;-45.120503652039325
1739209766.4541297;-45.120503652039325
1739209766.454132;-45.120503652039325
1739209766.4541345;-45.120503652039325
1739209766.4541366;-45.120503652039325
1739209766.454139;-38.13080360867914
1739209766.4541414;-28.58837851428586
1739209766.4541435;-35.57807855764607
1739209766.454146;-45.120503652039325
1739209766.454148;-38.13080360867914
1739209766.4541504;-32.816014438256545
1739209766.4541528;-38.13080360867914
1739209766.454155;-38.13080360867914
1739209766.4541574;-35.57807855764607
1739209766.4541597;-45.120503652039325
1739209766.454162;-38.13080360867914
1739209766.4541643;-45.120503652039325
1739209766.4541667;-38.13080360867914
1739209766.4541688;-45.120503652039325
1739209766.4541712;-45.120503652039325
1739209766.4541736;-45.120503652039325
1739209766.4541757;-45.120503652039325
1739209766.454178;-45.120503652039325
1739209766.4541802;-45.120503652039325
1739209766.4541826;-45.120503652039325
1739209766.454185;-45.120503652039325
1739209766.4541872;-45.120503652039325
1739209766.4541895;-38.13080360867914
1739209766.454192;-32.816014438256545
1739209766.454194;-45.120503652039325
1739209766.4541965;-29.438486411369333
1739209766.4541988;-32.816014438256545
1739209766.454201;-38.13080360867914
1739209766.4542034;-38.13080360867914
1739209766.4542058;-35.57807855764607
1739209766.454208;-38.13080360867914
1739209766.4542103;-38.13080360867914
1739209766.4542124;-45.120503652039325
1739209766.4542148;-45.120503652039325
1739209766.4542172;-45.120503652039325
1739209766.4542193;-35.57807855764607
1739209766.4542217;-35.57807855764607
1739209766.454224;-45.120503652039325
1739209766.4542263;-38.13080360867914
1739209766.4542286;-38.13080360867914
1739209766.454231;-45.120503652039325
1739209766.4542332;-31.141103565318893
1739209766.4542356;-29.438486411369333
1739209766.454238;-38.13080360867914
1739209766.45424;-45.120503652039325
1739209766.4542425;-33.981070128970906
1739209766.4542446;-33.981070128970906
1739209766.454247;-45.120503652039325
1739209766.4542494;-33.981070128970906
1739209766.4542515;-45.120503652039325
1739209766.454254;-38.13080360867914
1739209766.4542563;-38.13080360867914
1739209766.4542584;-38.13080360867914
1739209766.4542608;-45.120503652039325
1739209766.4542632;-45.120503652039325
1739209766.4542654;-38.13080360867914
1739209766.4542677;-45.120503652039325
1739209766.4542701;-35.57807855764607
1739209766.4542723;-30.49652367304973
1739209766.4542747;-38.13080360867914
1739209766.4542768;-38.13080360867914
1739209766.4542792;-38.13080360867914
1739209766.4542816;-33.981070128970906
1739209766.4542837;-45.120503652039325
1739209766.454286;-38.13080360867914
1739209766.4542885;-45.120503652039325
1739209766.4542906;-33.981070128970956
1739209766.454293;-38.13080360867914
1739209766.4542954;-45.120503652039325
1739209766.4542975;-45.120503652039325
1739209766.4543;-45.120503652039325
1739209766.4543023;-38.13080360867914
1739209766.4543045;-45.120503652039325
1739209766.4543068;-45.120503652039325
1739209766.4543092;-38.13080360867914
1739209766.4543114;-35.57807855764607
1739209766.4543138;-35.57807855764607
1739209766.454316;-38.13080360867914
1739209766.4543183;-45.120503652039325
1739209766.4543207;-45.120503652039325
1739209766.4543228;-45.120503652039325
1739209766.4543252;-45.120503652039325
1739209766.4543276;-45.120503652039325
1739209766.4543297;-45.120503652039325
1739209766.454332;-45.120503652039325
1739209766.4543345;-45.120503652039325
1739209766.4543366;-38.13080360867914
1739209766.454339;-38.13080360867914
1739209766.4543414;-45.120503652039325
1739209766.4543436;-45.120503652039325
1739209766.454346;-38.13080360867914
