CAN Message; 0x24:0800ac675a400147
Timestamp;Amplitude
1739209800.4840906;-32.816014438256545
1739209800.4840972;-35.57807855764607
1739209800.4841037;-38.13080360867914
1739209800.4841104;-45.120503652039325
1739209800.484117;-35.57807855764607
1739209800.4841237;-38.13080360867914
1739209800.4841304;-45.120503652039325
1739209800.484137;-38.13080360867914
1739209800.4841435;-45.120503652039325
1739209800.4841502;-45.120503652039325
1739209800.4841568;-45.120503652039325
1739209800.4841635;-38.13080360867914
1739209800.4841702;-38.13080360867914
1739209800.4841769;-38.13080360867914
1739209800.4841833;-45.120503652039325
1739209800.48419;-45.120503652039325
1739209800.4841967;-32.816014438256545
1739209800.4842033;-38.13080360867914
1739209800.48421;-45.120503652039325
1739209800.4842165;-45.120503652039325
1739209800.4842231;-45.120503652039325
1739209800.4842298;-33.981070128970906
1739209800.4842365;-45.120503652039325
1739209800.4842432;-45.120503652039325
1739209800.4842498;-38.13080360867914
1739209800.4842563;-45.120503652039325
1739209800.484263;-45.120503652039325
1739209800.4842696;-45.120503652039325
1739209800.4842763;-45.120503652039325
1739209800.484283;-38.13080360867914
1739209800.4842896;-35.57807855764607
1739209800.484296;-38.13080360867914
1739209800.4843028;-38.13080360867914
1739209800.4843094;-38.13080360867914
1739209800.484316;-45.120503652039325
1739209800.4843228;-35.57807855764607
1739209800.4843292;-45.120503652039325
1739209800.484336;-45.120503652039325
1739209800.4843426;-35.57807855764607
1739209800.4843493;-45.120503652039325
1739209800.484356;-38.13080360867914
1739209800.4843626;-38.13080360867914
1739209800.484369;-35.57807855764607
1739209800.4843757;-38.13080360867914
1739209800.4843824;-45.120503652039325
1739209800.484389;-35.57807855764607
1739209800.4843957;-38.13080360867914
1739209800.4844024;-38.13080360867914
1739209800.4844089;-45.120503652039325
1739209800.4844155;-38.13080360867914
1739209800.4844222;-38.13080360867914
1739209800.484429;-38.13080360867914
1739209800.4844356;-45.120503652039325
1739209800.484442;-45.120503652039325
1739209800.4844487;-38.13080360867914
1739209800.4844553;-35.57807855764607
1739209800.484462;-45.120503652039325
1739209800.4844687;-33.981070128970906
1739209800.4844754;-33.981070128970906
1739209800.4844818;-38.13080360867914
1739209800.4844885;-38.13080360867914
1739209800.4844952;-38.13080360867914
1739209800.4845018;-38.13080360867914
1739209800.4845085;-38.13080360867914
1739209800.4845152;-45.120503652039325
1739209800.4845216;-45.120503652039325
1739209800.4845283;-45.120503652039325
1739209800.484535;-38.13080360867914
1739209800.4845417;-38.13080360867914
