CAN Message; 0x1a7:0000cae95152d4c7
Timestamp;Amplitude
1739209610.746018;-45.120503652039325
1739209610.746025;-45.120503652039325
1739209610.7460325;-35.57807855764607
1739209610.7460396;-38.13080360867914
1739209610.746047;-45.120503652039325
1739209610.7460542;-38.13080360867914
1739209610.7460616;-38.13080360867914
1739209610.7460687;-45.120503652039325
1739209610.746076;-45.120503652039325
1739209610.7460835;-45.120503652039325
1739209610.7460907;-45.120503652039325
1739209610.746098;-45.120503652039325
1739209610.7461052;-35.57807855764607
1739209610.7461126;-38.13080360867914
1739209610.7461197;-35.57807855764607
1739209610.7461271;-38.13080360867914
1739209610.7461345;-45.120503652039325
1739209610.7461417;-45.120503652039325
1739209610.746149;-30.49652367304973
1739209610.7461562;-32.816014438256545
1739209610.7461636;-45.120503652039325
1739209610.7461708;-35.57807855764607
1739209610.7461782;-35.57807855764607
1739209610.7461853;-45.120503652039325
1739209610.7461927;-45.120503652039325
1739209610.7462;-38.13080360867914
1739209610.7462072;-38.13080360867914
1739209610.7462146;-45.120503652039325
1739209610.7462218;-45.120503652039325
1739209610.7462292;-45.120503652039325
1739209610.7462363;-45.120503652039325
1739209610.7462437;-45.120503652039325
1739209610.746251;-45.120503652039325
1739209610.7462583;-45.120503652039325
1739209610.7462656;-33.981070128970906
1739209610.7462728;-30.49652367304973
1739209610.7462802;-35.57807855764607
1739209610.7462873;-38.13080360867914
1739209610.7462947;-45.120503652039325
1739209610.746302;-45.120503652039325
1739209610.7463093;-35.57807855764607
1739209610.7463167;-38.13080360867914
1739209610.7463238;-45.120503652039325
1739209610.7463312;-38.13080360867914
1739209610.7463384;-38.13080360867914
1739209610.7463458;-45.120503652039325
1739209610.746353;-38.13080360867914
1739209610.7463603;-35.57807855764607
1739209610.7463677;-45.120503652039325
1739209610.7463748;-45.120503652039325
1739209610.7463822;-38.13080360867914
1739209610.7463894;-45.120503652039325
1739209610.7463968;-45.120503652039325
1739209610.746404;-45.120503652039325
1739209610.7464113;-45.120503652039325
1739209610.7464185;-45.120503652039325
1739209610.7464259;-45.120503652039325
1739209610.7464333;-45.120503652039325
1739209610.7464404;-38.13080360867914
1739209610.7464478;-31.141103565318915
1739209610.746455;-38.13080360867914
1739209610.7464623;-33.981070128970906
1739209610.7464695;-45.120503652039325
1739209610.746477;-35.57807855764607
1739209610.746484;-33.981070128970906
1739209610.7464914;-45.120503652039325
1739209610.7464988;-45.120503652039325
1739209610.746506;-31.14110356531892
1739209610.7465134;-38.13080360867914
1739209610.7465205;-38.13080360867914
1739209610.746528;-38.13080360867914
1739209610.746535;-45.120503652039325
1739209610.7465425;-45.120503652039325
1739209610.7465498;-45.120503652039325
1739209610.746557;-45.120503652039325
1739209610.7465644;-31.141103565318915
1739209610.7465715;-45.120503652039325
