CAN Message; 0x98:0000e938a1e2c03c
Timestamp;Amplitude
1739209863.866011;-45.120503652039325
1739209863.8660166;-38.13080360867914
1739209863.8660226;-45.120503652039325
1739209863.8660283;-38.13080360867914
1739209863.866034;-38.13080360867914
1739209863.8660398;-45.120503652039325
1739209863.8660457;-45.120503652039325
1739209863.8660514;-38.13080360867914
1739209863.8660572;-35.57807855764607
1739209863.8660629;-38.13080360867914
1739209863.8660688;-35.57807855764607
1739209863.8660746;-45.120503652039325
1739209863.8660803;-33.981070128970906
1739209863.866086;-38.13080360867914
1739209863.866092;-35.57807855764607
1739209863.8660977;-38.13080360867914
1739209863.8661034;-45.120503652039325
1739209863.8661091;-38.13080360867914
1739209863.866115;-35.57807855764607
1739209863.8661208;-38.13080360867914
1739209863.8661265;-33.981070128970956
1739209863.8661323;-45.120503652039325
1739209863.8661382;-45.120503652039325
1739209863.866144;-45.120503652039325
1739209863.8661497;-45.120503652039325
1739209863.8661554;-45.120503652039325
1739209863.8661613;-35.57807855764607
1739209863.866167;-38.13080360867914
1739209863.8661728;-26.991370085610722
1739209863.8661785;-38.13080360867914
1739209863.8661845;-38.13080360867914
1739209863.8661902;-45.120503652039325
1739209863.866196;-38.13080360867914
1739209863.8662019;-35.57807855764607
1739209863.8662076;-45.120503652039325
1739209863.8662133;-38.13080360867914
1739209863.866219;-45.120503652039325
1739209863.866225;-45.120503652039325
1739209863.8662307;-38.13080360867914
1739209863.8662364;-38.13080360867914
1739209863.8662422;-38.13080360867914
1739209863.8662481;-45.120503652039325
1739209863.8662539;-45.120503652039325
1739209863.8662596;-38.13080360867914
1739209863.8662653;-35.57807855764607
1739209863.8662713;-45.120503652039325
1739209863.866277;-45.120503652039325
1739209863.8662827;-45.120503652039325
1739209863.8662884;-45.120503652039325
1739209863.8662944;-45.120503652039325
1739209863.8663;-38.13080360867914
1739209863.8663058;-45.120503652039325
1739209863.8663116;-38.13080360867914
1739209863.8663175;-32.816014438256545
1739209863.8663232;-38.13080360867914
1739209863.866329;-45.120503652039325
1739209863.8663347;-45.120503652039325
1739209863.8663406;-38.13080360867914
1739209863.8663464;-38.13080360867914
1739209863.866352;-38.13080360867914
1739209863.8663578;-38.13080360867914
1739209863.8663638;-32.816014438256545
1739209863.8663695;-38.13080360867914
1739209863.8663752;-45.120503652039325
1739209863.866381;-38.13080360867914
1739209863.866387;-38.13080360867914
1739209863.8663926;-33.981070128970906
1739209863.8663983;-38.13080360867914
1739209863.866404;-31.141103565318915
1739209863.86641;-28.992665084841942
1739209863.8664157;-45.120503652039325
1739209863.8664215;-38.13080360867914
1739209863.8664272;-38.13080360867914
1739209863.8664331;-38.13080360867914
1739209863.8664389;-38.13080360867914
1739209863.8664446;-45.120503652039325
1739209863.8664503;-38.13080360867914
1739209863.8664563;-38.13080360867914
1739209863.866462;-45.120503652039325
1739209863.8664677;-45.120503652039325
1739209863.8664734;-45.120503652039325
1739209863.8664794;-38.13080360867914
1739209863.866485;-45.120503652039325
1739209863.8664908;-45.120503652039325
1739209863.8664966;-45.120503652039325
1739209863.8665025;-45.120503652039325
1739209863.8665082;-45.120503652039325
1739209863.866514;-45.120503652039325
1739209863.8665197;-38.13080360867914
1739209863.8665257;-45.120503652039325
1739209863.8665314;-38.13080360867914
1739209863.866537;-38.13080360867914
1739209863.8665428;-38.13080360867914
1739209863.8665488;-38.13080360867914
1739209863.8665545;-45.120503652039325
1739209863.8665602;-38.13080360867914
1739209863.8665662;-38.13080360867914
1739209863.866572;-38.13080360867914
1739209863.8665776;-32.816014438256545
1739209863.8665833;-38.13080360867914
1739209863.8665893;-38.13080360867914
1739209863.866595;-33.981070128970906
1739209863.8666008;-35.57807855764607
1739209863.8666065;-45.120503652039325
1739209863.8666124;-45.120503652039325
1739209863.8666182;-38.13080360867914
1739209863.8666239;-45.120503652039325
1739209863.8666296;-33.981070128970906
1739209863.8666356;-45.120503652039325
1739209863.8666413;-33.981070128970906
1739209863.866647;-45.120503652039325
1739209863.8666527;-35.57807855764607
1739209863.8666587;-38.13080360867914
1739209863.8666644;-38.13080360867914
1739209863.8666701;-38.13080360867914
1739209863.8666759;-38.13080360867914
1739209863.8666818;-35.57807855764607
1739209863.8666875;-38.13080360867914
1739209863.8666933;-45.120503652039325
1739209863.866699;-45.120503652039325
1739209863.866705;-35.57807855764607
1739209863.8667107;-45.120503652039325
1739209863.8667164;-38.13080360867914
1739209863.866722;-38.13080360867914
1739209863.866728;-38.13080360867914
1739209863.8667338;-38.13080360867914
1739209863.8667395;-35.57807855764607
1739209863.8667452;-45.120503652039325
1739209863.8667512;-45.120503652039325
1739209863.866757;-38.13080360867914
1739209863.8667626;-35.57807855764607
1739209863.8667684;-38.13080360867914
1739209863.8667743;-45.120503652039325
1739209863.86678;-33.981070128970906
1739209863.8667858;-31.141103565318893
1739209863.8667915;-38.13080360867914
1739209863.8667974;-45.120503652039325
1739209863.8668032;-45.120503652039325
1739209863.866809;-38.13080360867914
1739209863.8668146;-38.13080360867914
1739209863.8668206;-38.13080360867914
1739209863.8668263;-38.13080360867914
1739209863.866832;-45.120503652039325
1739209863.8668377;-38.13080360867914
1739209863.8668437;-45.120503652039325
1739209863.8668494;-38.13080360867914
1739209863.8668551;-45.120503652039325
1739209863.8668609;-35.57807855764607
1739209863.8668668;-38.13080360867914
1739209863.8668725;-38.13080360867914
1739209863.8668783;-35.57807855764607
1739209863.866884;-38.13080360867914
1739209863.86689;-45.120503652039325
1739209863.8668957;-38.13080360867914
1739209863.8669014;-35.57807855764607
1739209863.8669071;-33.981070128970906
1739209863.866913;-45.120503652039325
1739209863.8669188;-45.120503652039325
1739209863.8669245;-45.120503652039325
1739209863.8669305;-45.120503652039325
1739209863.8669362;-45.120503652039325
1739209863.866942;-45.120503652039325
1739209863.8669477;-45.120503652039325
1739209863.8669536;-45.120503652039325
1739209863.8669593;-38.13080360867914
1739209863.866965;-38.13080360867914
1739209863.8669708;-35.57807855764607
1739209863.8669767;-38.13080360867914
1739209863.8669825;-38.13080360867914
1739209863.8669882;-45.120503652039325
1739209863.866994;-32.816014438256545
1739209863.8669999;-38.13080360867914
1739209863.8670056;-45.120503652039325
1739209863.8670113;-38.13080360867914
1739209863.867017;-45.120503652039325
1739209863.867023;-45.120503652039325
1739209863.8670287;-45.120503652039325
1739209863.8670344;-38.13080360867914
1739209863.8670402;-45.120503652039325
1739209863.867046;-45.120503652039325
1739209863.8670518;-45.120503652039325
1739209863.8670576;-45.120503652039325
1739209863.8670633;-38.13080360867914
1739209863.8670692;-38.13080360867914
1739209863.867075;-38.13080360867914
1739209863.8670807;-38.13080360867914
1739209863.8670864;-32.816014438256545
1739209863.8670924;-38.13080360867914
1739209863.867098;-38.13080360867914
1739209863.8671038;-33.981070128970906
1739209863.8671095;-45.120503652039325
1739209863.8671155;-35.57807855764607
1739209863.8671212;-38.13080360867914
1739209863.867127;-45.120503652039325
1739209863.8671327;-45.120503652039325
1739209863.8671386;-38.13080360867914
1739209863.8671443;-45.120503652039325
1739209863.86715;-45.120503652039325
1739209863.8671558;-38.13080360867914
1739209863.8671618;-38.13080360867914
1739209863.8671675;-45.120503652039325
1739209863.8671732;-38.13080360867914
1739209863.867179;-31.141103565318893
1739209863.8671849;-45.120503652039325
1739209863.8671906;-45.120503652039325
1739209863.8671963;-38.13080360867914
1739209863.867202;-30.49652367304973
1739209863.867208;-33.981070128970906
1739209863.8672137;-45.120503652039325
1739209863.8672194;-45.120503652039325
1739209863.8672252;-45.120503652039325
1739209863.8672311;-38.13080360867914
1739209863.8672369;-45.120503652039325
1739209863.8672426;-33.981070128970906
1739209863.8672483;-35.57807855764607
1739209863.8672543;-45.120503652039325
1739209863.86726;-45.120503652039325
1739209863.8672657;-38.13080360867914
1739209863.8672714;-35.57807855764607
1739209863.8672774;-45.120503652039325
1739209863.867283;-38.13080360867914
1739209863.8672888;-45.120503652039325
1739209863.8672948;-28.992665084841942
1739209863.8673005;-33.981070128970906
1739209863.8673062;-45.120503652039325
1739209863.867312;-38.13080360867914
1739209863.867318;-35.57807855764607
1739209863.8673236;-35.57807855764607
