CAN Message; 0x150:0600ae8dc76ca86c
Timestamp;Amplitude
1739209828.0815315;-45.120503652039325
1739209828.0815332;-45.120503652039325
1739209828.081535;-45.120503652039325
1739209828.0815368;-38.13080360867914
1739209828.0815384;-38.13080360867914
1739209828.08154;-45.120503652039325
1739209828.081542;-38.13080360867914
1739209828.0815437;-35.57807855764607
1739209828.0815454;-38.13080360867914
1739209828.081547;-38.13080360867914
1739209828.0815487;-45.120503652039325
1739209828.0815506;-38.13080360867914
1739209828.0815523;-35.57807855764607
1739209828.081554;-35.57807855764607
1739209828.0815556;-38.13080360867914
1739209828.0815575;-45.120503652039325
1739209828.0815592;-45.120503652039325
1739209828.0815609;-45.120503652039325
1739209828.0815625;-45.120503652039325
1739209828.0815642;-45.120503652039325
1739209828.081566;-45.120503652039325
1739209828.0815678;-38.13080360867914
1739209828.0815694;-45.120503652039325
1739209828.081571;-45.120503652039325
1739209828.081573;-45.120503652039325
1739209828.0815747;-35.57807855764607
1739209828.0815763;-38.13080360867914
1739209828.081578;-33.981070128970906
1739209828.0815797;-38.13080360867914
1739209828.0815816;-38.13080360867914
1739209828.0815833;-45.120503652039325
1739209828.081585;-38.13080360867914
1739209828.0815866;-35.57807855764607
1739209828.0815885;-35.57807855764607
1739209828.0815902;-35.57807855764607
1739209828.0815918;-45.120503652039325
1739209828.0815935;-45.120503652039325
1739209828.0815952;-38.13080360867914
1739209828.081597;-38.13080360867914
1739209828.0815988;-45.120503652039325
1739209828.0816004;-45.120503652039325
1739209828.081602;-45.120503652039325
1739209828.081604;-45.120503652039325
1739209828.0816057;-38.13080360867914
1739209828.0816073;-45.120503652039325
1739209828.081609;-38.13080360867914
1739209828.0816107;-45.120503652039325
1739209828.0816126;-38.13080360867914
1739209828.0816143;-35.57807855764607
1739209828.081616;-38.13080360867914
1739209828.0816176;-38.13080360867914
1739209828.0816195;-45.120503652039325
1739209828.0816212;-38.13080360867914
1739209828.0816228;-35.57807855764607
1739209828.0816245;-33.981070128970906
1739209828.0816262;-45.120503652039325
1739209828.081628;-38.13080360867914
1739209828.0816298;-35.57807855764607
1739209828.0816314;-38.13080360867914
1739209828.081633;-38.13080360867914
1739209828.081635;-29.438486411369347
1739209828.0816367;-38.13080360867914
1739209828.0816383;-45.120503652039325
1739209828.08164;-45.120503652039325
1739209828.0816417;-45.120503652039325
1739209828.0816436;-38.13080360867914
1739209828.0816453;-45.120503652039325
1739209828.081647;-33.981070128970906
1739209828.0816486;-28.992665084841942
1739209828.0816505;-38.13080360867914
1739209828.0816522;-38.13080360867914
1739209828.0816538;-45.120503652039325
1739209828.0816555;-33.981070128970906
1739209828.0816572;-45.120503652039325
1739209828.081659;-35.57807855764607
1739209828.0816607;-38.13080360867914
1739209828.0816624;-38.13080360867914
1739209828.081664;-35.57807855764607
1739209828.081666;-45.120503652039325
1739209828.0816677;-38.13080360867914
1739209828.0816693;-45.120503652039325
1739209828.081671;-45.120503652039325
1739209828.0816727;-38.13080360867914
1739209828.0816746;-38.13080360867914
1739209828.0816762;-38.13080360867914
1739209828.081678;-35.57807855764607
1739209828.0816796;-38.13080360867914
1739209828.0816815;-38.13080360867914
1739209828.0816832;-38.13080360867914
1739209828.0816848;-45.120503652039325
1739209828.0816865;-38.13080360867914
1739209828.0816882;-45.120503652039325
1739209828.08169;-38.13080360867914
1739209828.0816917;-45.120503652039325
1739209828.0816934;-38.13080360867914
1739209828.081695;-38.13080360867914
1739209828.081697;-45.120503652039325
1739209828.0816987;-38.13080360867914
1739209828.0817003;-38.13080360867914
1739209828.081702;-45.120503652039325
1739209828.0817037;-38.13080360867914
1739209828.0817056;-45.120503652039325
1739209828.0817072;-38.13080360867914
1739209828.081709;-35.57807855764607
1739209828.0817106;-38.13080360867914
1739209828.0817125;-45.120503652039325
1739209828.0817142;-45.120503652039325
1739209828.0817158;-38.13080360867914
1739209828.0817175;-31.141103565318915
1739209828.0817192;-45.120503652039325
1739209828.081721;-38.13080360867914
1739209828.0817227;-45.120503652039325
1739209828.0817244;-38.13080360867914
1739209828.081726;-38.13080360867914
1739209828.081728;-38.13080360867914
1739209828.0817297;-45.120503652039325
1739209828.0817313;-31.141103565318915
1739209828.081733;-35.57807855764607
1739209828.0817347;-38.13080360867914
1739209828.0817366;-45.120503652039325
1739209828.0817382;-38.13080360867914
1739209828.08174;-38.13080360867914
1739209828.0817416;-45.120503652039325
1739209828.0817435;-45.120503652039325
1739209828.0817451;-38.13080360867914
