CAN Message; 0x24:0ee00c2cd1eb8a88
Timestamp;Amplitude
1739209825.1839879;-45.120503652039325
1739209825.1840143;-38.13080360867914
1739209825.1840408;-38.13080360867914
1739209825.1840672;-38.13080360867914
1739209825.1840937;-45.120503652039325
1739209825.1841202;-38.13080360867914
1739209825.184147;-33.981070128970906
1739209825.1841733;-38.13080360867914
1739209825.1841998;-45.120503652039325
1739209825.1842263;-38.13080360867914
1739209825.1842527;-38.13080360867914
1739209825.1842792;-45.120503652039325
1739209825.1843057;-45.120503652039325
1739209825.1843321;-45.120503652039325
1739209825.1843586;-33.981070128970906
1739209825.184385;-38.13080360867914
1739209825.1844115;-45.120503652039325
1739209825.184438;-38.13080360867914
1739209825.1844645;-38.13080360867914
1739209825.1844912;-38.13080360867914
1739209825.1845176;-45.120503652039325
1739209825.184544;-38.13080360867914
1739209825.1845706;-35.57807855764607
1739209825.184597;-38.13080360867914
1739209825.1846235;-38.13080360867914
1739209825.18465;-38.13080360867914
1739209825.1846764;-38.13080360867914
1739209825.1847029;-38.13080360867914
1739209825.1847293;-45.120503652039325
1739209825.1847558;-45.120503652039325
1739209825.1847823;-38.13080360867914
1739209825.1848087;-45.120503652039325
1739209825.1848354;-38.13080360867914
1739209825.184862;-38.13080360867914
1739209825.1848884;-38.13080360867914
1739209825.1849148;-45.120503652039325
1739209825.1849413;-45.120503652039325
1739209825.1849678;-33.981070128970906
1739209825.1849942;-35.57807855764607
1739209825.1850207;-38.13080360867914
1739209825.1850471;-38.13080360867914
1739209825.1850736;-38.13080360867914
1739209825.1851;-45.120503652039325
1739209825.1851265;-38.13080360867914
1739209825.185153;-35.57807855764607
1739209825.1851797;-31.141103565318915
1739209825.1852062;-28.992665084841942
1739209825.1852326;-38.13080360867914
1739209825.185259;-45.120503652039325
1739209825.1852856;-38.13080360867914
1739209825.185312;-38.13080360867914
1739209825.1853385;-45.120503652039325
1739209825.185365;-38.13080360867914
1739209825.1853914;-31.141103565318915
1739209825.185418;-31.14110356531892
1739209825.1854444;-38.13080360867914
1739209825.1854708;-38.13080360867914
1739209825.1854973;-38.13080360867914
1739209825.1855237;-38.13080360867914
1739209825.1855505;-38.13080360867914
1739209825.185577;-45.120503652039325
1739209825.1856034;-38.13080360867914
1739209825.1856298;-31.141103565318915
1739209825.1856563;-38.13080360867914
1739209825.1856828;-45.120503652039325
1739209825.1857092;-38.13080360867914
1739209825.1857357;-38.13080360867914
1739209825.1857622;-45.120503652039325
1739209825.1857886;-38.13080360867914
1739209825.185815;-38.13080360867914
1739209825.1858416;-38.13080360867914
1739209825.185868;-45.120503652039325
1739209825.1858947;-45.120503652039325
1739209825.1859212;-45.120503652039325
1739209825.1859477;-45.120503652039325
1739209825.1859741;-45.120503652039325
1739209825.1860006;-45.120503652039325
1739209825.186027;-38.13080360867914
1739209825.1860535;-35.57807855764607
1739209825.18608;-38.13080360867914
1739209825.1861064;-38.13080360867914
1739209825.186133;-38.13080360867914
1739209825.1861594;-35.57807855764607
1739209825.1861858;-35.57807855764607
1739209825.1862123;-38.13080360867914
1739209825.186239;-38.13080360867914
1739209825.1862655;-30.49652367304973
1739209825.186292;-35.57807855764607
1739209825.1863184;-45.120503652039325
1739209825.1863449;-38.13080360867914
1739209825.1863713;-30.49652367304973
1739209825.1863978;-30.49652367304973
1739209825.1864243;-45.120503652039325
1739209825.1864507;-45.120503652039325
1739209825.1864772;-45.120503652039325
1739209825.1865036;-45.120503652039325
1739209825.18653;-45.120503652039325
