CAN Message; 0x77:9fe4cde5cf6e27dc
Timestamp;Amplitude
1739209693.173274;-38.13080360867914
1739209693.1732767;-38.13080360867914
1739209693.173279;-38.13080360867914
1739209693.1732814;-38.13080360867914
1739209693.1732838;-38.13080360867914
1739209693.1732864;-35.57807855764607
1739209693.1732888;-38.13080360867914
1739209693.1732912;-33.981070128970956
1739209693.1732936;-38.13080360867914
1739209693.1732962;-35.57807855764607
1739209693.1732986;-38.13080360867914
1739209693.173301;-45.120503652039325
1739209693.1733034;-38.13080360867914
1739209693.173306;-38.13080360867914
1739209693.1733084;-33.981070128970906
1739209693.1733108;-30.49652367304973
1739209693.1733131;-45.120503652039325
1739209693.1733158;-45.120503652039325
1739209693.1733181;-38.13080360867914
1739209693.1733205;-45.120503652039325
1739209693.173323;-45.120503652039325
1739209693.1733255;-35.57807855764607
1739209693.173328;-38.13080360867914
1739209693.1733303;-45.120503652039325
1739209693.1733327;-38.13080360867914
1739209693.1733353;-35.57807855764607
1739209693.1733377;-38.13080360867914
1739209693.17334;-35.57807855764607
1739209693.1733427;-38.13080360867914
1739209693.173345;-45.120503652039325
1739209693.1733475;-45.120503652039325
1739209693.1733499;-45.120503652039325
1739209693.1733525;-38.13080360867914
1739209693.1733549;-38.13080360867914
1739209693.1733572;-45.120503652039325
1739209693.1733596;-45.120503652039325
1739209693.1733623;-38.13080360867914
1739209693.1733646;-38.13080360867914
1739209693.173367;-45.120503652039325
1739209693.1733694;-35.57807855764607
1739209693.173372;-38.13080360867914
1739209693.1733744;-45.120503652039325
1739209693.1733768;-45.120503652039325
1739209693.1733792;-45.120503652039325
1739209693.1733818;-38.13080360867914
1739209693.1733842;-38.13080360867914
1739209693.1733866;-45.120503652039325
1739209693.173389;-45.120503652039325
1739209693.1733916;-45.120503652039325
1739209693.173394;-45.120503652039325
1739209693.1733963;-45.120503652039325
1739209693.1733987;-38.13080360867914
1739209693.1734014;-35.57807855764607
1739209693.1734037;-38.13080360867914
1739209693.1734061;-38.13080360867914
1739209693.1734085;-45.120503652039325
1739209693.1734111;-45.120503652039325
1739209693.1734135;-38.13080360867914
1739209693.173416;-38.13080360867914
1739209693.1734185;-38.13080360867914
1739209693.173421;-45.120503652039325
1739209693.1734233;-35.57807855764607
1739209693.1734257;-45.120503652039325
1739209693.1734283;-38.13080360867914
1739209693.1734307;-38.13080360867914
1739209693.173433;-45.120503652039325
1739209693.1734354;-45.120503652039325
1739209693.173438;-35.57807855764607
1739209693.1734405;-38.13080360867914
1739209693.1734428;-45.120503652039325
1739209693.1734452;-45.120503652039325
1739209693.1734478;-45.120503652039325
1739209693.1734502;-33.981070128970906
1739209693.1734526;-38.13080360867914
1739209693.173455;-38.13080360867914
1739209693.1734576;-31.141103565318893
1739209693.17346;-31.141103565318915
1739209693.1734624;-45.120503652039325
1739209693.1734648;-45.120503652039325
