CAN Message; 0x1bb:00008b2f8f787a89
Timestamp;Amplitude
1739209749.961172;-33.981070128970906
1739209749.96118;-45.120503652039325
1739209749.9611878;-45.120503652039325
1739209749.961196;-45.120503652039325
1739209749.9612038;-45.120503652039325
1739209749.9612117;-45.120503652039325
1739209749.9612195;-45.120503652039325
1739209749.9612274;-33.981070128970906
1739209749.9612353;-45.120503652039325
1739209749.9612432;-33.981070128970906
1739209749.9612513;-38.13080360867914
1739209749.9612591;-35.57807855764607
1739209749.961267;-32.816014438256545
1739209749.9612749;-45.120503652039325
1739209749.9612827;-45.120503652039325
1739209749.9612906;-45.120503652039325
1739209749.9612987;-31.141103565318915
1739209749.9613066;-45.120503652039325
1739209749.9613144;-38.13080360867914
1739209749.9613223;-38.13080360867914
1739209749.9613302;-45.120503652039325
1739209749.961338;-45.120503652039325
1739209749.961346;-45.120503652039325
1739209749.961354;-38.13080360867914
1739209749.961362;-45.120503652039325
1739209749.9613698;-45.120503652039325
1739209749.9613776;-38.13080360867914
1739209749.9613855;-35.57807855764607
1739209749.9613934;-38.13080360867914
1739209749.9614012;-45.120503652039325
1739209749.9614093;-45.120503652039325
1739209749.9614172;-35.57807855764607
1739209749.961425;-38.13080360867914
1739209749.961433;-38.13080360867914
1739209749.9614408;-45.120503652039325
1739209749.9614487;-45.120503652039325
1739209749.9614568;-38.13080360867914
1739209749.9614646;-45.120503652039325
1739209749.9614725;-45.120503652039325
1739209749.9614804;-45.120503652039325
1739209749.9614882;-45.120503652039325
1739209749.961496;-38.13080360867914
1739209749.961504;-45.120503652039325
1739209749.961512;-45.120503652039325
1739209749.96152;-38.13080360867914
1739209749.9615278;-38.13080360867914
1739209749.9615357;-45.120503652039325
1739209749.9615436;-35.57807855764607
1739209749.9615514;-38.13080360867914
1739209749.9615593;-45.120503652039325
1739209749.9615674;-38.13080360867914
1739209749.9615753;-38.13080360867914
1739209749.9615831;-27.267205301931607
1739209749.961591;-38.13080360867914
1739209749.9615989;-38.13080360867914
1739209749.9616067;-38.13080360867914
1739209749.9616148;-38.13080360867914
1739209749.9616227;-35.57807855764607
1739209749.9616306;-45.120503652039325
1739209749.9616385;-45.120503652039325
1739209749.9616463;-32.816014438256545
1739209749.9616542;-38.13080360867914
1739209749.961662;-45.120503652039325
1739209749.9616702;-45.120503652039325
1739209749.961678;-38.13080360867914
1739209749.961686;-38.13080360867914
1739209749.9616938;-38.13080360867914
1739209749.9617016;-45.120503652039325
1739209749.9617095;-28.992665084841942
1739209749.9617174;-38.13080360867914
1739209749.9617255;-38.13080360867914
1739209749.9617333;-38.13080360867914
1739209749.9617412;-31.141103565318915
1739209749.961749;-38.13080360867914
1739209749.961757;-38.13080360867914
1739209749.9617648;-45.120503652039325
1739209749.961773;-33.981070128970906
1739209749.9617808;-33.981070128970906
1739209749.9617887;-38.13080360867914
1739209749.9617965;-35.57807855764607
1739209749.9618044;-38.13080360867914
1739209749.9618123;-45.120503652039325
1739209749.9618201;-45.120503652039325
1739209749.9618282;-38.13080360867914
1739209749.961836;-31.141103565318915
1739209749.961844;-33.981070128970906
1739209749.9618518;-38.13080360867914
1739209749.9618597;-38.13080360867914
1739209749.9618676;-38.13080360867914
1739209749.9618754;-38.13080360867914
1739209749.9618835;-38.13080360867914
1739209749.9618914;-38.13080360867914
1739209749.9618993;-33.981070128970906
1739209749.9619071;-38.13080360867914
1739209749.961915;-45.120503652039325
1739209749.961923;-35.57807855764607
1739209749.9619308;-45.120503652039325
1739209749.9619389;-45.120503652039325
1739209749.9619467;-45.120503652039325
1739209749.9619546;-38.13080360867914
1739209749.9619625;-33.981070128970906
1739209749.9619703;-35.57807855764607
1739209749.9619782;-38.13080360867914
1739209749.9619863;-38.13080360867914
1739209749.9619942;-38.13080360867914
