CAN Message; 0x1d3:0000ebecba050d80
Timestamp;Amplitude
1739209710.8792102;-38.13080360867914
1739209710.879218;-45.120503652039325
1739209710.8792262;-45.120503652039325
1739209710.8792343;-38.13080360867914
1739209710.8792422;-38.13080360867914
1739209710.8792503;-45.120503652039325
1739209710.8792584;-45.120503652039325
1739209710.8792663;-38.13080360867914
1739209710.8792744;-38.13080360867914
1739209710.8792822;-33.981070128970906
1739209710.8792903;-32.816014438256545
1739209710.8792984;-45.120503652039325
1739209710.8793063;-45.120503652039325
1739209710.8793144;-31.141103565318893
1739209710.8793225;-38.13080360867914
1739209710.8793304;-45.120503652039325
1739209710.8793385;-38.13080360867914
1739209710.8793466;-33.981070128970906
1739209710.8793545;-33.981070128970906
1739209710.8793626;-45.120503652039325
1739209710.8793707;-45.120503652039325
1739209710.8793786;-45.120503652039325
1739209710.8793867;-45.120503652039325
1739209710.8793945;-38.13080360867914
1739209710.8794026;-45.120503652039325
1739209710.8794107;-45.120503652039325
1739209710.8794186;-45.120503652039325
1739209710.8794267;-45.120503652039325
1739209710.8794348;-45.120503652039325
1739209710.8794427;-35.57807855764607
1739209710.8794508;-45.120503652039325
1739209710.879459;-35.57807855764607
1739209710.8794668;-35.57807855764607
1739209710.8794749;-31.141103565318893
1739209710.879483;-35.57807855764607
1739209710.8794909;-45.120503652039325
1739209710.879499;-45.120503652039325
1739209710.879507;-33.981070128970906
1739209710.879515;-38.13080360867914
1739209710.879523;-35.57807855764607
1739209710.879531;-31.141103565318893
1739209710.879539;-45.120503652039325
1739209710.879547;-45.120503652039325
1739209710.879555;-45.120503652039325
1739209710.879563;-38.13080360867914
1739209710.8795712;-38.13080360867914
1739209710.879579;-45.120503652039325
1739209710.8795872;-38.13080360867914
1739209710.8795953;-45.120503652039325
1739209710.8796031;-33.981070128970906
1739209710.8796113;-32.816014438256545
1739209710.8796194;-38.13080360867914
1739209710.8796272;-38.13080360867914
1739209710.8796353;-38.13080360867914
1739209710.8796434;-35.57807855764607
1739209710.8796513;-38.13080360867914
1739209710.8796594;-38.13080360867914
1739209710.8796673;-45.120503652039325
1739209710.8796754;-45.120503652039325
1739209710.8796835;-38.13080360867914
1739209710.8796914;-38.13080360867914
1739209710.8796995;-45.120503652039325
1739209710.8797076;-45.120503652039325
1739209710.8797154;-38.13080360867914
1739209710.8797235;-45.120503652039325
1739209710.8797317;-45.120503652039325
1739209710.8797395;-45.120503652039325
1739209710.8797476;-38.13080360867914
1739209710.8797557;-45.120503652039325
1739209710.8797636;-35.57807855764607
1739209710.8797717;-35.57807855764607
1739209710.8797796;-38.13080360867914
1739209710.8797877;-38.13080360867914
1739209710.8797958;-35.57807855764607
1739209710.8798037;-32.816014438256545
1739209710.8798118;-45.120503652039325
1739209710.8798199;-38.13080360867914
1739209710.8798277;-45.120503652039325
1739209710.8798358;-45.120503652039325
1739209710.879844;-45.120503652039325
1739209710.8798518;-45.120503652039325
1739209710.87986;-45.120503652039325
1739209710.879868;-38.13080360867914
1739209710.879876;-45.120503652039325
1739209710.879884;-45.120503652039325
1739209710.879892;-45.120503652039325
1739209710.8799;-45.120503652039325
1739209710.879908;-45.120503652039325
1739209710.879916;-45.120503652039325
1739209710.879924;-35.57807855764607
1739209710.8799322;-30.49652367304973
1739209710.87994;-45.120503652039325
1739209710.8799481;-38.13080360867914
1739209710.8799562;-33.981070128970906
1739209710.879964;-45.120503652039325
1739209710.8799722;-45.120503652039325
1739209710.8799803;-45.120503652039325
1739209710.8799882;-45.120503652039325
1739209710.8799963;-38.13080360867914
1739209710.8800044;-35.57807855764607
1739209710.8800123;-38.13080360867914
1739209710.8800204;-45.120503652039325
1739209710.8800282;-38.13080360867914
1739209710.8800364;-33.981070128970906
1739209710.8800445;-38.13080360867914
1739209710.8800523;-45.120503652039325
1739209710.8800604;-45.120503652039325
1739209710.8800685;-38.13080360867914
1739209710.8800764;-33.981070128970906
1739209710.8800845;-45.120503652039325
1739209710.8800926;-45.120503652039325
1739209710.8801005;-38.13080360867914
1739209710.8801086;-38.13080360867914
1739209710.8801167;-35.57807855764607
1739209710.8801246;-28.992665084841942
1739209710.8801327;-38.13080360867914
1739209710.8801408;-38.13080360867914
1739209710.8801486;-38.13080360867914
1739209710.8801568;-35.57807855764607
1739209710.8801646;-38.13080360867914
1739209710.8801727;-45.120503652039325
1739209710.8801808;-45.120503652039325
1739209710.8801887;-32.81601443825658
1739209710.8801968;-33.981070128970906
1739209710.880205;-38.13080360867914
1739209710.8802128;-45.120503652039325
1739209710.880221;-45.120503652039325
1739209710.880229;-45.120503652039325
1739209710.8802369;-45.120503652039325
1739209710.880245;-38.13080360867914
1739209710.880253;-45.120503652039325
1739209710.880261;-35.57807855764607
1739209710.880269;-35.57807855764607
1739209710.880277;-45.120503652039325
1739209710.880285;-45.120503652039325
1739209710.8802931;-38.13080360867914
1739209710.880301;-38.13080360867914
1739209710.880309;-38.13080360867914
1739209710.8803172;-33.981070128970906
1739209710.880325;-38.13080360867914
1739209710.8803332;-35.57807855764607
1739209710.8803413;-35.57807855764607
1739209710.8803492;-31.141103565318915
1739209710.8803573;-31.141103565318915
1739209710.8803654;-45.120503652039325
1739209710.8803732;-45.120503652039325
1739209710.8803813;-45.120503652039325
1739209710.8803895;-45.120503652039325
1739209710.8803973;-38.13080360867914
1739209710.8804054;-45.120503652039325
1739209710.8804133;-38.13080360867914
1739209710.8804214;-38.13080360867914
1739209710.8804295;-35.57807855764607
1739209710.8804374;-38.13080360867914
1739209710.8804455;-38.13080360867914
1739209710.8804536;-45.120503652039325
1739209710.8804615;-45.120503652039325
1739209710.8804696;-45.120503652039325
1739209710.8804777;-45.120503652039325
1739209710.8804855;-38.13080360867914
1739209710.8804936;-38.13080360867914
1739209710.8805017;-38.13080360867914
1739209710.8805096;-38.13080360867914
1739209710.8805177;-38.13080360867914
1739209710.8805258;-45.120503652039325
1739209710.8805337;-45.120503652039325
1739209710.8805418;-45.120503652039325
1739209710.8805497;-38.13080360867914
1739209710.8805578;-38.13080360867914
1739209710.880566;-38.13080360867914
1739209710.8805737;-38.13080360867914
1739209710.8805819;-45.120503652039325
1739209710.88059;-38.13080360867914
1739209710.8805978;-38.13080360867914
1739209710.880606;-38.13080360867914
1739209710.880614;-45.120503652039325
1739209710.880622;-33.981070128970906
1739209710.88063;-38.13080360867914
1739209710.8806381;-38.13080360867914
1739209710.880646;-35.57807855764607
1739209710.880654;-45.120503652039325
1739209710.880662;-35.57807855764607
1739209710.88067;-38.13080360867914
1739209710.8806782;-33.981070128970906
1739209710.880686;-45.120503652039325
1739209710.8806942;-45.120503652039325
1739209710.8807023;-45.120503652039325
1739209710.8807101;-45.120503652039325
1739209710.8807182;-38.13080360867914
1739209710.8807263;-45.120503652039325
1739209710.8807342;-38.13080360867914
1739209710.8807423;-38.13080360867914
1739209710.8807504;-38.13080360867914
1739209710.8807583;-45.120503652039325
1739209710.8807664;-45.120503652039325
1739209710.8807745;-30.49652367304973
1739209710.8807824;-45.120503652039325
1739209710.8807905;-38.13080360867914
1739209710.8807983;-38.13080360867914
1739209710.8808064;-32.816014438256545
1739209710.8808146;-33.981070128970906
1739209710.8808224;-45.120503652039325
1739209710.8808305;-45.120503652039325
1739209710.8808386;-45.120503652039325
1739209710.8808465;-45.120503652039325
1739209710.8808546;-45.120503652039325
1739209710.8808627;-45.120503652039325
1739209710.8808706;-45.120503652039325
1739209710.8808787;-35.57807855764607
1739209710.8808868;-38.13080360867914
1739209710.8808947;-38.13080360867914
1739209710.8809028;-45.120503652039325
1739209710.8809106;-38.13080360867914
1739209710.8874168;-45.120503652039325
1739209710.887417;-32.816014438256545
1739209710.8874176;-38.13080360867914
1739209710.8874178;-45.120503652039325
1739209710.8874183;-45.120503652039325
1739209710.8874187;-45.120503652039325
1739209710.887419;-38.13080360867914
1739209710.8874195;-45.120503652039325
1739209710.88742;-45.120503652039325
1739209710.8874202;-45.120503652039325
1739209710.8874207;-45.120503652039325
1739209710.887421;-31.141103565318915
1739209710.8874214;-45.120503652039325
1739209710.8874218;-45.120503652039325
1739209710.887422;-45.120503652039325
1739209710.8874226;-35.57807855764607
1739209710.8874228;-31.141103565318915
1739209710.8874233;-45.120503652039325
1739209710.8874238;-45.120503652039325
1739209710.887424;-45.120503652039325
1739209710.8874245;-35.57807855764607
1739209710.887425;-38.13080360867914
1739209710.8874252;-33.981070128970906
1739209710.8874257;-45.120503652039325
1739209710.887426;-45.120503652039325
1739209710.8874264;-38.13080360867914
1739209710.8874269;-45.120503652039325
1739209710.887427;-45.120503652039325
1739209710.8874276;-38.13080360867914
1739209710.887428;-35.57807855764607
1739209710.8874283;-38.13080360867914
1739209710.8874288;-45.120503652039325
1739209710.887429;-38.13080360867914
1739209710.8874295;-45.120503652039325
1739209710.88743;-45.120503652039325
1739209710.8874302;-45.120503652039325
1739209710.8874307;-38.13080360867914
1739209710.887431;-45.120503652039325
1739209710.8874314;-33.981070128970906
1739209710.8874319;-45.120503652039325
1739209710.887432;-45.120503652039325
1739209710.8874326;-45.120503652039325
1739209710.887433;-45.120503652039325
1739209710.8874333;-45.120503652039325
1739209710.8874338;-45.120503652039325
1739209710.887434;-32.816014438256545
1739209710.8874345;-38.13080360867914
1739209710.887435;-45.120503652039325
1739209710.8874352;-45.120503652039325
1739209710.8874357;-38.13080360867914
1739209710.887436;-45.120503652039325
1739209710.8874364;-35.57807855764607
1739209710.8874369;-38.13080360867914
1739209710.887437;-38.13080360867914
1739209710.8874376;-38.13080360867914
1739209710.887438;-32.816014438256545
1739209710.8874383;-28.992665084841942
1739209710.8874388;-45.120503652039325
1739209710.887439;-38.13080360867914
1739209710.8874395;-45.120503652039325
1739209710.88744;-38.13080360867914
1739209710.8874402;-45.120503652039325
1739209710.8874407;-45.120503652039325
1739209710.8874412;-38.13080360867914
1739209710.8874414;-38.13080360867914
1739209710.8874419;-45.120503652039325
1739209710.887442;-45.120503652039325
1739209710.8874426;-38.13080360867914
1739209710.887443;-45.120503652039325
1739209710.8874433;-45.120503652039325
1739209710.8874438;-45.120503652039325
1739209710.887444;-38.13080360867914
1739209710.8874445;-27.267205301931607
1739209710.887445;-45.120503652039325
1739209710.8874452;-38.13080360867914
1739209710.8874457;-32.816014438256545
1739209710.8874462;-31.141103565318915
1739209710.8874464;-38.13080360867914
1739209710.8874469;-35.57807855764607
1739209710.887447;-33.981070128970906
1739209710.8874476;-38.13080360867914
1739209710.887448;-45.120503652039325
1739209710.8874483;-38.13080360867914
1739209710.8874488;-38.13080360867914
1739209710.887449;-45.120503652039325
1739209710.8874495;-45.120503652039325
1739209710.88745;-45.120503652039325
1739209710.8874502;-35.57807855764607
1739209710.8874507;-38.13080360867914
1739209710.8874512;-45.120503652039325
