CAN Message; 0x1bb:0000bfac4447f151
Timestamp;Amplitude
1739209731.1550198;-35.57807855764607
1739209731.1550245;-29.438486411369333
1739209731.1550293;-30.49652367304973
1739209731.155034;-28.992665084841942
1739209731.1550386;-33.981070128970906
1739209731.1550434;-33.981070128970956
1739209731.1550481;-30.49652367304973
1739209731.155053;-38.13080360867914
1739209731.1550577;-33.981070128970906
1739209731.1550624;-38.13080360867914
1739209731.1550672;-45.120503652039325
1739209731.155072;-45.120503652039325
1739209731.1550767;-31.141103565318915
1739209731.1550813;-45.120503652039325
1739209731.155086;-31.141103565318893
1739209731.1550908;-28.218542851754165
1739209731.1550956;-32.81601443825658
1739209731.1551003;-28.992665084841942
1739209731.155105;-33.981070128970906
1739209731.15511;-38.13080360867914
1739209731.1551147;-45.120503652039325
1739209731.1551194;-33.981070128970906
1739209731.155124;-31.141103565318915
1739209731.1551287;-31.141103565318915
1739209731.1551335;-38.13080360867914
1739209731.1551383;-30.49652367304976
1739209731.155143;-32.81601443825658
1739209731.1551478;-29.438486411369333
1739209731.1551526;-38.13080360867914
1739209731.1551573;-29.438486411369333
1739209731.155162;-33.981070128970906
1739209731.1551666;-35.57807855764607
1739209731.1551714;-30.49652367304973
1739209731.1551762;-24.746238672633048
1739209731.155181;-33.981070128970906
1739209731.1551857;-28.992665084841942
1739209731.1551905;-45.120503652039325
1739209731.1551952;-38.13080360867914
1739209731.1552;-26.487275050834715
1739209731.1552048;-21.598678470925666
1739209731.1552093;-28.588378514285886
1739209731.155214;-31.141103565318943
1739209731.1552188;-38.13080360867914
1739209731.1552236;-45.120503652039325
1739209731.1552284;-45.120503652039325
1739209731.1552331;-28.992665084841967
1739209731.155238;-28.21854285175415
1739209731.1552427;-31.141103565318915
1739209731.1552474;-38.13080360867914
1739209731.155252;-33.981070128970906
1739209731.1552567;-33.981070128970906
1739209731.1552615;-28.992665084841942
1739209731.1552663;-38.13080360867914
1739209731.155271;-38.13080360867914
1739209731.1552758;-31.14110356531892
1739209731.1552806;-28.58837851428586
1739209731.1552854;-27.267205301931607
1739209731.1552901;-38.13080360867914
1739209731.1552947;-26.991370085610722
1739209731.1552994;-26.991370085610722
1739209731.1553042;-45.120503652039325
1739209731.155309;-26.991370085610736
1739209731.1553137;-22.175841390423358
1739209731.1553185;-35.57807855764607
1739209731.1553233;-31.141103565318915
1739209731.155328;-35.57807855764607
1739209731.1553328;-27.877744956031414
1739209731.1553373;-45.120503652039325
1739209731.155342;-38.13080360867914
1739209731.1553469;-28.218542851754165
1739209731.1553516;-26.991370085610722
1739209731.1553564;-30.49652367304976
1739209731.1553612;-28.992665084841942
1739209731.155366;-26.487275050834715
1739209731.1553707;-33.981070128970906
1739209731.1553755;-35.57807855764607
1739209731.1553802;-38.13080360867914
1739209731.1553848;-45.120503652039325
1739209731.1553895;-33.981070128970906
1739209731.1553943;-32.816014438256545
1739209731.155399;-31.141103565318915
1739209731.1554039;-31.141103565318943
1739209731.1554086;-31.141103565318943
1739209731.1554134;-38.13080360867914
1739209731.1554182;-45.120503652039325
