CAN Message; 0x77:7fc1c07c18ad9497
Timestamp;Amplitude
1739209624.3636355;-45.120503652039325
1739209624.3636441;-45.120503652039325
1739209624.3636527;-33.981070128970906
1739209624.363661;-38.13080360867914
1739209624.3636696;-33.981070128970906
1739209624.3636782;-45.120503652039325
1739209624.3636868;-45.120503652039325
1739209624.3636954;-38.13080360867914
1739209624.363704;-38.13080360867914
1739209624.3637125;-38.13080360867914
1739209624.363721;-38.13080360867914
1739209624.3637295;-38.13080360867914
1739209624.363738;-45.120503652039325
1739209624.3637466;-33.981070128970906
1739209624.3637552;-38.13080360867914
1739209624.3637638;-45.120503652039325
1739209624.3637724;-45.120503652039325
1739209624.3637807;-38.13080360867914
1739209624.3637893;-35.57807855764607
1739209624.363798;-45.120503652039325
1739209624.3638065;-38.13080360867914
1739209624.363815;-38.13080360867914
1739209624.3638237;-45.120503652039325
1739209624.3638322;-45.120503652039325
1739209624.3638406;-45.120503652039325
1739209624.3638492;-45.120503652039325
1739209624.3638577;-38.13080360867914
1739209624.3638663;-35.57807855764607
1739209624.363875;-45.120503652039325
1739209624.3638835;-33.981070128970906
1739209624.363892;-38.13080360867914
1739209624.3639004;-45.120503652039325
1739209624.363909;-45.120503652039325
1739209624.3639176;-33.981070128970906
1739209624.3639262;-38.13080360867914
1739209624.3639348;-45.120503652039325
1739209624.3639433;-45.120503652039325
1739209624.363952;-45.120503652039325
1739209624.3639603;-38.13080360867914
1739209624.3639688;-45.120503652039325
1739209624.3639774;-38.13080360867914
1739209624.363986;-38.13080360867914
1739209624.3639946;-38.13080360867914
1739209624.3640032;-45.120503652039325
1739209624.3640118;-45.120503652039325
1739209624.36402;-35.57807855764607
1739209624.3640287;-45.120503652039325
1739209624.3640373;-38.13080360867914
1739209624.3640459;-45.120503652039325
1739209624.3640544;-33.981070128970906
1739209624.364063;-38.13080360867914
1739209624.3640716;-45.120503652039325
1739209624.36408;-35.57807855764607
1739209624.3640885;-35.57807855764607
1739209624.364097;-38.13080360867914
1739209624.3641057;-45.120503652039325
1739209624.3641143;-38.13080360867914
1739209624.3641229;-45.120503652039325
1739209624.3641315;-45.120503652039325
1739209624.3641398;-45.120503652039325
1739209624.3641484;-38.13080360867914
1739209624.364157;-38.13080360867914
1739209624.3641655;-38.13080360867914
1739209624.3641741;-33.981070128970906
1739209624.3641827;-45.120503652039325
1739209624.3641913;-45.120503652039325
1739209624.3641996;-38.13080360867914
1739209624.3642082;-33.981070128970906
1739209624.3642168;-45.120503652039325
1739209624.3642254;-33.981070128970906
1739209624.364234;-28.992665084841942
1739209624.3642426;-45.120503652039325
1739209624.3642511;-45.120503652039325
1739209624.3642595;-38.13080360867914
1739209624.364268;-38.13080360867914
1739209624.3642766;-35.57807855764607
1739209624.3642852;-45.120503652039325
1739209624.3642938;-38.13080360867914
1739209624.3643024;-33.981070128970906
1739209624.364311;-38.13080360867914
1739209624.3643193;-38.13080360867914
1739209624.364328;-38.13080360867914
1739209624.3643365;-38.13080360867914
1739209624.364345;-45.120503652039325
1739209624.3643537;-45.120503652039325
1739209624.3643622;-45.120503652039325
1739209624.3643708;-38.13080360867914
1739209624.3643792;-38.13080360867914
1739209624.3643878;-35.57807855764607
1739209624.3643963;-35.57807855764607
1739209624.364405;-38.13080360867914
1739209624.3644135;-45.120503652039325
1739209624.364422;-38.13080360867914
1739209624.3644307;-45.120503652039325
1739209624.364439;-38.13080360867914
1739209624.3644476;-32.816014438256545
1739209624.3644562;-38.13080360867914
1739209624.3644648;-45.120503652039325
1739209624.3644733;-38.13080360867914
1739209624.364482;-35.57807855764607
1739209624.3644905;-45.120503652039325
1739209624.3644989;-45.120503652039325
1739209624.3645074;-31.141103565318915
1739209624.364516;-38.13080360867914
1739209624.3645246;-45.120503652039325
1739209624.3645332;-38.13080360867914
1739209624.3645418;-38.13080360867914
1739209624.3645504;-45.120503652039325
1739209624.3645587;-33.981070128970906
1739209624.3645673;-32.816014438256545
1739209624.3645759;-30.49652367304973
1739209624.3645844;-45.120503652039325
1739209624.364593;-38.13080360867914
1739209624.3646016;-38.13080360867914
1739209624.3646102;-45.120503652039325
1739209624.3646185;-35.57807855764607
1739209624.3646271;-45.120503652039325
1739209624.3646357;-45.120503652039325
1739209624.3646443;-28.992665084841942
1739209624.3646529;-38.13080360867914
1739209624.3646615;-45.120503652039325
1739209624.36467;-38.13080360867914
1739209624.3646784;-33.981070128970906
1739209624.364687;-38.13080360867914
1739209624.3646955;-38.13080360867914
1739209624.3647041;-38.13080360867914
1739209624.3647127;-32.81601443825658
1739209624.3647213;-38.13080360867914
1739209624.36473;-38.13080360867914
1739209624.3647382;-38.13080360867914
1739209624.3647468;-38.13080360867914
1739209624.3647554;-45.120503652039325
1739209624.364764;-38.13080360867914
1739209624.3647726;-45.120503652039325
1739209624.3647811;-31.141103565318915
1739209624.3647897;-38.13080360867914
1739209624.364798;-45.120503652039325
1739209624.3648067;-45.120503652039325
1739209624.3648152;-45.120503652039325
1739209624.3648238;-45.120503652039325
1739209624.3648324;-45.120503652039325
1739209624.364841;-38.13080360867914
1739209624.3648496;-32.81601443825658
1739209624.364858;-45.120503652039325
1739209624.3648665;-33.981070128970906
1739209624.364875;-35.57807855764607
1739209624.3648837;-38.13080360867914
1739209624.3648922;-45.120503652039325
1739209624.3649008;-33.981070128970906
1739209624.3649094;-38.13080360867914
1739209624.3649178;-31.141103565318893
1739209624.3649263;-33.981070128970906
1739209624.364935;-38.13080360867914
1739209624.3649435;-45.120503652039325
1739209624.364952;-35.57807855764607
1739209624.3649607;-38.13080360867914
1739209624.3649693;-38.13080360867914
1739209624.3649776;-38.13080360867914
1739209624.3649862;-45.120503652039325
1739209624.3649948;-45.120503652039325
1739209624.3650033;-45.120503652039325
1739209624.365012;-38.13080360867914
1739209624.3650205;-38.13080360867914
1739209624.365029;-45.120503652039325
1739209624.3650374;-45.120503652039325
1739209624.365046;-38.13080360867914
1739209624.3650546;-38.13080360867914
1739209624.3650632;-45.120503652039325
1739209624.3650718;-45.120503652039325
1739209624.3650804;-33.981070128970906
1739209624.365089;-45.120503652039325
1739209624.3650973;-45.120503652039325
1739209624.3651059;-45.120503652039325
1739209624.3651145;-45.120503652039325
1739209624.365123;-38.13080360867914
1739209624.3651316;-35.57807855764607
1739209624.3651402;-38.13080360867914
1739209624.3651488;-38.13080360867914
1739209624.3651571;-38.13080360867914
1739209624.3651657;-38.13080360867914
1739209624.3651743;-45.120503652039325
1739209624.3651829;-45.120503652039325
1739209624.3651915;-45.120503652039325
1739209624.3652;-45.120503652039325
1739209624.3652086;-38.13080360867914
1739209624.365217;-38.13080360867914
1739209624.3652256;-38.13080360867914
1739209624.3652341;-33.981070128970906
1739209624.3652427;-38.13080360867914
1739209624.3652513;-45.120503652039325
1739209624.36526;-35.57807855764607
1739209624.3652685;-35.57807855764607
1739209624.3652768;-45.120503652039325
1739209624.3652854;-45.120503652039325
1739209624.365294;-38.13080360867914
1739209624.3653026;-38.13080360867914
1739209624.3653111;-45.120503652039325
1739209624.3653197;-45.120503652039325
1739209624.3653283;-38.13080360867914
1739209624.3653367;-38.13080360867914
1739209624.3653452;-45.120503652039325
1739209624.3653538;-45.120503652039325
1739209624.3653624;-35.57807855764607
1739209624.365371;-35.57807855764607
1739209624.3653796;-38.13080360867914
1739209624.3653882;-32.816014438256545
1739209624.3653965;-38.13080360867914
1739209624.365405;-38.13080360867914
1739209624.3654137;-35.57807855764607
1739209624.3654222;-38.13080360867914
1739209624.3654308;-45.120503652039325
1739209624.3654394;-38.13080360867914
1739209624.365448;-38.13080360867914
1739209624.3654563;-35.57807855764607
1739209624.365465;-38.13080360867914
1739209624.3654735;-38.13080360867914
1739209624.365482;-45.120503652039325
1739209624.3654907;-38.13080360867914
1739209624.3654993;-45.120503652039325
1739209624.3655078;-45.120503652039325
1739209624.3655162;-38.13080360867914
1739209624.3655248;-45.120503652039325
