CAN Message; 0x98:0000e72568314212
Timestamp;Amplitude
1739209747.6428668;-38.13080360867914
1739209747.642871;-38.13080360867914
1739209747.642875;-45.120503652039325
1739209747.642879;-45.120503652039325
1739209747.642883;-45.120503652039325
1739209747.642887;-35.57807855764607
1739209747.6428912;-38.13080360867914
1739209747.6428955;-45.120503652039325
1739209747.6428995;-35.57807855764607
1739209747.6429036;-45.120503652039325
1739209747.6429076;-45.120503652039325
1739209747.6429117;-38.13080360867914
1739209747.6429157;-38.13080360867914
1739209747.6429198;-45.120503652039325
1739209747.6429238;-30.49652367304973
1739209747.642928;-35.57807855764607
1739209747.642932;-45.120503652039325
1739209747.642936;-33.981070128970906
1739209747.64294;-45.120503652039325
1739209747.642944;-38.13080360867914
1739209747.6429482;-38.13080360867914
1739209747.6429524;-38.13080360867914
1739209747.6429565;-45.120503652039325
1739209747.6429605;-45.120503652039325
1739209747.6429646;-35.57807855764607
1739209747.6429687;-45.120503652039325
1739209747.6429727;-45.120503652039325
1739209747.6429768;-38.13080360867914
1739209747.6429808;-38.13080360867914
1739209747.6429849;-45.120503652039325
1739209747.642989;-38.13080360867914
1739209747.642993;-38.13080360867914
1739209747.642997;-35.57807855764607
1739209747.643001;-45.120503652039325
1739209747.6430051;-45.120503652039325
1739209747.6430092;-38.13080360867914
1739209747.6430135;-38.13080360867914
1739209747.6430175;-38.13080360867914
1739209747.6430216;-35.57807855764607
1739209747.6430256;-38.13080360867914
1739209747.6430297;-45.120503652039325
1739209747.6430337;-38.13080360867914
1739209747.6430378;-35.57807855764607
1739209747.6430418;-38.13080360867914
1739209747.643046;-45.120503652039325
1739209747.64305;-33.981070128970906
1739209747.643054;-38.13080360867914
1739209747.643058;-45.120503652039325
1739209747.643062;-45.120503652039325
1739209747.6430662;-38.13080360867914
1739209747.6430705;-45.120503652039325
1739209747.6430745;-38.13080360867914
1739209747.6430786;-45.120503652039325
1739209747.6430826;-33.981070128970906
1739209747.6430867;-38.13080360867914
1739209747.6430907;-38.13080360867914
1739209747.6430948;-38.13080360867914
1739209747.6430988;-45.120503652039325
1739209747.643103;-38.13080360867914
1739209747.643107;-45.120503652039325
1739209747.643111;-38.13080360867914
1739209747.643115;-38.13080360867914
1739209747.643119;-38.13080360867914
1739209747.6431231;-38.13080360867914
1739209747.6431274;-45.120503652039325
1739209747.6431315;-38.13080360867914
1739209747.6431355;-38.13080360867914
1739209747.6431396;-35.57807855764607
1739209747.6431437;-45.120503652039325
1739209747.6431477;-45.120503652039325
1739209747.6431518;-38.13080360867914
1739209747.6431558;-31.141103565318915
1739209747.6431599;-38.13080360867914
1739209747.643164;-38.13080360867914
1739209747.643168;-38.13080360867914
1739209747.643172;-45.120503652039325
1739209747.643176;-35.57807855764607
1739209747.6431801;-38.13080360867914
1739209747.6431842;-45.120503652039325
1739209747.6431885;-33.981070128970906
1739209747.6431925;-45.120503652039325
1739209747.6431966;-45.120503652039325
1739209747.6432006;-45.120503652039325
1739209747.6432047;-38.13080360867914
1739209747.6432087;-38.13080360867914
1739209747.6432128;-45.120503652039325
1739209747.6432168;-45.120503652039325
1739209747.643221;-38.13080360867914
1739209747.643225;-38.13080360867914
1739209747.643229;-38.13080360867914
1739209747.643233;-45.120503652039325
1739209747.643237;-38.13080360867914
1739209747.6432412;-38.13080360867914
1739209747.6432455;-45.120503652039325
1739209747.6432495;-45.120503652039325
1739209747.6432536;-32.816014438256545
1739209747.6432576;-38.13080360867914
1739209747.6432617;-38.13080360867914
1739209747.6432657;-45.120503652039325
1739209747.6432698;-45.120503652039325
1739209747.6432738;-38.13080360867914
1739209747.643278;-38.13080360867914
1739209747.643282;-45.120503652039325
1739209747.643286;-28.992665084841942
1739209747.64329;-31.141103565318915
1739209747.643294;-45.120503652039325
1739209747.6432981;-45.120503652039325
1739209747.6433022;-38.13080360867914
1739209747.6433065;-38.13080360867914
1739209747.6433105;-33.981070128970906
1739209747.6433146;-38.13080360867914
1739209747.6433187;-35.57807855764607
1739209747.6433227;-45.120503652039325
1739209747.6433268;-38.13080360867914
1739209747.6433308;-45.120503652039325
1739209747.6433349;-45.120503652039325
1739209747.643339;-38.13080360867914
1739209747.643343;-45.120503652039325
1739209747.643347;-45.120503652039325
1739209747.643351;-33.981070128970906
1739209747.6433551;-33.981070128970906
1739209747.6433592;-45.120503652039325
1739209747.6433635;-38.13080360867914
1739209747.6433675;-45.120503652039325
1739209747.6433716;-45.120503652039325
1739209747.6433756;-38.13080360867914
1739209747.6433797;-38.13080360867914
1739209747.6433837;-32.816014438256545
1739209747.6433878;-33.981070128970906
1739209747.6433918;-38.13080360867914
1739209747.643396;-38.13080360867914
1739209747.6434;-35.57807855764607
1739209747.643404;-38.13080360867914
1739209747.643408;-45.120503652039325
1739209747.643412;-38.13080360867914
1739209747.6434162;-45.120503652039325
1739209747.6434202;-33.981070128970956
1739209747.6434245;-38.13080360867914
1739209747.6434286;-45.120503652039325
1739209747.6434326;-45.120503652039325
1739209747.6434367;-45.120503652039325
1739209747.6434407;-38.13080360867914
1739209747.6434448;-38.13080360867914
1739209747.6434488;-33.981070128970906
1739209747.643453;-31.141103565318915
1739209747.643457;-38.13080360867914
1739209747.643461;-35.57807855764607
1739209747.643465;-38.13080360867914
1739209747.643469;-45.120503652039325
1739209747.6434731;-38.13080360867914
1739209747.6434772;-38.13080360867914
1739209747.6434815;-45.120503652039325
