CAN Message; 0x1bb:0000d3f539925779
Timestamp;Amplitude
1739209761.587761;-45.120503652039325
1739209761.5877614;-33.981070128970906
1739209761.5877616;-45.120503652039325
1739209761.587762;-45.120503652039325
1739209761.5877626;-45.120503652039325
1739209761.587763;-38.13080360867914
1739209761.5877635;-38.13080360867914
1739209761.587764;-29.438486411369333
1739209761.5877643;-31.141103565318893
1739209761.5877647;-45.120503652039325
1739209761.5877652;-45.120503652039325
1739209761.5877657;-35.57807855764607
1739209761.5877662;-38.13080360867914
1739209761.5877666;-35.57807855764607
1739209761.587767;-35.57807855764607
1739209761.5877674;-45.120503652039325
1739209761.5877678;-45.120503652039325
1739209761.5877683;-38.13080360867914
1739209761.5877688;-45.120503652039325
1739209761.5877693;-45.120503652039325
1739209761.5877695;-45.120503652039325
1739209761.58777;-45.120503652039325
1739209761.5877705;-38.13080360867914
1739209761.587771;-45.120503652039325
1739209761.5877714;-45.120503652039325
1739209761.587772;-45.120503652039325
1739209761.5877721;-45.120503652039325
1739209761.5877726;-45.120503652039325
1739209761.587773;-45.120503652039325
1739209761.5877736;-35.57807855764607
1739209761.587774;-45.120503652039325
1739209761.5877743;-32.816014438256545
1739209761.5877748;-29.438486411369333
1739209761.5877752;-45.120503652039325
1739209761.5877757;-45.120503652039325
1739209761.5877762;-38.13080360867914
1739209761.5877767;-32.816014438256545
1739209761.587777;-45.120503652039325
1739209761.5877774;-45.120503652039325
1739209761.5877779;-45.120503652039325
1739209761.5877783;-45.120503652039325
1739209761.5877788;-38.13080360867914
1739209761.5877793;-45.120503652039325
1739209761.5877795;-33.981070128970906
1739209761.58778;-38.13080360867914
1739209761.5877805;-38.13080360867914
1739209761.587781;-45.120503652039325
1739209761.5877814;-38.13080360867914
1739209761.587782;-38.13080360867914
1739209761.5877821;-38.13080360867914
1739209761.5877826;-38.13080360867914
1739209761.587783;-45.120503652039325
1739209761.5877836;-45.120503652039325
1739209761.587784;-38.13080360867914
1739209761.5877843;-38.13080360867914
1739209761.5877848;-45.120503652039325
1739209761.5877852;-38.13080360867914
1739209761.5877857;-38.13080360867914
1739209761.5877862;-45.120503652039325
1739209761.5877867;-38.13080360867914
1739209761.587787;-38.13080360867914
1739209761.5877874;-38.13080360867914
1739209761.5877879;-38.13080360867914
1739209761.5877883;-45.120503652039325
1739209761.5877888;-45.120503652039325
1739209761.5877893;-38.13080360867914
1739209761.5877895;-38.13080360867914
1739209761.58779;-38.13080360867914
1739209761.5877905;-45.120503652039325
1739209761.587791;-35.57807855764607
1739209761.5877914;-32.816014438256545
1739209761.587792;-38.13080360867914
1739209761.5877922;-45.120503652039325
1739209761.5877926;-35.57807855764607
1739209761.587793;-35.57807855764607
1739209761.5877936;-38.13080360867914
1739209761.587794;-45.120503652039325
1739209761.5877945;-35.57807855764607
1739209761.5877948;-35.57807855764607
1739209761.5877953;-38.13080360867914
1739209761.5877957;-38.13080360867914
1739209761.5877962;-33.981070128970906
1739209761.5877967;-45.120503652039325
1739209761.587797;-38.13080360867914
1739209761.5877974;-32.816014438256545
1739209761.5877979;-33.981070128970906
1739209761.5877984;-38.13080360867914
1739209761.5877988;-45.120503652039325
1739209761.5877993;-38.13080360867914
1739209761.5877995;-38.13080360867914
1739209761.5878;-35.57807855764607
1739209761.5878005;-38.13080360867914
1739209761.587801;-38.13080360867914
1739209761.5878015;-38.13080360867914
1739209761.587802;-38.13080360867914
1739209761.5878022;-38.13080360867914
1739209761.5878026;-45.120503652039325
1739209761.5878031;-38.13080360867914
1739209761.5878036;-38.13080360867914
1739209761.587804;-32.816014438256545
1739209761.5878046;-45.120503652039325
1739209761.5878048;-38.13080360867914
1739209761.5878053;-35.57807855764607
1739209761.5878057;-45.120503652039325
1739209761.5878062;-38.13080360867914
1739209761.5878067;-33.981070128970906
1739209761.5878072;-45.120503652039325
1739209761.5878074;-38.13080360867914
1739209761.587808;-35.57807855764607
1739209761.5878084;-35.57807855764607
1739209761.5878088;-45.120503652039325
1739209761.5878093;-45.120503652039325
1739209761.5878096;-33.981070128970906
1739209761.58781;-32.816014438256545
1739209761.5878105;-45.120503652039325
1739209761.587811;-45.120503652039325
1739209761.5878115;-45.120503652039325
1739209761.587812;-38.13080360867914
1739209761.5878122;-38.13080360867914
1739209761.5878127;-45.120503652039325
1739209761.5878131;-38.13080360867914
1739209761.5878136;-28.992665084841942
1739209761.587814;-38.13080360867914
1739209761.5878146;-38.13080360867914
1739209761.5878148;-38.13080360867914
1739209761.5878153;-38.13080360867914
1739209761.5878158;-45.120503652039325
1739209761.5878162;-45.120503652039325
1739209761.5878167;-38.13080360867914
1739209761.5878172;-38.13080360867914
1739209761.5878174;-45.120503652039325
1739209761.587818;-45.120503652039325
1739209761.5878184;-45.120503652039325
1739209761.5878189;-45.120503652039325
1739209761.5878193;-38.13080360867914
1739209761.5878196;-33.981070128970906
1739209761.58782;-45.120503652039325
1739209761.5878205;-38.13080360867914
1739209761.587821;-38.13080360867914
1739209761.5878215;-45.120503652039325
1739209761.587822;-38.13080360867914
1739209761.5878222;-38.13080360867914
1739209761.5878227;-45.120503652039325
1739209761.5878232;-45.120503652039325
1739209761.5878236;-38.13080360867914
1739209761.587824;-28.992665084841942
1739209761.5878246;-45.120503652039325
1739209761.5878248;-38.13080360867914
1739209761.5878253;-38.13080360867914
1739209761.5878258;-45.120503652039325
1739209761.5878263;-45.120503652039325
1739209761.5878267;-33.981070128970906
1739209761.5878272;-33.981070128970906
1739209761.5878274;-38.13080360867914
1739209761.587828;-45.120503652039325
1739209761.5878284;-45.120503652039325
1739209761.5878289;-38.13080360867914
1739209761.5878294;-35.57807855764607
1739209761.5878298;-38.13080360867914
1739209761.58783;-38.13080360867914
1739209761.5878305;-35.57807855764607
1739209761.587831;-38.13080360867914
1739209761.5878315;-38.13080360867914
1739209761.587832;-38.13080360867914
1739209761.5878322;-35.57807855764607
1739209761.5878327;-38.13080360867914
1739209761.5878332;-45.120503652039325
1739209761.5878336;-38.13080360867914
1739209761.5878341;-38.13080360867914
1739209761.5878346;-38.13080360867914
1739209761.5878348;-45.120503652039325
1739209761.5878353;-45.120503652039325
1739209761.5878358;-38.13080360867914
1739209761.5878363;-45.120503652039325
1739209761.5878367;-45.120503652039325
1739209761.5878372;-45.120503652039325
1739209761.5878375;-38.13080360867914
1739209761.587838;-38.13080360867914
1739209761.5878384;-45.120503652039325
1739209761.587839;-45.120503652039325
1739209761.5878394;-38.13080360867914
1739209761.5878398;-35.57807855764607
1739209761.58784;-45.120503652039325
1739209761.5878406;-38.13080360867914
1739209761.587841;-45.120503652039325
1739209761.5878415;-45.120503652039325
1739209761.587842;-32.816014438256545
1739209761.5878425;-45.120503652039325
1739209761.5878427;-45.120503652039325
1739209761.5878432;-38.13080360867914
1739209761.5878437;-38.13080360867914
1739209761.5878441;-45.120503652039325
1739209761.5878446;-45.120503652039325
1739209761.5878448;-45.120503652039325
1739209761.5878453;-45.120503652039325
1739209761.5878458;-38.13080360867914
1739209761.5878463;-38.13080360867914
1739209761.5878468;-38.13080360867914
1739209761.5878472;-45.120503652039325
1739209761.5878475;-38.13080360867914
1739209761.587848;-45.120503652039325
1739209761.5878484;-38.13080360867914
1739209761.587849;-32.816014438256545
1739209761.5878494;-38.13080360867914
1739209761.5878499;-45.120503652039325
1739209761.58785;-35.57807855764607
1739209761.5878506;-32.816014438256545
1739209761.587851;-38.13080360867914
1739209761.5878515;-45.120503652039325
1739209761.587852;-32.816014438256545
1739209761.5878525;-29.438486411369333
1739209761.5878527;-45.120503652039325
1739209761.5878532;-45.120503652039325
1739209761.5878537;-38.13080360867914
1739209761.5878541;-38.13080360867914
1739209761.5878546;-38.13080360867914
1739209761.5878549;-45.120503652039325
1739209761.5878553;-45.120503652039325
1739209761.5878558;-33.981070128970956
1739209761.5878563;-45.120503652039325
1739209761.5878568;-45.120503652039325
1739209761.5878572;-45.120503652039325
1739209761.5878575;-45.120503652039325
1739209761.587858;-45.120503652039325
1739209761.5878584;-45.120503652039325
1739209761.587859;-38.13080360867914
1739209761.5878594;-35.57807855764607
1739209761.5878599;-38.13080360867914
1739209761.58786;-45.120503652039325
1739209761.5878606;-38.13080360867914
1739209761.587861;-45.120503652039325
1739209761.5878615;-45.120503652039325
1739209761.587862;-45.120503652039325
