CAN Message; 0x150:060081221e52c4f0
Timestamp;Amplitude
1739209893.2603261;-38.13080360867914
1739209893.2603323;-38.13080360867914
1739209893.2603388;-38.13080360867914
1739209893.2603452;-45.120503652039325
1739209893.2603517;-45.120503652039325
1739209893.2603579;-26.487275050834725
1739209893.2603643;-33.981070128970906
1739209893.2603707;-33.981070128970906
1739209893.2603772;-45.120503652039325
1739209893.2603834;-38.13080360867914
1739209893.2603898;-35.57807855764607
1739209893.2603962;-35.57807855764607
1739209893.2604024;-45.120503652039325
1739209893.2604089;-33.981070128970906
1739209893.2604153;-45.120503652039325
1739209893.2604218;-45.120503652039325
1739209893.260428;-45.120503652039325
1739209893.2604344;-33.981070128970906
1739209893.2604408;-45.120503652039325
1739209893.2604473;-38.13080360867914
1739209893.2604535;-45.120503652039325
1739209893.26046;-38.13080360867914
1739209893.2604663;-38.13080360867914
1739209893.2604725;-38.13080360867914
1739209893.260479;-45.120503652039325
1739209893.2604854;-38.13080360867914
1739209893.2604918;-35.57807855764607
1739209893.260498;-38.13080360867914
1739209893.2605045;-45.120503652039325
1739209893.260511;-38.13080360867914
1739209893.2605174;-35.57807855764607
1739209893.2605236;-38.13080360867914
1739209893.26053;-45.120503652039325
1739209893.2605364;-38.13080360867914
1739209893.2605426;-45.120503652039325
1739209893.260549;-45.120503652039325
1739209893.2605555;-38.13080360867914
1739209893.260562;-38.13080360867914
1739209893.2605681;-38.13080360867914
1739209893.2605746;-38.13080360867914
1739209893.260581;-45.120503652039325
1739209893.2605875;-38.13080360867914
1739209893.2605937;-33.981070128970906
1739209893.2606;-38.13080360867914
1739209893.2606065;-38.13080360867914
1739209893.2606127;-45.120503652039325
1739209893.2606192;-38.13080360867914
1739209893.2606256;-45.120503652039325
1739209893.260632;-38.13080360867914
1739209893.2606382;-38.13080360867914
1739209893.2606447;-35.57807855764607
1739209893.260651;-45.120503652039325
1739209893.2606575;-45.120503652039325
1739209893.2606637;-38.13080360867914
1739209893.2606702;-45.120503652039325
1739209893.2606766;-38.13080360867914
1739209893.2606828;-45.120503652039325
1739209893.2606893;-38.13080360867914
1739209893.2606957;-45.120503652039325
1739209893.2607021;-38.13080360867914
1739209893.2607083;-45.120503652039325
1739209893.2607148;-45.120503652039325
1739209893.2607212;-31.141103565318893
1739209893.2607274;-45.120503652039325
1739209893.2607338;-38.13080360867914
1739209893.2607403;-33.981070128970906
1739209893.2607467;-38.13080360867914
1739209893.260753;-38.13080360867914
1739209893.2607594;-35.57807855764607
1739209893.2607658;-38.13080360867914
1739209893.2607722;-38.13080360867914
1739209893.2607784;-45.120503652039325
1739209893.2607849;-45.120503652039325
1739209893.2607913;-45.120503652039325
1739209893.2607975;-45.120503652039325
1739209893.260804;-45.120503652039325
1739209893.2608104;-38.13080360867914
1739209893.2608168;-38.13080360867914
1739209893.260823;-38.13080360867914
1739209893.2608294;-45.120503652039325
1739209893.260836;-45.120503652039325
1739209893.2608423;-38.13080360867914
1739209893.2608485;-45.120503652039325
1739209893.260855;-45.120503652039325
1739209893.2608614;-38.13080360867914
1739209893.2608676;-38.13080360867914
1739209893.260874;-28.21854285175415
1739209893.2608805;-38.13080360867914
1739209893.260887;-38.13080360867914
1739209893.260893;-45.120503652039325
1739209893.2608995;-35.57807855764607
1739209893.260906;-38.13080360867914
1739209893.2609124;-38.13080360867914
1739209893.2609186;-45.120503652039325
1739209893.260925;-45.120503652039325
1739209893.2609315;-38.13080360867914
1739209893.2609377;-38.13080360867914
1739209893.2609441;-38.13080360867914
