CAN Message; 0x39:0a8ff5d6f977dd94
Timestamp;Amplitude
1739209629.6309574;-45.120503652039325
1739209629.6309628;-38.13080360867914
1739209629.6309683;-35.57807855764607
1739209629.6309738;-45.120503652039325
1739209629.6309793;-45.120503652039325
1739209629.6309848;-35.57807855764607
1739209629.6309903;-38.13080360867914
1739209629.6309958;-45.120503652039325
1739209629.6310012;-38.13080360867914
1739209629.6310067;-33.981070128970906
1739209629.6310122;-27.267205301931607
1739209629.6310177;-38.13080360867914
1739209629.6310232;-38.13080360867914
1739209629.6310287;-45.120503652039325
1739209629.6310341;-33.981070128970906
1739209629.6310396;-38.13080360867914
1739209629.631045;-45.120503652039325
1739209629.6310506;-38.13080360867914
1739209629.631056;-29.438486411369347
1739209629.6310616;-45.120503652039325
1739209629.631067;-45.120503652039325
1739209629.6310725;-45.120503652039325
1739209629.631078;-38.13080360867914
1739209629.6310835;-45.120503652039325
1739209629.631089;-45.120503652039325
1739209629.6310945;-38.13080360867914
1739209629.6311;-38.13080360867914
1739209629.6311054;-45.120503652039325
1739209629.631111;-45.120503652039325
1739209629.6311164;-45.120503652039325
1739209629.6311219;-38.13080360867914
1739209629.6311274;-38.13080360867914
1739209629.6311328;-45.120503652039325
1739209629.6311383;-45.120503652039325
1739209629.6311438;-45.120503652039325
1739209629.6311493;-45.120503652039325
1739209629.631155;-45.120503652039325
1739209629.6311605;-38.13080360867914
1739209629.631166;-45.120503652039325
1739209629.6311715;-45.120503652039325
1739209629.631177;-45.120503652039325
1739209629.6311824;-45.120503652039325
1739209629.631188;-33.981070128970906
1739209629.6311934;-38.13080360867914
1739209629.631199;-38.13080360867914
1739209629.6312044;-45.120503652039325
1739209629.6312099;-38.13080360867914
1739209629.6312153;-38.13080360867914
1739209629.6312208;-35.57807855764607
1739209629.6312263;-38.13080360867914
1739209629.6312318;-27.877744956031414
1739209629.6312373;-38.13080360867914
1739209629.6312428;-45.120503652039325
1739209629.6312482;-45.120503652039325
1739209629.6312537;-38.13080360867914
1739209629.6312592;-38.13080360867914
1739209629.6312647;-45.120503652039325
1739209629.6312702;-45.120503652039325
1739209629.6312757;-28.992665084841942
1739209629.6312811;-33.981070128970906
1739209629.6312866;-45.120503652039325
1739209629.631292;-35.57807855764607
1739209629.6312976;-38.13080360867914
1739209629.631303;-45.120503652039325
1739209629.6313086;-38.13080360867914
1739209629.631314;-38.13080360867914
1739209629.6313195;-38.13080360867914
1739209629.631325;-45.120503652039325
1739209629.6313305;-38.13080360867914
1739209629.631336;-38.13080360867914
1739209629.6313415;-38.13080360867914
1739209629.631347;-45.120503652039325
1739209629.6313524;-45.120503652039325
1739209629.631358;-45.120503652039325
1739209629.6313634;-38.13080360867914
1739209629.6313689;-38.13080360867914
1739209629.6313744;-38.13080360867914
1739209629.6313798;-45.120503652039325
1739209629.6313853;-38.13080360867914
1739209629.6313908;-35.57807855764607
1739209629.6313963;-38.13080360867914
1739209629.6314018;-38.13080360867914
1739209629.6314073;-32.816014438256545
1739209629.6314127;-38.13080360867914
1739209629.6314182;-45.120503652039325
1739209629.6314237;-35.57807855764607
1739209629.6314292;-45.120503652039325
1739209629.6314347;-45.120503652039325
1739209629.6314402;-38.13080360867914
1739209629.6314456;-35.57807855764607
1739209629.6314511;-38.13080360867914
1739209629.6314566;-45.120503652039325
1739209629.631462;-33.981070128970906
1739209629.6314676;-38.13080360867914
1739209629.631473;-45.120503652039325
1739209629.6314785;-35.57807855764607
1739209629.631484;-38.13080360867914
1739209629.6314895;-35.57807855764607
