CAN Message; 0x98:000023b5f819227a
Timestamp;Amplitude
1739209770.4184723;-33.981070128970906
1739209770.4184787;-35.57807855764607
1739209770.4184854;-45.120503652039325
1739209770.418492;-45.120503652039325
1739209770.4184985;-33.981070128970906
1739209770.4185052;-28.992665084841942
1739209770.4185119;-31.141103565318915
1739209770.4185183;-38.13080360867914
1739209770.418525;-38.13080360867914
1739209770.4185317;-38.13080360867914
1739209770.418538;-38.13080360867914
1739209770.4185448;-45.120503652039325
1739209770.4185514;-38.13080360867914
1739209770.418558;-38.13080360867914
1739209770.4185646;-31.141103565318915
1739209770.4185712;-35.57807855764607
1739209770.4185777;-45.120503652039325
1739209770.4185843;-45.120503652039325
1739209770.418591;-45.120503652039325
1739209770.4185975;-38.13080360867914
1739209770.4186041;-45.120503652039325
1739209770.4186108;-38.13080360867914
1739209770.4186172;-33.981070128970906
1739209770.418624;-38.13080360867914
1739209770.4186306;-38.13080360867914
1739209770.418637;-45.120503652039325
1739209770.4186437;-38.13080360867914
1739209770.4186504;-35.57807855764607
1739209770.4186568;-38.13080360867914
1739209770.4186635;-45.120503652039325
1739209770.4186702;-45.120503652039325
1739209770.4186766;-35.57807855764607
1739209770.4186833;-45.120503652039325
1739209770.41869;-45.120503652039325
1739209770.4186964;-38.13080360867914
1739209770.418703;-32.816014438256545
1739209770.4187098;-45.120503652039325
1739209770.4187162;-38.13080360867914
1739209770.4187229;-38.13080360867914
1739209770.4187295;-38.13080360867914
1739209770.418736;-38.13080360867914
1739209770.4187427;-45.120503652039325
1739209770.4187493;-38.13080360867914
1739209770.4187558;-38.13080360867914
1739209770.4187624;-35.57807855764607
1739209770.4187691;-45.120503652039325
1739209770.4187756;-38.13080360867914
1739209770.4187822;-35.57807855764607
1739209770.418789;-38.13080360867914
1739209770.4187953;-45.120503652039325
1739209770.418802;-38.13080360867914
1739209770.4188087;-35.57807855764607
1739209770.4188151;-38.13080360867914
1739209770.4188218;-45.120503652039325
1739209770.4188285;-38.13080360867914
1739209770.418835;-38.13080360867914
1739209770.4188416;-45.120503652039325
1739209770.4188483;-45.120503652039325
1739209770.4188547;-45.120503652039325
1739209770.4188614;-45.120503652039325
1739209770.418868;-45.120503652039325
1739209770.4188745;-45.120503652039325
1739209770.4188812;-45.120503652039325
1739209770.4188879;-45.120503652039325
1739209770.4188943;-45.120503652039325
1739209770.418901;-45.120503652039325
1739209770.4189076;-38.13080360867914
1739209770.418914;-45.120503652039325
1739209770.4189208;-38.13080360867914
1739209770.4189274;-38.13080360867914
1739209770.4189339;-33.981070128970906
1739209770.4189405;-35.57807855764607
1739209770.4189472;-38.13080360867914
1739209770.4189537;-35.57807855764607
1739209770.4189603;-45.120503652039325
1739209770.418967;-38.13080360867914
1739209770.4189734;-38.13080360867914
1739209770.4189801;-45.120503652039325
1739209770.4189868;-45.120503652039325
1739209770.4189932;-45.120503652039325
1739209770.419;-38.13080360867914
1739209770.4190066;-38.13080360867914
1739209770.419013;-45.120503652039325
1739209770.4190197;-45.120503652039325
1739209770.4190264;-38.13080360867914
1739209770.4190328;-45.120503652039325
1739209770.4190395;-38.13080360867914
1739209770.4190462;-35.57807855764607
1739209770.4190526;-45.120503652039325
1739209770.4190593;-38.13080360867914
1739209770.419066;-45.120503652039325
1739209770.4190724;-33.981070128970906
1739209770.419079;-38.13080360867914
1739209770.4190857;-38.13080360867914
1739209770.4190922;-45.120503652039325
1739209770.4190989;-45.120503652039325
1739209770.4191055;-45.120503652039325
1739209770.419112;-45.120503652039325
1739209770.4191186;-38.13080360867914
1739209770.4191253;-45.120503652039325
1739209770.4191318;-45.120503652039325
1739209770.4191384;-45.120503652039325
1739209770.4191449;-33.981070128970906
1739209770.4191515;-32.816014438256545
1739209770.4191582;-38.13080360867914
1739209770.4191647;-38.13080360867914
1739209770.4191713;-35.57807855764607
1739209770.419178;-35.57807855764607
1739209770.4191844;-45.120503652039325
1739209770.4191911;-45.120503652039325
1739209770.4191978;-35.57807855764607
1739209770.4192042;-32.816014438256545
1739209770.419211;-45.120503652039325
1739209770.4192176;-33.981070128970906
1739209770.419224;-45.120503652039325
1739209770.4192307;-45.120503652039325
1739209770.4192374;-33.981070128970906
1739209770.4192438;-45.120503652039325
1739209770.4192505;-45.120503652039325
1739209770.4192572;-45.120503652039325
1739209770.4192636;-45.120503652039325
1739209770.4192703;-45.120503652039325
1739209770.419277;-38.13080360867914
1739209770.4192834;-35.57807855764607
1739209770.41929;-38.13080360867914
1739209770.4192967;-45.120503652039325
1739209770.4193032;-38.13080360867914
1739209770.4193099;-27.8777449560314
1739209770.4193165;-35.57807855764607
1739209770.419323;-45.120503652039325
1739209770.4193296;-38.13080360867914
1739209770.4193363;-35.57807855764607
1739209770.4193428;-45.120503652039325
1739209770.4193494;-45.120503652039325
1739209770.419356;-33.981070128970906
1739209770.4193625;-38.13080360867914
1739209770.4193692;-45.120503652039325
1739209770.419376;-38.13080360867914
1739209770.4193823;-38.13080360867914
1739209770.419389;-45.120503652039325
1739209770.4193957;-38.13080360867914
1739209770.4194021;-45.120503652039325
1739209770.4194088;-38.13080360867914
1739209770.4194155;-30.49652367304973
1739209770.419422;-38.13080360867914
1739209770.4194286;-45.120503652039325
1739209770.4194353;-33.981070128970906
1739209770.4194417;-35.57807855764607
1739209770.4194484;-38.13080360867914
1739209770.419455;-38.13080360867914
1739209770.4194615;-45.120503652039325
1739209770.4194682;-35.57807855764607
1739209770.4194748;-45.120503652039325
