CAN Message; 0x77:f74d936e1a7aadbf
Timestamp;Amplitude
1739209735.9812315;-45.120503652039325
1739209735.9812367;-45.120503652039325
1739209735.9812422;-45.120503652039325
1739209735.9812477;-38.13080360867914
1739209735.981253;-38.13080360867914
1739209735.9812584;-45.120503652039325
1739209735.9812639;-45.120503652039325
1739209735.9812694;-32.816014438256545
1739209735.9812746;-32.816014438256545
1739209735.98128;-45.120503652039325
1739209735.9812856;-35.57807855764607
1739209735.9812908;-35.57807855764607
1739209735.9812963;-38.13080360867914
1739209735.9813018;-45.120503652039325
1739209735.981307;-38.13080360867914
1739209735.9813125;-45.120503652039325
1739209735.981318;-45.120503652039325
1739209735.9813232;-38.13080360867914
1739209735.9813287;-45.120503652039325
1739209735.9813342;-45.120503652039325
1739209735.9813395;-38.13080360867914
1739209735.981345;-45.120503652039325
1739209735.9813504;-45.120503652039325
1739209735.9813557;-38.13080360867914
1739209735.9813612;-38.13080360867914
1739209735.9813666;-45.120503652039325
1739209735.981372;-38.13080360867914
1739209735.9813774;-45.120503652039325
1739209735.9813828;-45.120503652039325
1739209735.9813883;-45.120503652039325
1739209735.9813936;-38.13080360867914
1739209735.981399;-38.13080360867914
1739209735.9814045;-45.120503652039325
1739209735.9814098;-38.13080360867914
1739209735.9814153;-45.120503652039325
1739209735.9814208;-45.120503652039325
1739209735.981426;-45.120503652039325
1739209735.9814315;-38.13080360867914
1739209735.981437;-45.120503652039325
1739209735.9814425;-38.13080360867914
1739209735.9814477;-38.13080360867914
1739209735.9814532;-45.120503652039325
1739209735.9814587;-38.13080360867914
1739209735.981464;-45.120503652039325
1739209735.9814694;-45.120503652039325
1739209735.9814749;-35.57807855764607
1739209735.9814801;-38.13080360867914
1739209735.9814856;-45.120503652039325
1739209735.981491;-45.120503652039325
1739209735.9814963;-38.13080360867914
1739209735.9815018;-38.13080360867914
1739209735.9815073;-45.120503652039325
1739209735.9815125;-38.13080360867914
1739209735.981518;-38.13080360867914
1739209735.9815235;-45.120503652039325
1739209735.9815288;-35.57807855764607
1739209735.9815342;-35.57807855764607
1739209735.9815397;-45.120503652039325
1739209735.9815452;-38.13080360867914
1739209735.9815505;-45.120503652039325
1739209735.981556;-31.141103565318915
1739209735.9815614;-38.13080360867914
1739209735.9815667;-38.13080360867914
1739209735.9815722;-45.120503652039325
1739209735.9815776;-45.120503652039325
1739209735.9815829;-45.120503652039325
1739209735.9815884;-45.120503652039325
1739209735.9815938;-38.13080360867914
1739209735.981599;-38.13080360867914
1739209735.9816046;-45.120503652039325
1739209735.98161;-45.120503652039325
1739209735.9816155;-45.120503652039325
1739209735.9816208;-38.13080360867914
1739209735.9816263;-38.13080360867914
1739209735.9816318;-38.13080360867914
1739209735.981637;-45.120503652039325
1739209735.9816425;-33.981070128970906
1739209735.981648;-38.13080360867914
1739209735.9816532;-38.13080360867914
1739209735.9816587;-45.120503652039325
1739209735.9816642;-45.120503652039325
1739209735.9816694;-45.120503652039325
1739209735.981675;-45.120503652039325
1739209735.9816804;-33.981070128970906
1739209735.9816856;-38.13080360867914
1739209735.9816911;-45.120503652039325
1739209735.9816966;-45.120503652039325
1739209735.9817019;-38.13080360867914
1739209735.9817073;-35.57807855764607
1739209735.9817128;-45.120503652039325
1739209735.9817183;-45.120503652039325
1739209735.9817235;-38.13080360867914
1739209735.981729;-33.981070128970906
1739209735.9817345;-38.13080360867914
1739209735.9817398;-38.13080360867914
1739209735.9817452;-45.120503652039325
1739209735.9817507;-38.13080360867914
1739209735.981756;-38.13080360867914
1739209735.9817615;-45.120503652039325
1739209735.981767;-35.57807855764607
1739209735.9817722;-33.981070128970906
1739209735.9817777;-31.141103565318915
1739209735.9817832;-45.120503652039325
1739209735.9817886;-38.13080360867914
1739209735.9817939;-33.981070128970906
1739209735.9817994;-38.13080360867914
1739209735.9818048;-45.120503652039325
1739209735.98181;-33.981070128970906
1739209735.9818156;-33.981070128970906
1739209735.981821;-38.13080360867914
1739209735.9818263;-38.13080360867914
1739209735.9818318;-35.57807855764607
1739209735.9818373;-38.13080360867914
1739209735.9818425;-45.120503652039325
1739209735.981848;-38.13080360867914
1739209735.9818535;-45.120503652039325
1739209735.9818587;-38.13080360867914
1739209735.9818642;-38.13080360867914
