CAN Message; 0x1d3:0000f201776a8bc6
Timestamp;Amplitude
1739209664.3035865;-45.120503652039325
1739209664.3035984;-45.120503652039325
1739209664.30361;-35.57807855764607
1739209664.303622;-38.13080360867914
1739209664.3036337;-45.120503652039325
1739209664.3036454;-45.120503652039325
1739209664.3036573;-38.13080360867914
1739209664.303669;-35.57807855764607
1739209664.303681;-45.120503652039325
1739209664.3036926;-45.120503652039325
1739209664.3037045;-38.13080360867914
1739209664.3037162;-45.120503652039325
1739209664.3037279;-38.13080360867914
1739209664.3037398;-35.57807855764607
1739209664.3037515;-45.120503652039325
1739209664.3037634;-45.120503652039325
1739209664.303775;-38.13080360867914
1739209664.3037868;-45.120503652039325
1739209664.3037987;-38.13080360867914
1739209664.3038104;-29.438486411369333
1739209664.3038223;-45.120503652039325
1739209664.303834;-38.13080360867914
1739209664.3038456;-38.13080360867914
1739209664.3038576;-35.57807855764607
1739209664.3038692;-45.120503652039325
1739209664.3038812;-45.120503652039325
1739209664.3038929;-45.120503652039325
1739209664.3039048;-45.120503652039325
1739209664.3039165;-38.13080360867914
1739209664.3039281;-45.120503652039325
1739209664.30394;-45.120503652039325
1739209664.3039517;-45.120503652039325
1739209664.3039637;-45.120503652039325
1739209664.3039753;-38.13080360867914
1739209664.303987;-45.120503652039325
1739209664.303999;-32.816014438256545
1739209664.3040106;-38.13080360867914
1739209664.3040226;-45.120503652039325
1739209664.3040342;-38.13080360867914
1739209664.304046;-32.816014438256545
1739209664.3040578;-33.981070128970906
1739209664.3040695;-38.13080360867914
1739209664.3040814;-35.57807855764607
1739209664.3040931;-38.13080360867914
1739209664.304105;-45.120503652039325
1739209664.3041167;-33.981070128970906
1739209664.3041284;-45.120503652039325
1739209664.3041403;-45.120503652039325
1739209664.304152;-38.13080360867914
1739209664.304164;-33.981070128970906
1739209664.3041756;-38.13080360867914
1739209664.3041873;-32.816014438256545
1739209664.3041992;-38.13080360867914
1739209664.304211;-45.120503652039325
1739209664.3042228;-38.13080360867914
1739209664.3042345;-38.13080360867914
1739209664.3042462;-33.981070128970906
1739209664.304258;-38.13080360867914
1739209664.3042698;-38.13080360867914
1739209664.3042817;-38.13080360867914
1739209664.3042934;-45.120503652039325
1739209664.3043053;-45.120503652039325
1739209664.304317;-38.13080360867914
1739209664.3043287;-45.120503652039325
1739209664.3043406;-45.120503652039325
1739209664.3043523;-38.13080360867914
1739209664.3043642;-38.13080360867914
1739209664.304376;-45.120503652039325
1739209664.3043876;-35.57807855764607
1739209664.3043995;-35.57807855764607
1739209664.3044112;-45.120503652039325
1739209664.304423;-35.57807855764607
1739209664.3044348;-31.141103565318915
1739209664.3044465;-38.13080360867914
1739209664.3044584;-45.120503652039325
1739209664.30447;-45.120503652039325
1739209664.304482;-45.120503652039325
1739209664.3044937;-38.13080360867914
1739209664.3045056;-45.120503652039325
1739209664.3045173;-45.120503652039325
1739209664.304529;-38.13080360867914
1739209664.3045409;-35.57807855764607
1739209664.3045526;-45.120503652039325
1739209664.3045645;-33.981070128970906
1739209664.3045762;-32.816014438256545
1739209664.3045878;-38.13080360867914
1739209664.3045998;-38.13080360867914
1739209664.3046114;-45.120503652039325
1739209664.3046234;-38.13080360867914
1739209664.304635;-35.57807855764607
1739209664.304647;-38.13080360867914
1739209664.3046587;-38.13080360867914
1739209664.3046703;-38.13080360867914
1739209664.3046823;-35.57807855764607
1739209664.304694;-38.13080360867914
1739209664.3047059;-45.120503652039325
1739209664.3047175;-45.120503652039325
1739209664.3047292;-38.13080360867914
1739209664.3047411;-38.13080360867914
1739209664.3047528;-45.120503652039325
1739209664.3047647;-35.57807855764607
1739209664.3047764;-35.57807855764607
1739209664.304788;-45.120503652039325
1739209664.3048;-45.120503652039325
1739209664.3048117;-33.981070128970906
1739209664.3048236;-35.57807855764607
1739209664.3048353;-38.13080360867914
1739209664.3048472;-45.120503652039325
1739209664.304859;-38.13080360867914
1739209664.3048706;-38.13080360867914
1739209664.3048825;-38.13080360867914
1739209664.3048942;-38.13080360867914
1739209664.3049061;-38.13080360867914
1739209664.3049178;-45.120503652039325
1739209664.3049295;-45.120503652039325
1739209664.3049414;-45.120503652039325
1739209664.304953;-38.13080360867914
1739209664.304965;-38.13080360867914
1739209664.3049767;-38.13080360867914
1739209664.3049884;-38.13080360867914
1739209664.3050003;-35.57807855764607
1739209664.305012;-32.816014438256545
1739209664.305024;-38.13080360867914
1739209664.3050356;-38.13080360867914
1739209664.3050475;-38.13080360867914
1739209664.3050592;-45.120503652039325
1739209664.3050709;-45.120503652039325
1739209664.3050828;-45.120503652039325
1739209664.3050945;-38.13080360867914
1739209664.3051064;-45.120503652039325
1739209664.305118;-38.13080360867914
1739209664.3051298;-38.13080360867914
1739209664.3051417;-38.13080360867914
1739209664.3051534;-35.57807855764607
1739209664.3051653;-38.13080360867914
1739209664.305177;-45.120503652039325
1739209664.3051887;-45.120503652039325
1739209664.3052006;-38.13080360867914
1739209664.3052123;-45.120503652039325
1739209664.3052242;-38.13080360867914
1739209664.3052359;-38.13080360867914
1739209664.3052478;-45.120503652039325
1739209664.3052595;-38.13080360867914
1739209664.3052711;-38.13080360867914
1739209664.305283;-45.120503652039325
1739209664.3052948;-45.120503652039325
1739209664.3053067;-45.120503652039325
1739209664.3053184;-45.120503652039325
1739209664.30533;-45.120503652039325
1739209664.305342;-45.120503652039325
1739209664.3053536;-38.13080360867914
1739209664.3053656;-38.13080360867914
