CAN Message; 0x150:0100aca0c30344b8
Timestamp;Amplitude
1739209617.8202395;-45.120503652039325
1739209617.820243;-38.13080360867914
1739209617.8202462;-45.120503652039325
1739209617.8202498;-38.13080360867914
1739209617.8202531;-35.57807855764607
1739209617.8202565;-45.120503652039325
1739209617.8202598;-45.120503652039325
1739209617.8202631;-38.13080360867914
1739209617.8202665;-33.981070128970906
1739209617.8202698;-38.13080360867914
1739209617.8202734;-38.13080360867914
1739209617.8202767;-45.120503652039325
1739209617.82028;-45.120503652039325
1739209617.8202834;-35.57807855764607
1739209617.8202868;-45.120503652039325
1739209617.82029;-45.120503652039325
1739209617.8202934;-45.120503652039325
1739209617.820297;-45.120503652039325
1739209617.8203003;-45.120503652039325
1739209617.8203037;-38.13080360867914
1739209617.820307;-35.57807855764607
1739209617.8203104;-38.13080360867914
1739209617.8203137;-38.13080360867914
1739209617.820317;-38.13080360867914
1739209617.8203206;-45.120503652039325
1739209617.820324;-38.13080360867914
1739209617.8203273;-38.13080360867914
1739209617.8203306;-45.120503652039325
1739209617.820334;-38.13080360867914
1739209617.8203373;-33.981070128970906
1739209617.8203406;-38.13080360867914
1739209617.8203442;-45.120503652039325
1739209617.8203475;-33.981070128970906
1739209617.820351;-45.120503652039325
1739209617.8203542;-45.120503652039325
1739209617.8203576;-38.13080360867914
1739209617.820361;-38.13080360867914
1739209617.8203642;-38.13080360867914
1739209617.8203678;-38.13080360867914
1739209617.8203712;-38.13080360867914
1739209617.8203745;-45.120503652039325
1739209617.8203778;-45.120503652039325
1739209617.8203812;-38.13080360867914
1739209617.8203845;-32.816014438256545
1739209617.820388;-35.57807855764607
1739209617.8203914;-38.13080360867914
1739209617.8203948;-38.13080360867914
1739209617.820398;-45.120503652039325
1739209617.8204014;-38.13080360867914
1739209617.8204048;-38.13080360867914
1739209617.820408;-38.13080360867914
1739209617.8204117;-35.57807855764607
1739209617.820415;-38.13080360867914
1739209617.8204184;-45.120503652039325
1739209617.8204217;-45.120503652039325
1739209617.820425;-35.57807855764607
1739209617.8204284;-45.120503652039325
1739209617.8204317;-45.120503652039325
1739209617.8204353;-31.141103565318915
1739209617.8204386;-38.13080360867914
1739209617.820442;-38.13080360867914
1739209617.8204453;-35.57807855764607
1739209617.8204486;-38.13080360867914
1739209617.820452;-38.13080360867914
1739209617.8204553;-32.816014438256545
1739209617.820459;-38.13080360867914
1739209617.8204622;-45.120503652039325
1739209617.8204656;-38.13080360867914
1739209617.820469;-38.13080360867914
1739209617.8204722;-45.120503652039325
1739209617.8204756;-38.13080360867914
1739209617.820479;-45.120503652039325
1739209617.8204825;-45.120503652039325
1739209617.8204858;-45.120503652039325
1739209617.8204892;-45.120503652039325
1739209617.8204925;-32.816014438256545
1739209617.8204958;-45.120503652039325
1739209617.8204992;-45.120503652039325
1739209617.8205025;-45.120503652039325
1739209617.820506;-38.13080360867914
1739209617.8205094;-38.13080360867914
1739209617.8205128;-45.120503652039325
1739209617.820516;-38.13080360867914
1739209617.8205194;-45.120503652039325
1739209617.8205228;-35.57807855764607
1739209617.8205261;-32.816014438256545
1739209617.8205297;-45.120503652039325
1739209617.820533;-38.13080360867914
1739209617.8205364;-38.13080360867914
1739209617.8205397;-45.120503652039325
1739209617.820543;-38.13080360867914
1739209617.8205464;-35.57807855764607
1739209617.8205497;-45.120503652039325
1739209617.8205533;-32.81601443825658
1739209617.8205566;-33.981070128970906
1739209617.82056;-35.57807855764607
1739209617.8205633;-38.13080360867914
1739209617.8205667;-45.120503652039325
1739209617.82057;-38.13080360867914
1739209617.8205733;-45.120503652039325
1739209617.820577;-35.57807855764607
1739209617.8205802;-26.991370085610736
1739209617.8205836;-45.120503652039325
1739209617.820587;-45.120503652039325
1739209617.8205903;-38.13080360867914
1739209617.8205936;-32.816014438256545
1739209617.820597;-45.120503652039325
1739209617.8206005;-38.13080360867914
1739209617.8206038;-45.120503652039325
1739209617.8206072;-38.13080360867914
1739209617.8206105;-45.120503652039325
1739209617.8206139;-45.120503652039325
1739209617.8206172;-45.120503652039325
1739209617.8206205;-45.120503652039325
1739209617.820624;-45.120503652039325
1739209617.8206275;-45.120503652039325
1739209617.8206308;-38.13080360867914
1739209617.8206341;-35.57807855764607
1739209617.8206375;-45.120503652039325
1739209617.8206408;-45.120503652039325
1739209617.8206441;-35.57807855764607
1739209617.8206477;-38.13080360867914
1739209617.820651;-45.120503652039325
1739209617.8206544;-45.120503652039325
1739209617.8206577;-38.13080360867914
1739209617.820661;-38.13080360867914
1739209617.8206644;-45.120503652039325
1739209617.8206677;-45.120503652039325
1739209617.8206713;-45.120503652039325
1739209617.8206747;-38.13080360867914
1739209617.820678;-45.120503652039325
1739209617.8206813;-45.120503652039325
1739209617.8206847;-38.13080360867914
1739209617.820688;-38.13080360867914
1739209617.8206916;-45.120503652039325
1739209617.820695;-45.120503652039325
1739209617.8206983;-33.981070128970906
1739209617.8207016;-45.120503652039325
1739209617.820705;-33.981070128970906
1739209617.8207083;-45.120503652039325
1739209617.8207116;-45.120503652039325
1739209617.8207152;-27.8777449560314
1739209617.8207185;-38.13080360867914
1739209617.8207219;-45.120503652039325
1739209617.8207252;-45.120503652039325
1739209617.8207285;-38.13080360867914
