CAN Message; 0x1b8:00002394811b3d4d
Timestamp;Amplitude
1739209842.25265;-38.13080360867914
1739209842.2526515;-45.120503652039325
1739209842.2526526;-38.13080360867914
1739209842.252654;-32.81601443825658
1739209842.2526555;-45.120503652039325
1739209842.252657;-33.981070128970906
1739209842.2526584;-45.120503652039325
1739209842.2526596;-45.120503652039325
1739209842.252661;-38.13080360867914
1739209842.2526624;-38.13080360867914
1739209842.2526639;-45.120503652039325
1739209842.2526653;-31.141103565318915
1739209842.2526667;-33.981070128970906
1739209842.252668;-38.13080360867914
1739209842.2526693;-38.13080360867914
1739209842.2526708;-35.57807855764607
1739209842.2526722;-45.120503652039325
1739209842.2526736;-35.57807855764607
1739209842.2526748;-38.13080360867914
1739209842.2526762;-32.816014438256545
1739209842.2526777;-33.981070128970906
1739209842.252679;-45.120503652039325
1739209842.2526805;-45.120503652039325
1739209842.2526817;-38.13080360867914
1739209842.2526832;-38.13080360867914
1739209842.2526846;-45.120503652039325
1739209842.252686;-38.13080360867914
1739209842.2526875;-31.141103565318915
1739209842.2526886;-33.981070128970906
1739209842.25269;-38.13080360867914
1739209842.2526915;-38.13080360867914
1739209842.252693;-38.13080360867914
1739209842.2526944;-38.13080360867914
1739209842.2526958;-45.120503652039325
1739209842.252697;-38.13080360867914
1739209842.2526984;-45.120503652039325
1739209842.2526999;-45.120503652039325
1739209842.2527013;-45.120503652039325
1739209842.2527027;-45.120503652039325
1739209842.252704;-45.120503652039325
1739209842.2527053;-45.120503652039325
1739209842.2527068;-38.13080360867914
1739209842.2527082;-33.981070128970906
1739209842.2527096;-38.13080360867914
1739209842.2527108;-38.13080360867914
1739209842.2527122;-38.13080360867914
1739209842.2527137;-38.13080360867914
1739209842.252715;-33.981070128970906
1739209842.2527165;-32.816014438256545
1739209842.2527177;-38.13080360867914
1739209842.2527192;-33.981070128970906
1739209842.2527206;-32.816014438256545
1739209842.252722;-45.120503652039325
1739209842.2527235;-38.13080360867914
1739209842.252725;-38.13080360867914
1739209842.252726;-38.13080360867914
1739209842.2527275;-45.120503652039325
1739209842.252729;-45.120503652039325
1739209842.2527304;-38.13080360867914
1739209842.2527318;-35.57807855764607
1739209842.252733;-38.13080360867914
1739209842.2527344;-45.120503652039325
1739209842.2527359;-45.120503652039325
1739209842.2527373;-33.981070128970906
1739209842.2527387;-45.120503652039325
1739209842.25274;-45.120503652039325
1739209842.2527413;-35.57807855764607
1739209842.2527428;-45.120503652039325
1739209842.2527442;-30.49652367304976
1739209842.2527456;-38.13080360867914
1739209842.2527468;-33.981070128970906
1739209842.2527483;-38.13080360867914
1739209842.2527497;-38.13080360867914
1739209842.252751;-38.13080360867914
1739209842.2527525;-45.120503652039325
1739209842.252754;-38.13080360867914
1739209842.2527552;-28.992665084841942
1739209842.2527566;-38.13080360867914
1739209842.252758;-45.120503652039325
1739209842.2527595;-45.120503652039325
1739209842.252761;-33.981070128970906
1739209842.252762;-45.120503652039325
1739209842.2527635;-35.57807855764607
1739209842.252765;-35.57807855764607
1739209842.2527664;-33.981070128970956
1739209842.2527678;-38.13080360867914
1739209842.252769;-38.13080360867914
1739209842.2527704;-45.120503652039325
1739209842.2527719;-33.981070128970906
1739209842.2527733;-35.57807855764607
1739209842.2527747;-45.120503652039325
1739209842.252776;-38.13080360867914
1739209842.2527773;-28.992665084841942
1739209842.2527788;-35.57807855764607
1739209842.2527802;-45.120503652039325
1739209842.2527816;-38.13080360867914
1739209842.252783;-33.981070128970906
1739209842.2527843;-45.120503652039325
1739209842.2527857;-38.13080360867914
1739209842.252787;-38.13080360867914
1739209842.2527885;-33.981070128970956
1739209842.25279;-45.120503652039325
1739209842.2527912;-45.120503652039325
1739209842.2527926;-45.120503652039325
1739209842.252794;-45.120503652039325
1739209842.2527955;-35.57807855764607
1739209842.252797;-38.13080360867914
1739209842.252798;-45.120503652039325
1739209842.2527995;-30.49652367304973
1739209842.252801;-35.57807855764607
1739209842.2528024;-45.120503652039325
1739209842.2528038;-45.120503652039325
1739209842.252805;-45.120503652039325
1739209842.2528064;-45.120503652039325
1739209842.2528079;-45.120503652039325
1739209842.2528093;-38.13080360867914
1739209842.2528107;-38.13080360867914
1739209842.2528121;-45.120503652039325
1739209842.2528133;-33.981070128970906
1739209842.2528148;-33.981070128970906
1739209842.2528162;-38.13080360867914
1739209842.2528176;-45.120503652039325
1739209842.252819;-38.13080360867914
1739209842.2528203;-38.13080360867914
1739209842.2528217;-38.13080360867914
1739209842.252823;-45.120503652039325
1739209842.2528245;-38.13080360867914
1739209842.252826;-45.120503652039325
1739209842.2528272;-38.13080360867914
1739209842.2528286;-38.13080360867914
1739209842.25283;-45.120503652039325
1739209842.2528315;-45.120503652039325
1739209842.252833;-33.981070128970906
1739209842.252834;-45.120503652039325
1739209842.2528355;-45.120503652039325
1739209842.252837;-45.120503652039325
1739209842.2528384;-38.13080360867914
1739209842.2528398;-38.13080360867914
1739209842.2528412;-45.120503652039325
1739209842.2528424;-45.120503652039325
1739209842.2528439;-45.120503652039325
1739209842.2528453;-45.120503652039325
1739209842.2528467;-38.13080360867914
1739209842.2528481;-38.13080360867914
1739209842.2528493;-45.120503652039325
1739209842.2528508;-45.120503652039325
1739209842.2528522;-38.13080360867914
1739209842.2528536;-38.13080360867914
1739209842.252855;-38.13080360867914
1739209842.2528563;-38.13080360867914
1739209842.2528577;-45.120503652039325
1739209842.252859;-33.981070128970906
1739209842.2528605;-45.120503652039325
1739209842.252862;-45.120503652039325
1739209842.2528632;-38.13080360867914
1739209842.2528646;-35.57807855764607
1739209842.252866;-45.120503652039325
1739209842.2528675;-45.120503652039325
1739209842.252869;-35.57807855764607
1739209842.2528703;-33.981070128970906
1739209842.2528715;-33.981070128970906
1739209842.252873;-32.816014438256545
1739209842.2528744;-38.13080360867914
1739209842.2528758;-38.13080360867914
1739209842.2528772;-38.13080360867914
1739209842.2528784;-38.13080360867914
1739209842.2528799;-38.13080360867914
1739209842.2528813;-38.13080360867914
1739209842.2528827;-45.120503652039325
1739209842.2528841;-38.13080360867914
1739209842.2528853;-38.13080360867914
1739209842.2528868;-38.13080360867914
1739209842.2528882;-45.120503652039325
1739209842.2528896;-38.13080360867914
1739209842.252891;-45.120503652039325
1739209842.2528923;-45.120503652039325
1739209842.2528937;-30.49652367304973
1739209842.252895;-32.816014438256545
1739209842.2528965;-45.120503652039325
1739209842.252898;-45.120503652039325
1739209842.2528994;-45.120503652039325
1739209842.2529006;-31.141103565318915
1739209842.252902;-32.816014438256545
1739209842.2529035;-38.13080360867914
1739209842.252905;-38.13080360867914
1739209842.2529063;-45.120503652039325
1739209842.2529075;-38.13080360867914
1739209842.252909;-45.120503652039325
1739209842.2529104;-45.120503652039325
1739209842.2529118;-38.13080360867914
1739209842.2529132;-38.13080360867914
1739209842.2529144;-45.120503652039325
1739209842.2529159;-45.120503652039325
1739209842.2529173;-38.13080360867914
1739209842.2529187;-38.13080360867914
1739209842.2529202;-45.120503652039325
1739209842.2529213;-45.120503652039325
