CAN Message; 0x1b8:0100e0c91accbb01
Timestamp;Amplitude
1739209851.0715857;-45.120503652039325
1739209851.0716126;-38.13080360867914
1739209851.0716398;-38.13080360867914
1739209851.0716667;-38.13080360867914
1739209851.071694;-35.57807855764607
1739209851.071721;-38.13080360867914
1739209851.071748;-38.13080360867914
1739209851.0717752;-38.13080360867914
1739209851.0718021;-35.57807855764607
1739209851.0718293;-45.120503652039325
1739209851.0718565;-38.13080360867914
1739209851.0718834;-38.13080360867914
1739209851.0719106;-38.13080360867914
1739209851.0719376;-38.13080360867914
1739209851.0719647;-45.120503652039325
1739209851.071992;-33.981070128970906
1739209851.0720189;-38.13080360867914
1739209851.072046;-38.13080360867914
1739209851.0720732;-45.120503652039325
1739209851.0721002;-33.981070128970906
1739209851.0721273;-45.120503652039325
1739209851.0721543;-45.120503652039325
1739209851.0721815;-38.13080360867914
1739209851.0722086;-38.13080360867914
1739209851.0722356;-45.120503652039325
1739209851.0722628;-45.120503652039325
1739209851.0722897;-38.13080360867914
1739209851.072317;-38.13080360867914
1739209851.072344;-38.13080360867914
1739209851.072371;-45.120503652039325
1739209851.0723982;-45.120503652039325
1739209851.0724251;-38.13080360867914
1739209851.0724523;-33.981070128970906
1739209851.0724795;-38.13080360867914
1739209851.0725064;-35.57807855764607
1739209851.0725336;-38.13080360867914
1739209851.0725605;-45.120503652039325
1739209851.0725877;-45.120503652039325
1739209851.072615;-38.13080360867914
1739209851.0726418;-45.120503652039325
1739209851.072669;-45.120503652039325
1739209851.072696;-33.981070128970906
1739209851.0727232;-31.141103565318915
1739209851.0727503;-29.438486411369347
1739209851.0727773;-38.13080360867914
1739209851.0728045;-38.13080360867914
1739209851.0728314;-38.13080360867914
1739209851.0728586;-38.13080360867914
1739209851.0728858;-38.13080360867914
1739209851.0729127;-35.57807855764607
1739209851.0729399;-38.13080360867914
1739209851.0729668;-31.141103565318915
1739209851.072994;-45.120503652039325
1739209851.0730212;-35.57807855764607
1739209851.073048;-32.816014438256545
1739209851.0730753;-38.13080360867914
1739209851.0731025;-45.120503652039325
1739209851.0731294;-45.120503652039325
1739209851.0731566;-38.13080360867914
1739209851.0731835;-38.13080360867914
1739209851.0732107;-45.120503652039325
1739209851.073238;-38.13080360867914
1739209851.0732648;-38.13080360867914
1739209851.073292;-38.13080360867914
1739209851.073319;-45.120503652039325
1739209851.0733461;-38.13080360867914
1739209851.0733733;-33.981070128970906
1739209851.0734003;-35.57807855764607
1739209851.0734274;-45.120503652039325
1739209851.0734544;-33.981070128970906
1739209851.0734816;-35.57807855764607
1739209851.0735087;-38.13080360867914
1739209851.0735357;-38.13080360867914
1739209851.0735629;-45.120503652039325
1739209851.0735898;-38.13080360867914
1739209851.073617;-27.267205301931607
1739209851.0736442;-45.120503652039325
1739209851.073671;-45.120503652039325
1739209851.0736983;-38.13080360867914
1739209851.0737252;-38.13080360867914
1739209851.0737524;-45.120503652039325
1739209851.0737796;-38.13080360867914
1739209851.0738065;-45.120503652039325
1739209851.0738337;-35.57807855764607
1739209851.0738606;-45.120503652039325
1739209851.0738878;-33.981070128970906
1739209851.073915;-38.13080360867914
1739209851.073942;-45.120503652039325
1739209851.0739691;-38.13080360867914
1739209851.073996;-38.13080360867914
1739209851.0740232;-38.13080360867914
1739209851.0740504;-28.58837851428586
1739209851.0740774;-35.57807855764607
1739209851.0741045;-45.120503652039325
1739209851.0741317;-38.13080360867914
1739209851.0741587;-45.120503652039325
1739209851.0741858;-38.13080360867914
1739209851.0742128;-38.13080360867914
1739209851.07424;-45.120503652039325
1739209851.0742671;-38.13080360867914
1739209851.074294;-45.120503652039325
1739209851.0743213;-45.120503652039325
1739209851.0743482;-45.120503652039325
1739209851.0743754;-38.13080360867914
1739209851.0744026;-45.120503652039325
1739209851.0744295;-45.120503652039325
1739209851.0744567;-38.13080360867914
1739209851.0744836;-45.120503652039325
1739209851.0745108;-38.13080360867914
1739209851.074538;-45.120503652039325
1739209851.074565;-45.120503652039325
1739209851.074592;-45.120503652039325
1739209851.074619;-38.13080360867914
1739209851.0746462;-45.120503652039325
1739209851.0746734;-45.120503652039325
1739209851.0747004;-33.981070128970906
1739209851.0747275;-38.13080360867914
1739209851.0747545;-38.13080360867914
1739209851.0747817;-32.816014438256545
1739209851.0748088;-38.13080360867914
1739209851.0748358;-45.120503652039325
1739209851.074863;-45.120503652039325
1739209851.07489;-38.13080360867914
1739209851.074917;-45.120503652039325
1739209851.0749443;-38.13080360867914
1739209851.0749712;-38.13080360867914
1739209851.0749984;-45.120503652039325
1739209851.0750256;-38.13080360867914
1739209851.0750525;-38.13080360867914
1739209851.0750797;-45.120503652039325
1739209851.0751066;-45.120503652039325
1739209851.0751338;-38.13080360867914
1739209851.075161;-38.13080360867914
1739209851.075188;-38.13080360867914
1739209851.075215;-45.120503652039325
1739209851.075242;-45.120503652039325
1739209851.0752692;-38.13080360867914
1739209851.0752964;-38.13080360867914
1739209851.0753233;-45.120503652039325
1739209851.0753505;-45.120503652039325
1739209851.0753775;-45.120503652039325
1739209851.0754046;-45.120503652039325
1739209851.0754318;-38.13080360867914
1739209851.0754588;-38.13080360867914
1739209851.075486;-38.13080360867914
1739209851.075513;-38.13080360867914
1739209851.07554;-38.13080360867914
1739209851.0755672;-38.13080360867914
1739209851.0755942;-31.141103565318915
1739209851.0756214;-45.120503652039325
1739209851.0756483;-38.13080360867914
1739209851.0756755;-38.13080360867914
1739209851.0757027;-38.13080360867914
1739209851.0757296;-35.57807855764607
1739209851.0757568;-33.981070128970906
1739209851.0757837;-45.120503652039325
1739209851.075811;-45.120503652039325
1739209851.075838;-31.141103565318915
1739209851.075865;-35.57807855764607
1739209851.0758922;-45.120503652039325
1739209851.0759192;-45.120503652039325
1739209851.0759463;-35.57807855764607
1739209851.0759735;-38.13080360867914
1739209851.0760005;-45.120503652039325
1739209851.0760276;-45.120503652039325
1739209851.0760548;-38.13080360867914
1739209851.0760818;-38.13080360867914
1739209851.076109;-45.120503652039325
1739209851.0761359;-32.816014438256545
