CAN Message; 0x98:000030286484847e
Timestamp;Amplitude
1739209920.6578808;-33.981070128970906
1739209920.6578965;-25.826314394896354
1739209920.6579123;-33.981070128970906
1739209920.657928;-45.120503652039325
1739209920.6579437;-27.267205301931607
1739209920.6579595;-31.141103565318893
1739209920.6579752;-33.981070128970906
1739209920.6579907;-45.120503652039325
1739209920.6580064;-28.992665084841942
1739209920.6580222;-32.816014438256545
1739209920.658038;-31.141103565318893
1739209920.6580536;-30.49652367304973
1739209920.6580694;-31.141103565318915
1739209920.658085;-25.077289914212862
1739209920.6581008;-45.120503652039325
1739209920.6581166;-33.981070128970906
1739209920.6581323;-33.981070128970906
1739209920.658148;-32.816014438256545
1739209920.6581638;-38.13080360867914
1739209920.6581795;-38.13080360867914
1739209920.6581953;-38.13080360867914
1739209920.658211;-45.120503652039325
1739209920.6582265;-45.120503652039325
1739209920.6582422;-31.141103565318893
1739209920.658258;-38.13080360867914
1739209920.6582737;-45.120503652039325
1739209920.6582894;-38.13080360867914
1739209920.6583052;-35.57807855764607
1739209920.658321;-31.141103565318915
1739209920.6583366;-31.141103565318915
1739209920.6583524;-30.49652367304973
1739209920.658368;-33.981070128970956
1739209920.6583838;-45.120503652039325
1739209920.6583996;-38.13080360867914
1739209920.6584153;-32.816014438256545
1739209920.658431;-45.120503652039325
1739209920.6584468;-38.13080360867914
1739209920.6584625;-26.991370085610736
1739209920.658478;-45.120503652039325
1739209920.6584938;-33.981070128970906
1739209920.6585095;-33.981070128970906
1739209920.6585252;-45.120503652039325
1739209920.658541;-30.49652367304973
1739209920.6585567;-32.81601443825658
1739209920.6585724;-31.141103565318915
1739209920.6585882;-35.57807855764607
1739209920.658604;-45.120503652039325
1739209920.6586196;-45.120503652039325
1739209920.6586354;-38.13080360867914
1739209920.658651;-38.13080360867914
1739209920.6586668;-45.120503652039325
1739209920.6586826;-32.816014438256545
1739209920.6586983;-45.120503652039325
1739209920.6587138;-45.120503652039325
1739209920.6587296;-38.13080360867914
1739209920.6587453;-45.120503652039325
1739209920.658761;-45.120503652039325
1739209920.6587768;-38.13080360867914
1739209920.6587925;-38.13080360867914
1739209920.6588082;-38.13080360867914
1739209920.658824;-45.120503652039325
1739209920.6588397;-45.120503652039325
1739209920.6588554;-38.13080360867914
1739209920.6588712;-45.120503652039325
1739209920.658887;-45.120503652039325
1739209920.6589026;-38.13080360867914
1739209920.6589184;-33.981070128970906
1739209920.658934;-35.57807855764607
1739209920.6589496;-38.13080360867914
1739209920.6589653;-45.120503652039325
1739209920.658981;-33.981070128970906
1739209920.6589968;-35.57807855764607
1739209920.6590126;-45.120503652039325
1739209920.6590283;-38.13080360867914
1739209920.659044;-38.13080360867914
1739209920.6590598;-45.120503652039325
1739209920.6590755;-45.120503652039325
1739209920.6590912;-45.120503652039325
1739209920.659107;-28.992665084841942
1739209920.6591227;-35.57807855764607
1739209920.6591384;-38.13080360867914
1739209920.6591542;-45.120503652039325
1739209920.65917;-38.13080360867914
1739209920.6591856;-35.57807855764607
1739209920.6592011;-45.120503652039325
1739209920.659217;-45.120503652039325
1739209920.6592326;-35.57807855764607
1739209920.6592484;-38.13080360867914
1739209920.659264;-38.13080360867914
1739209920.6592798;-45.120503652039325
1739209920.6592956;-45.120503652039325
1739209920.6593113;-38.13080360867914
1739209920.659327;-38.13080360867914
1739209920.6593428;-45.120503652039325
1739209920.6593585;-27.267205301931607
1739209920.6593742;-33.981070128970906
1739209920.65939;-45.120503652039325
1739209920.6594057;-45.120503652039325
1739209920.6594214;-33.981070128970906
1739209920.659437;-35.57807855764607
1739209920.6594527;-38.13080360867914
1739209920.6594684;-45.120503652039325
1739209920.6594841;-45.120503652039325
1739209920.6595;-38.13080360867914
1739209920.6595156;-45.120503652039325
1739209920.6595314;-38.13080360867914
1739209920.659547;-45.120503652039325
1739209920.6595628;-38.13080360867914
1739209920.6595786;-38.13080360867914
1739209920.6595943;-45.120503652039325
1739209920.65961;-45.120503652039325
1739209920.6596258;-38.13080360867914
1739209920.6596415;-38.13080360867914
1739209920.6596572;-45.120503652039325
1739209920.6596727;-45.120503652039325
1739209920.6596885;-38.13080360867914
1739209920.6597042;-38.13080360867914
1739209920.65972;-45.120503652039325
1739209920.6597357;-27.267205301931607
1739209920.6597514;-30.49652367304973
1739209920.6597672;-45.120503652039325
1739209920.659783;-45.120503652039325
1739209920.6597986;-38.13080360867914
1739209920.6598144;-35.57807855764607
1739209920.65983;-45.120503652039325
1739209920.6598458;-38.13080360867914
1739209920.6598616;-45.120503652039325
1739209920.6598773;-45.120503652039325
1739209920.659893;-38.13080360867914
1739209920.6599085;-45.120503652039325
1739209920.6599243;-45.120503652039325
1739209920.65994;-38.13080360867914
1739209920.6599557;-45.120503652039325
1739209920.6599715;-45.120503652039325
1739209920.6599872;-33.981070128970906
1739209920.660003;-33.981070128970906
