CAN Message; 0x62:08a3ea9ac88ab8ac
Timestamp;Amplitude
1739209763.7005315;-35.57807855764607
1739209763.7005386;-35.57807855764607
1739209763.7005458;-38.13080360867914
1739209763.700553;-45.120503652039325
1739209763.70056;-27.267205301931607
1739209763.700567;-45.120503652039325
1739209763.7005742;-45.120503652039325
1739209763.7005813;-45.120503652039325
1739209763.7005885;-38.13080360867914
1739209763.7005956;-38.13080360867914
1739209763.7006028;-45.120503652039325
1739209763.70061;-45.120503652039325
1739209763.700617;-32.81601443825658
1739209763.7006242;-32.816014438256545
1739209763.7006314;-33.981070128970906
1739209763.7006383;-38.13080360867914
1739209763.7006454;-45.120503652039325
1739209763.7006526;-38.13080360867914
1739209763.7006598;-45.120503652039325
1739209763.700667;-45.120503652039325
1739209763.700674;-38.13080360867914
1739209763.7006812;-45.120503652039325
1739209763.7006884;-45.120503652039325
1739209763.7006955;-45.120503652039325
1739209763.7007027;-38.13080360867914
1739209763.7007098;-35.57807855764607
1739209763.7007167;-33.981070128970906
1739209763.700724;-45.120503652039325
1739209763.700731;-38.13080360867914
1739209763.7007382;-38.13080360867914
1739209763.7007453;-45.120503652039325
1739209763.7007525;-38.13080360867914
1739209763.7007596;-38.13080360867914
1739209763.7007668;-38.13080360867914
1739209763.700774;-45.120503652039325
1739209763.700781;-38.13080360867914
1739209763.700788;-38.13080360867914
1739209763.7007952;-45.120503652039325
1739209763.7008023;-45.120503652039325
1739209763.7008095;-45.120503652039325
1739209763.7008166;-45.120503652039325
1739209763.7008238;-38.13080360867914
1739209763.700831;-45.120503652039325
1739209763.700838;-38.13080360867914
1739209763.7008452;-33.981070128970906
1739209763.7008524;-38.13080360867914
1739209763.7008595;-45.120503652039325
1739209763.7008665;-38.13080360867914
1739209763.7008736;-35.57807855764607
1739209763.7008808;-38.13080360867914
1739209763.700888;-38.13080360867914
1739209763.700895;-45.120503652039325
1739209763.7009022;-45.120503652039325
1739209763.7009094;-45.120503652039325
1739209763.7009165;-45.120503652039325
1739209763.7009237;-33.981070128970906
1739209763.7009308;-45.120503652039325
1739209763.7009377;-45.120503652039325
