CAN Message; 0x39:0c7ac43b16162408
Timestamp;Amplitude
1739209597.3004172;-38.13080360867914
1739209597.3004208;-35.57807855764607
1739209597.3004243;-45.120503652039325
1739209597.3004282;-31.141103565318915
1739209597.3004317;-33.981070128970906
1739209597.3004353;-45.120503652039325
1739209597.300439;-38.13080360867914
1739209597.3004425;-45.120503652039325
1739209597.300446;-45.120503652039325
1739209597.3004496;-45.120503652039325
1739209597.3004534;-33.981070128970906
1739209597.300457;-38.13080360867914
1739209597.3004606;-45.120503652039325
1739209597.3004642;-38.13080360867914
1739209597.3004677;-45.120503652039325
1739209597.3004713;-45.120503652039325
1739209597.300475;-38.13080360867914
1739209597.3004785;-38.13080360867914
1739209597.3004823;-45.120503652039325
1739209597.3004858;-45.120503652039325
1739209597.3004894;-45.120503652039325
1739209597.300493;-38.13080360867914
1739209597.3004966;-38.13080360867914
1739209597.3005002;-45.120503652039325
1739209597.3005037;-45.120503652039325
1739209597.3005075;-35.57807855764607
1739209597.3005111;-45.120503652039325
1739209597.3005147;-45.120503652039325
1739209597.3005183;-33.981070128970906
1739209597.3005219;-45.120503652039325
1739209597.3005254;-45.120503652039325
1739209597.300529;-35.57807855764607
1739209597.3005328;-38.13080360867914
1739209597.3005364;-45.120503652039325
1739209597.30054;-45.120503652039325
1739209597.3005435;-45.120503652039325
1739209597.3005471;-45.120503652039325
1739209597.3005507;-45.120503652039325
1739209597.3005543;-45.120503652039325
1739209597.300558;-45.120503652039325
1739209597.3005617;-45.120503652039325
1739209597.3005652;-38.13080360867914
1739209597.3005688;-38.13080360867914
1739209597.3005724;-35.57807855764607
1739209597.300576;-38.13080360867914
1739209597.3005795;-45.120503652039325
1739209597.3005831;-45.120503652039325
1739209597.300587;-38.13080360867914
1739209597.3005905;-35.57807855764607
1739209597.300594;-38.13080360867914
1739209597.3005977;-45.120503652039325
1739209597.3006012;-38.13080360867914
1739209597.3006048;-38.13080360867914
1739209597.3006084;-45.120503652039325
1739209597.3006122;-38.13080360867914
1739209597.3006158;-45.120503652039325
1739209597.3006194;-45.120503652039325
1739209597.300623;-38.13080360867914
1739209597.3006265;-45.120503652039325
1739209597.30063;-38.13080360867914
1739209597.3006337;-35.57807855764607
1739209597.3006375;-35.57807855764607
1739209597.300641;-38.13080360867914
1739209597.3006446;-45.120503652039325
1739209597.3006482;-38.13080360867914
1739209597.3006518;-38.13080360867914
1739209597.3006554;-45.120503652039325
1739209597.300659;-45.120503652039325
1739209597.3006628;-38.13080360867914
1739209597.3006663;-45.120503652039325
1739209597.30067;-38.13080360867914
1739209597.3006735;-45.120503652039325
1739209597.300677;-45.120503652039325
1739209597.3006806;-45.120503652039325
1739209597.3006842;-38.13080360867914
1739209597.3006878;-35.57807855764607
1739209597.3006916;-38.13080360867914
1739209597.3006952;-45.120503652039325
1739209597.3006988;-38.13080360867914
1739209597.3007023;-45.120503652039325
1739209597.300706;-45.120503652039325
1739209597.3007095;-45.120503652039325
1739209597.300713;-45.120503652039325
1739209597.3007169;-30.49652367304973
1739209597.3007205;-35.57807855764607
1739209597.300724;-38.13080360867914
1739209597.3007276;-38.13080360867914
1739209597.3007312;-45.120503652039325
1739209597.3007348;-38.13080360867914
1739209597.3007383;-32.816014438256545
1739209597.3007421;-38.13080360867914
1739209597.3007457;-45.120503652039325
1739209597.3007493;-45.120503652039325
1739209597.3007529;-38.13080360867914
1739209597.3007565;-38.13080360867914
1739209597.30076;-45.120503652039325
1739209597.3007636;-45.120503652039325
1739209597.3007672;-38.13080360867914
1739209597.300771;-38.13080360867914
1739209597.3007746;-45.120503652039325
1739209597.3007782;-33.981070128970906
1739209597.3007817;-29.438486411369333
1739209597.3007853;-45.120503652039325
1739209597.3007889;-45.120503652039325
1739209597.3007925;-38.13080360867914
1739209597.3007963;-38.13080360867914
1739209597.3007998;-45.120503652039325
1739209597.3008034;-38.13080360867914
1739209597.300807;-38.13080360867914
1739209597.3008106;-45.120503652039325
1739209597.3008142;-38.13080360867914
1739209597.3008177;-45.120503652039325
1739209597.3008215;-45.120503652039325
1739209597.300825;-45.120503652039325
1739209597.3008287;-45.120503652039325
1739209597.3008323;-38.13080360867914
1739209597.3008358;-45.120503652039325
1739209597.3008394;-45.120503652039325
1739209597.300843;-45.120503652039325
1739209597.3008468;-45.120503652039325
1739209597.3008504;-38.13080360867914
1739209597.300854;-38.13080360867914
1739209597.3008575;-33.981070128970906
1739209597.3008611;-45.120503652039325
1739209597.3008647;-30.49652367304973
1739209597.3008683;-26.991370085610736
1739209597.3008718;-45.120503652039325
1739209597.3008757;-45.120503652039325
1739209597.3008792;-45.120503652039325
1739209597.3008828;-35.57807855764607
1739209597.3008864;-45.120503652039325
1739209597.30089;-38.13080360867914
1739209597.3008935;-45.120503652039325
1739209597.3008971;-45.120503652039325
1739209597.300901;-45.120503652039325
1739209597.3009045;-45.120503652039325
1739209597.300908;-45.120503652039325
1739209597.3009117;-45.120503652039325
1739209597.3009152;-45.120503652039325
1739209597.3009188;-38.13080360867914
1739209597.3009224;-33.981070128970906
1739209597.3009262;-31.141103565318893
1739209597.3009298;-45.120503652039325
1739209597.3009334;-45.120503652039325
1739209597.300937;-33.981070128970906
1739209597.3009405;-38.13080360867914
1739209597.300944;-45.120503652039325
1739209597.3009477;-32.816014438256545
1739209597.3009515;-45.120503652039325
1739209597.300955;-45.120503652039325
1739209597.3009586;-45.120503652039325
1739209597.3009622;-38.13080360867914
1739209597.3009658;-45.120503652039325
1739209597.3009694;-45.120503652039325
1739209597.300973;-45.120503652039325
1739209597.3009765;-38.13080360867914
1739209597.3009803;-38.13080360867914
