CAN Message; 0x1bb:00006f38eff16a8b
Timestamp;Amplitude
1739209915.1183047;-30.49652367304973
1739209915.118307;-28.992665084841942
1739209915.1183097;-45.120503652039325
1739209915.1183124;-33.981070128970906
1739209915.118315;-38.13080360867914
1739209915.1183174;-38.13080360867914
1739209915.11832;-45.120503652039325
1739209915.1183226;-33.981070128970906
1739209915.1183252;-45.120503652039325
1739209915.1183276;-45.120503652039325
1739209915.1183302;-45.120503652039325
1739209915.1183329;-33.981070128970906
1739209915.1183355;-45.120503652039325
1739209915.1183379;-45.120503652039325
1739209915.1183405;-38.13080360867914
1739209915.118343;-45.120503652039325
1739209915.1183457;-38.13080360867914
1739209915.1183481;-38.13080360867914
1739209915.1183507;-45.120503652039325
1739209915.1183534;-38.13080360867914
1739209915.118356;-45.120503652039325
1739209915.1183584;-45.120503652039325
1739209915.118361;-45.120503652039325
1739209915.1183636;-38.13080360867914
1739209915.1183662;-38.13080360867914
1739209915.1183686;-31.141103565318915
1739209915.1183712;-45.120503652039325
1739209915.1183739;-45.120503652039325
1739209915.1183765;-38.13080360867914
1739209915.1183789;-35.57807855764607
1739209915.1183815;-38.13080360867914
1739209915.1183841;-38.13080360867914
1739209915.1183865;-38.13080360867914
1739209915.1183891;-31.14110356531892
1739209915.1183918;-45.120503652039325
1739209915.1183944;-45.120503652039325
1739209915.1183968;-45.120503652039325
1739209915.1183994;-45.120503652039325
1739209915.118402;-38.13080360867914
1739209915.1184046;-38.13080360867914
1739209915.118407;-38.13080360867914
1739209915.1184096;-33.981070128970906
1739209915.1184123;-45.120503652039325
1739209915.1184149;-45.120503652039325
1739209915.1184173;-45.120503652039325
1739209915.11842;-38.13080360867914
1739209915.1184225;-35.57807855764607
1739209915.1184251;-38.13080360867914
1739209915.1184275;-45.120503652039325
1739209915.1184301;-38.13080360867914
1739209915.1184328;-38.13080360867914
1739209915.1184354;-38.13080360867914
1739209915.1184378;-45.120503652039325
1739209915.1184404;-45.120503652039325
1739209915.118443;-45.120503652039325
1739209915.1184456;-45.120503652039325
1739209915.118448;-45.120503652039325
1739209915.1184506;-45.120503652039325
1739209915.1184533;-35.57807855764607
1739209915.118456;-38.13080360867914
1739209915.1184583;-45.120503652039325
1739209915.118461;-45.120503652039325
1739209915.1184635;-45.120503652039325
1739209915.118466;-45.120503652039325
1739209915.1184685;-45.120503652039325
1739209915.1184711;-45.120503652039325
1739209915.1184738;-38.13080360867914
1739209915.1184762;-45.120503652039325
1739209915.1184788;-45.120503652039325
1739209915.1184814;-33.981070128970906
1739209915.118484;-32.816014438256545
1739209915.1184864;-45.120503652039325
1739209915.118489;-45.120503652039325
1739209915.1184916;-38.13080360867914
1739209915.1184943;-45.120503652039325
1739209915.1184967;-45.120503652039325
1739209915.1184993;-45.120503652039325
1739209915.118502;-45.120503652039325
1739209915.1185045;-45.120503652039325
1739209915.118507;-38.13080360867914
1739209915.1185095;-38.13080360867914
1739209915.1185122;-38.13080360867914
1739209915.1185148;-38.13080360867914
1739209915.1185172;-38.13080360867914
1739209915.1185198;-45.120503652039325
1739209915.1185224;-38.13080360867914
1739209915.118525;-32.816014438256545
1739209915.1185274;-33.981070128970906
1739209915.11853;-38.13080360867914
1739209915.1185327;-35.57807855764607
1739209915.1185353;-29.438486411369333
1739209915.1185377;-35.57807855764607
1739209915.1185403;-38.13080360867914
1739209915.118543;-45.120503652039325
1739209915.1185455;-45.120503652039325
1739209915.118548;-45.120503652039325
1739209915.1185505;-45.120503652039325
1739209915.1185532;-45.120503652039325
1739209915.1185555;-45.120503652039325
1739209915.1185582;-45.120503652039325
1739209915.1185608;-45.120503652039325
1739209915.1185634;-45.120503652039325
1739209915.1185658;-45.120503652039325
1739209915.1185684;-45.120503652039325
1739209915.118571;-45.120503652039325
1739209915.1185737;-45.120503652039325
1739209915.118576;-45.120503652039325
1739209915.1185787;-45.120503652039325
1739209915.1185813;-45.120503652039325
1739209915.118584;-38.13080360867914
1739209915.1185863;-35.57807855764607
