CAN Message; 0x1bb:000034e05b856119
Timestamp;Amplitude
1739209730.5259373;-38.13080360867914
1739209730.5259442;-32.816014438256545
1739209730.5259514;-38.13080360867914
1739209730.5259585;-45.120503652039325
1739209730.5259657;-30.49652367304973
1739209730.5259726;-33.981070128970906
1739209730.5259798;-45.120503652039325
1739209730.525987;-45.120503652039325
1739209730.5259938;-38.13080360867914
1739209730.526001;-38.13080360867914
1739209730.5260081;-38.13080360867914
1739209730.5260153;-35.57807855764607
1739209730.5260222;-38.13080360867914
1739209730.5260293;-38.13080360867914
1739209730.5260365;-38.13080360867914
1739209730.5260434;-45.120503652039325
1739209730.5260506;-45.120503652039325
1739209730.5260577;-35.57807855764607
1739209730.5260649;-38.13080360867914
1739209730.5260718;-35.57807855764607
1739209730.526079;-45.120503652039325
1739209730.526086;-35.57807855764607
1739209730.526093;-45.120503652039325
1739209730.5261002;-45.120503652039325
1739209730.5261073;-38.13080360867914
1739209730.5261145;-45.120503652039325
1739209730.5261214;-45.120503652039325
1739209730.5261285;-38.13080360867914
1739209730.5261357;-38.13080360867914
1739209730.5261426;-38.13080360867914
1739209730.5261497;-45.120503652039325
1739209730.526157;-38.13080360867914
1739209730.5261638;-38.13080360867914
1739209730.526171;-38.13080360867914
1739209730.5261781;-38.13080360867914
1739209730.5261853;-38.13080360867914
1739209730.5261922;-45.120503652039325
1739209730.5261993;-45.120503652039325
1739209730.5262065;-45.120503652039325
1739209730.5262134;-38.13080360867914
1739209730.5262206;-38.13080360867914
1739209730.5262277;-45.120503652039325
1739209730.5262349;-38.13080360867914
1739209730.5262418;-35.57807855764607
1739209730.526249;-35.57807855764607
1739209730.526256;-45.120503652039325
1739209730.526263;-45.120503652039325
1739209730.5262702;-45.120503652039325
1739209730.5262773;-35.57807855764607
1739209730.5262845;-45.120503652039325
1739209730.5262914;-45.120503652039325
1739209730.5262985;-38.13080360867914
1739209730.5263057;-38.13080360867914
1739209730.5263126;-38.13080360867914
1739209730.5263197;-38.13080360867914
1739209730.526327;-35.57807855764607
1739209730.526334;-38.13080360867914
1739209730.526341;-35.57807855764607
1739209730.526348;-35.57807855764607
1739209730.5263553;-45.120503652039325
1739209730.5263622;-38.13080360867914
1739209730.5263693;-32.816014438256545
1739209730.5263765;-45.120503652039325
1739209730.5263836;-35.57807855764607
1739209730.5263906;-38.13080360867914
1739209730.5263977;-38.13080360867914
1739209730.5264049;-45.120503652039325
1739209730.5264118;-32.816014438256545
1739209730.526419;-45.120503652039325
1739209730.526426;-45.120503652039325
1739209730.5264332;-38.13080360867914
1739209730.5264401;-45.120503652039325
1739209730.5264473;-45.120503652039325
1739209730.5264544;-38.13080360867914
1739209730.5264614;-38.13080360867914
1739209730.5264685;-45.120503652039325
1739209730.5264757;-35.57807855764607
1739209730.5264828;-38.13080360867914
1739209730.5264897;-45.120503652039325
1739209730.526497;-45.120503652039325
1739209730.526504;-45.120503652039325
1739209730.526511;-45.120503652039325
1739209730.526518;-45.120503652039325
1739209730.5265253;-38.13080360867914
1739209730.5265324;-45.120503652039325
1739209730.5265393;-45.120503652039325
1739209730.5265465;-38.13080360867914
1739209730.5265536;-45.120503652039325
1739209730.5265605;-45.120503652039325
1739209730.5265677;-35.57807855764607
1739209730.5265749;-32.816014438256545
1739209730.5265818;-45.120503652039325
1739209730.526589;-38.13080360867914
1739209730.526596;-35.57807855764607
1739209730.5266032;-33.981070128970906
1739209730.5266101;-45.120503652039325
1739209730.5266173;-38.13080360867914
1739209730.5266244;-38.13080360867914
1739209730.5266314;-33.981070128970906
1739209730.5266385;-45.120503652039325
1739209730.5266457;-45.120503652039325
1739209730.5266528;-38.13080360867914
1739209730.5266597;-45.120503652039325
1739209730.5266669;-45.120503652039325
1739209730.526674;-45.120503652039325
1739209730.526681;-32.816014438256545
1739209730.526688;-35.57807855764607
1739209730.5266953;-45.120503652039325
1739209730.5267024;-45.120503652039325
1739209730.5267093;-35.57807855764607
1739209730.5267165;-31.141103565318915
1739209730.5267236;-45.120503652039325
1739209730.5267305;-38.13080360867914
1739209730.5267377;-45.120503652039325
1739209730.5267448;-33.981070128970906
1739209730.526752;-45.120503652039325
1739209730.526759;-45.120503652039325
1739209730.526766;-38.13080360867914
1739209730.5267732;-38.13080360867914
1739209730.5267801;-45.120503652039325
1739209730.5267873;-45.120503652039325
1739209730.5267944;-32.816014438256545
1739209730.5268016;-38.13080360867914
1739209730.5268085;-45.120503652039325
1739209730.5268157;-38.13080360867914
1739209730.5268228;-35.57807855764607
1739209730.5268297;-31.141103565318915
1739209730.5268369;-38.13080360867914
1739209730.526844;-38.13080360867914
1739209730.5268512;-45.120503652039325
1739209730.526858;-38.13080360867914
