CAN Message; 0x1a7:00008998570a5029
Timestamp;Amplitude
1739209735.260232;-38.13080360867914
1739209735.2602358;-38.13080360867914
1739209735.2602394;-45.120503652039325
1739209735.2602432;-35.57807855764607
1739209735.2602468;-45.120503652039325
1739209735.2602503;-45.120503652039325
1739209735.2602541;-38.13080360867914
1739209735.2602577;-45.120503652039325
1739209735.2602613;-45.120503652039325
1739209735.260265;-45.120503652039325
1739209735.2602687;-38.13080360867914
1739209735.2602725;-45.120503652039325
1739209735.260276;-32.816014438256545
1739209735.2602797;-28.21854285175415
1739209735.2602835;-45.120503652039325
1739209735.260287;-45.120503652039325
1739209735.2602906;-38.13080360867914
1739209735.2602944;-35.57807855764607
1739209735.260298;-45.120503652039325
1739209735.2603018;-38.13080360867914
1739209735.2603054;-45.120503652039325
1739209735.260309;-45.120503652039325
1739209735.2603128;-45.120503652039325
1739209735.2603164;-45.120503652039325
1739209735.26032;-38.13080360867914
1739209735.2603238;-38.13080360867914
1739209735.2603273;-38.13080360867914
1739209735.2603312;-45.120503652039325
1739209735.2603347;-45.120503652039325
1739209735.2603383;-45.120503652039325
1739209735.2603421;-45.120503652039325
1739209735.2603457;-32.816014438256545
1739209735.2603495;-45.120503652039325
1739209735.260353;-45.120503652039325
1739209735.2603567;-38.13080360867914
1739209735.2603605;-38.13080360867914
1739209735.260364;-45.120503652039325
1739209735.2603676;-38.13080360867914
1739209735.2603714;-33.981070128970906
1739209735.260375;-38.13080360867914
1739209735.2603788;-38.13080360867914
1739209735.2603824;-38.13080360867914
1739209735.260386;-38.13080360867914
1739209735.2603898;-38.13080360867914
1739209735.2603934;-38.13080360867914
1739209735.260397;-45.120503652039325
1739209735.2604008;-45.120503652039325
1739209735.2604043;-32.816014438256545
1739209735.2604082;-45.120503652039325
1739209735.2604117;-45.120503652039325
1739209735.2604153;-32.816014438256545
1739209735.2604191;-35.57807855764607
1739209735.2604227;-38.13080360867914
1739209735.2604265;-35.57807855764607
1739209735.26043;-38.13080360867914
1739209735.2604337;-33.981070128970906
1739209735.2604375;-38.13080360867914
1739209735.260441;-38.13080360867914
1739209735.2604446;-45.120503652039325
1739209735.2604485;-38.13080360867914
1739209735.260452;-38.13080360867914
1739209735.2604558;-45.120503652039325
1739209735.2604594;-38.13080360867914
1739209735.260463;-38.13080360867914
1739209735.2604668;-45.120503652039325
1739209735.2604704;-45.120503652039325
1739209735.260474;-38.13080360867914
1739209735.2604778;-38.13080360867914
1739209735.2604814;-38.13080360867914
1739209735.2604852;-45.120503652039325
1739209735.2604887;-45.120503652039325
1739209735.2604923;-45.120503652039325
1739209735.2604961;-38.13080360867914
1739209735.2604997;-45.120503652039325
1739209735.2605033;-38.13080360867914
1739209735.260507;-38.13080360867914
1739209735.2605107;-45.120503652039325
1739209735.2605145;-38.13080360867914
1739209735.260518;-33.981070128970906
1739209735.2605217;-38.13080360867914
1739209735.2605255;-38.13080360867914
1739209735.260529;-45.120503652039325
1739209735.2605329;-38.13080360867914
1739209735.2605364;-45.120503652039325
1739209735.26054;-45.120503652039325
1739209735.2605438;-45.120503652039325
1739209735.2605474;-45.120503652039325
1739209735.260551;-38.13080360867914
1739209735.2605548;-38.13080360867914
1739209735.2605584;-45.120503652039325
1739209735.2605622;-45.120503652039325
1739209735.2605658;-38.13080360867914
1739209735.2605693;-38.13080360867914
1739209735.2605731;-38.13080360867914
1739209735.2605767;-38.13080360867914
1739209735.2605803;-38.13080360867914
1739209735.260584;-38.13080360867914
1739209735.2605877;-38.13080360867914
1739209735.2605915;-33.981070128970906
1739209735.260595;-45.120503652039325
1739209735.2605987;-38.13080360867914
1739209735.2606025;-38.13080360867914
1739209735.260606;-45.120503652039325
1739209735.2606099;-38.13080360867914
1739209735.2606134;-38.13080360867914
1739209735.260617;-38.13080360867914
1739209735.2606208;-38.13080360867914
1739209735.2606244;-45.120503652039325
1739209735.260628;-45.120503652039325
1739209735.2606318;-45.120503652039325
1739209735.2606354;-45.120503652039325
1739209735.2606392;-45.120503652039325
1739209735.2606428;-35.57807855764607
1739209735.2606463;-35.57807855764607
1739209735.2606502;-45.120503652039325
1739209735.2606537;-38.13080360867914
1739209735.2606573;-38.13080360867914
1739209735.2606611;-35.57807855764607
1739209735.2606647;-31.141103565318915
1739209735.2606685;-38.13080360867914
1739209735.260672;-45.120503652039325
1739209735.2606757;-38.13080360867914
1739209735.2606795;-38.13080360867914
1739209735.260683;-45.120503652039325
1739209735.2606866;-45.120503652039325
1739209735.2606905;-45.120503652039325
1739209735.260694;-32.81601443825658
1739209735.2606978;-45.120503652039325
1739209735.2607014;-38.13080360867914
1739209735.260705;-35.57807855764607
1739209735.2607088;-38.13080360867914
1739209735.2607124;-38.13080360867914
1739209735.2607162;-38.13080360867914
1739209735.2607198;-45.120503652039325
1739209735.2607234;-31.141103565318915
1739209735.2607272;-38.13080360867914
1739209735.2607307;-38.13080360867914
1739209735.2607343;-38.13080360867914
