CAN Message; 0x1bb:0000b0ac705d55db
Timestamp;Amplitude
1739209635.7721987;-38.13080360867914
1739209635.7722094;-38.13080360867914
1739209635.7722204;-38.13080360867914
1739209635.7722313;-38.13080360867914
1739209635.7722423;-45.120503652039325
1739209635.772253;-45.120503652039325
1739209635.772264;-45.120503652039325
1739209635.772275;-45.120503652039325
1739209635.7722857;-38.13080360867914
1739209635.7722967;-38.13080360867914
1739209635.7723076;-45.120503652039325
1739209635.7723186;-45.120503652039325
1739209635.7723293;-38.13080360867914
1739209635.7723403;-35.57807855764607
1739209635.7723513;-38.13080360867914
1739209635.7723622;-45.120503652039325
1739209635.772373;-45.120503652039325
1739209635.772384;-45.120503652039325
1739209635.772395;-33.981070128970906
1739209635.7724056;-45.120503652039325
1739209635.7724166;-45.120503652039325
1739209635.7724276;-33.981070128970906
1739209635.7724385;-31.141103565318915
1739209635.7724493;-38.13080360867914
1739209635.7724602;-38.13080360867914
1739209635.7724712;-35.57807855764607
1739209635.772482;-38.13080360867914
1739209635.772493;-45.120503652039325
1739209635.7725039;-45.120503652039325
1739209635.7725148;-45.120503652039325
1739209635.7725255;-31.141103565318915
1739209635.7725365;-38.13080360867914
1739209635.7725475;-45.120503652039325
1739209635.7725585;-38.13080360867914
1739209635.7725692;-38.13080360867914
1739209635.7725801;-45.120503652039325
1739209635.772591;-45.120503652039325
1739209635.7726018;-33.981070128970906
1739209635.7726128;-33.981070128970906
1739209635.7726238;-45.120503652039325
1739209635.7726347;-45.120503652039325
1739209635.7726455;-45.120503652039325
1739209635.7726564;-33.981070128970906
1739209635.7726674;-45.120503652039325
1739209635.7726781;-45.120503652039325
1739209635.772689;-35.57807855764607
1739209635.7727;-38.13080360867914
1739209635.772711;-38.13080360867914
1739209635.7727218;-38.13080360867914
1739209635.7727327;-45.120503652039325
1739209635.7727437;-45.120503652039325
1739209635.7727547;-38.13080360867914
1739209635.7727654;-35.57807855764607
1739209635.7727764;-38.13080360867914
1739209635.7727873;-31.141103565318915
1739209635.772798;-31.141103565318915
1739209635.772809;-38.13080360867914
