CAN Message; 0x98:0000bac5a14e4bd1
Timestamp;Amplitude
1739209747.363029;-38.13080360867914
1739209747.363037;-45.120503652039325
1739209747.363045;-38.13080360867914
1739209747.363053;-45.120503652039325
1739209747.3630612;-38.13080360867914
1739209747.3630693;-35.57807855764607
1739209747.3630774;-38.13080360867914
1739209747.3630855;-45.120503652039325
1739209747.3630934;-38.13080360867914
1739209747.3631015;-35.57807855764607
1739209747.3631096;-45.120503652039325
1739209747.3631177;-30.49652367304973
1739209747.3631258;-31.141103565318893
1739209747.363134;-45.120503652039325
1739209747.3631418;-45.120503652039325
1739209747.36315;-35.57807855764607
1739209747.363158;-38.13080360867914
1739209747.363166;-45.120503652039325
1739209747.3631742;-38.13080360867914
1739209747.363182;-45.120503652039325
1739209747.3631902;-45.120503652039325
1739209747.3631983;-45.120503652039325
1739209747.3632064;-45.120503652039325
1739209747.3632145;-45.120503652039325
1739209747.3632226;-38.13080360867914
1739209747.3632305;-33.981070128970906
1739209747.3632386;-45.120503652039325
1739209747.3632467;-32.816014438256545
1739209747.3632548;-32.816014438256545
1739209747.363263;-45.120503652039325
1739209747.363271;-45.120503652039325
1739209747.3632789;-45.120503652039325
1739209747.363287;-45.120503652039325
1739209747.363295;-45.120503652039325
1739209747.3633032;-38.13080360867914
1739209747.3633113;-38.13080360867914
1739209747.3633192;-45.120503652039325
1739209747.3633273;-31.141103565318915
1739209747.3633354;-38.13080360867914
1739209747.3633435;-38.13080360867914
1739209747.3633516;-38.13080360867914
1739209747.3633597;-33.981070128970906
1739209747.3633676;-38.13080360867914
1739209747.3633757;-45.120503652039325
1739209747.3633838;-45.120503652039325
1739209747.3633919;-38.13080360867914
1739209747.3634;-32.816014438256545
1739209747.363408;-45.120503652039325
1739209747.363416;-45.120503652039325
1739209747.363424;-35.57807855764607
1739209747.3634322;-38.13080360867914
1739209747.3634403;-45.120503652039325
1739209747.3634484;-45.120503652039325
1739209747.3634562;-38.13080360867914
1739209747.3634644;-38.13080360867914
1739209747.3634725;-38.13080360867914
1739209747.3634806;-32.816014438256545
1739209747.3634887;-35.57807855764607
1739209747.3634968;-35.57807855764607
1739209747.3635046;-38.13080360867914
1739209747.3635128;-45.120503652039325
1739209747.3635209;-45.120503652039325
1739209747.363529;-38.13080360867914
1739209747.363537;-45.120503652039325
1739209747.3635452;-45.120503652039325
1739209747.363553;-38.13080360867914
1739209747.3635612;-45.120503652039325
1739209747.3635693;-38.13080360867914
1739209747.3635774;-32.816014438256545
1739209747.3635855;-33.981070128970906
1739209747.3635933;-38.13080360867914
1739209747.3636014;-38.13080360867914
1739209747.3636096;-38.13080360867914
1739209747.3636177;-45.120503652039325
1739209747.3636258;-38.13080360867914
1739209747.3636339;-38.13080360867914
1739209747.3636417;-45.120503652039325
1739209747.3636498;-45.120503652039325
1739209747.363658;-38.13080360867914
1739209747.363666;-38.13080360867914
1739209747.3636742;-45.120503652039325
1739209747.3636823;-45.120503652039325
1739209747.3636901;-45.120503652039325
1739209747.3636982;-38.13080360867914
1739209747.3637064;-38.13080360867914
1739209747.3637145;-38.13080360867914
1739209747.3637226;-35.57807855764607
1739209747.3637304;-38.13080360867914
1739209747.3637385;-38.13080360867914
1739209747.3637466;-38.13080360867914
1739209747.3637547;-45.120503652039325
1739209747.3637629;-45.120503652039325
1739209747.363771;-33.981070128970906
1739209747.3637788;-45.120503652039325
1739209747.363787;-38.13080360867914
1739209747.363795;-38.13080360867914
1739209747.3638031;-33.981070128970906
1739209747.3638113;-33.981070128970906
1739209747.3638194;-38.13080360867914
1739209747.3638272;-38.13080360867914
1739209747.3638353;-45.120503652039325
1739209747.3638434;-45.120503652039325
1739209747.3638515;-38.13080360867914
1739209747.3638597;-45.120503652039325
1739209747.3638675;-45.120503652039325
1739209747.3638756;-38.13080360867914
1739209747.3638837;-32.816014438256545
1739209747.3638918;-45.120503652039325
1739209747.3639;-45.120503652039325
1739209747.363908;-33.981070128970906
1739209747.363916;-45.120503652039325
1739209747.363924;-45.120503652039325
1739209747.3639321;-38.13080360867914
1739209747.3639402;-45.120503652039325
1739209747.3639483;-38.13080360867914
