CAN Message; 0x1a7:0000799348836c96
Timestamp;Amplitude
1739209739.3569589;-45.120503652039325
1739209739.3569648;-45.120503652039325
1739209739.3569708;-38.13080360867914
1739209739.356977;-45.120503652039325
1739209739.356983;-45.120503652039325
1739209739.356989;-33.981070128970906
1739209739.3569949;-45.120503652039325
1739209739.3570008;-45.120503652039325
1739209739.3570068;-35.57807855764607
1739209739.3570127;-45.120503652039325
1739209739.3570187;-45.120503652039325
1739209739.3570247;-45.120503652039325
1739209739.3570309;-45.120503652039325
1739209739.3570368;-45.120503652039325
1739209739.3570428;-38.13080360867914
1739209739.3570487;-45.120503652039325
1739209739.3570547;-45.120503652039325
1739209739.3570607;-45.120503652039325
1739209739.3570666;-45.120503652039325
1739209739.3570728;-38.13080360867914
1739209739.3570788;-38.13080360867914
1739209739.3570848;-38.13080360867914
1739209739.3570907;-38.13080360867914
1739209739.3570967;-38.13080360867914
1739209739.3571026;-38.13080360867914
1739209739.3571086;-38.13080360867914
1739209739.3571146;-45.120503652039325
1739209739.3571205;-45.120503652039325
1739209739.3571267;-38.13080360867914
1739209739.3571327;-38.13080360867914
1739209739.3571386;-45.120503652039325
1739209739.3571446;-38.13080360867914
1739209739.3571506;-45.120503652039325
1739209739.3571565;-45.120503652039325
1739209739.3571625;-45.120503652039325
1739209739.3571687;-45.120503652039325
1739209739.3571746;-45.120503652039325
1739209739.3571806;-45.120503652039325
1739209739.3571866;-35.57807855764607
1739209739.3571925;-45.120503652039325
1739209739.3571985;-45.120503652039325
1739209739.3572044;-33.981070128970906
1739209739.3572104;-45.120503652039325
1739209739.3572164;-45.120503652039325
1739209739.3572226;-45.120503652039325
1739209739.3572285;-45.120503652039325
1739209739.3572345;-45.120503652039325
1739209739.3572404;-45.120503652039325
1739209739.3572464;-38.13080360867914
1739209739.3572524;-45.120503652039325
1739209739.3572583;-38.13080360867914
1739209739.3572645;-45.120503652039325
1739209739.3572705;-45.120503652039325
1739209739.3572764;-45.120503652039325
1739209739.3572824;-32.816014438256545
1739209739.3572884;-35.57807855764607
1739209739.3572943;-45.120503652039325
1739209739.3573003;-45.120503652039325
1739209739.3573062;-45.120503652039325
1739209739.3573122;-45.120503652039325
1739209739.3573184;-45.120503652039325
1739209739.3573244;-33.981070128970906
1739209739.3573303;-45.120503652039325
1739209739.3573363;-45.120503652039325
1739209739.3573422;-45.120503652039325
1739209739.3573482;-38.13080360867914
1739209739.3573542;-38.13080360867914
1739209739.3573604;-45.120503652039325
1739209739.3573663;-38.13080360867914
1739209739.3573723;-45.120503652039325
1739209739.3573782;-30.49652367304973
1739209739.3573842;-30.49652367304973
1739209739.3573902;-45.120503652039325
1739209739.3573961;-45.120503652039325
1739209739.357402;-38.13080360867914
1739209739.357408;-35.57807855764607
1739209739.3574142;-45.120503652039325
1739209739.3574202;-38.13080360867914
1739209739.3574262;-45.120503652039325
1739209739.3574321;-45.120503652039325
1739209739.357438;-45.120503652039325
1739209739.357444;-45.120503652039325
1739209739.35745;-38.13080360867914
1739209739.3574562;-45.120503652039325
