CAN Message; 0x39:0f092be3e6b0245d
Timestamp;Amplitude
1739209675.7071183;-33.981070128970906
1739209675.7071257;-26.991370085610736
1739209675.7071328;-33.981070128970906
1739209675.70714;-45.120503652039325
1739209675.7071471;-45.120503652039325
1739209675.7071545;-38.13080360867914
1739209675.7071617;-33.981070128970906
1739209675.7071688;-45.120503652039325
1739209675.7071762;-38.13080360867914
1739209675.7071834;-45.120503652039325
1739209675.7071905;-45.120503652039325
1739209675.7071977;-45.120503652039325
1739209675.707205;-38.13080360867914
1739209675.7072122;-38.13080360867914
1739209675.7072194;-45.120503652039325
1739209675.7072268;-45.120503652039325
1739209675.707234;-38.13080360867914
1739209675.707241;-28.21854285175415
1739209675.7072482;-30.49652367304973
1739209675.7072556;-45.120503652039325
1739209675.7072628;-38.13080360867914
1739209675.70727;-35.57807855764607
1739209675.7072773;-38.13080360867914
1739209675.7072845;-45.120503652039325
1739209675.7072916;-38.13080360867914
1739209675.7072988;-35.57807855764607
1739209675.7073061;-38.13080360867914
1739209675.7073133;-45.120503652039325
1739209675.7073205;-45.120503652039325
1739209675.7073276;-45.120503652039325
1739209675.707335;-38.13080360867914
1739209675.7073421;-45.120503652039325
1739209675.7073493;-38.13080360867914
1739209675.7073567;-38.13080360867914
1739209675.7073638;-45.120503652039325
1739209675.707371;-45.120503652039325
1739209675.7073781;-38.13080360867914
1739209675.7073855;-45.120503652039325
1739209675.7073927;-38.13080360867914
1739209675.7073998;-38.13080360867914
1739209675.7074072;-45.120503652039325
1739209675.7074144;-30.49652367304973
1739209675.7074215;-30.49652367304973
1739209675.7074287;-45.120503652039325
1739209675.707436;-45.120503652039325
1739209675.7074432;-32.816014438256545
1739209675.7074504;-38.13080360867914
1739209675.7074578;-45.120503652039325
1739209675.707465;-33.981070128970906
1739209675.707472;-45.120503652039325
1739209675.7074792;-35.57807855764607
1739209675.7074866;-38.13080360867914
1739209675.7074938;-45.120503652039325
1739209675.707501;-45.120503652039325
1739209675.7075083;-45.120503652039325
1739209675.7075155;-45.120503652039325
1739209675.7075226;-45.120503652039325
1739209675.7075298;-38.13080360867914
1739209675.7075372;-33.981070128970906
1739209675.7075443;-35.57807855764607
1739209675.7075515;-38.13080360867914
1739209675.7075589;-38.13080360867914
1739209675.707566;-33.981070128970906
1739209675.7075732;-33.981070128970906
1739209675.7075803;-38.13080360867914
1739209675.7075877;-45.120503652039325
1739209675.7075949;-38.13080360867914
1739209675.707602;-32.816014438256545
1739209675.7076094;-38.13080360867914
1739209675.7076166;-45.120503652039325
1739209675.7076237;-38.13080360867914
1739209675.7076309;-33.981070128970906
