CAN Message; 0x62:09476254281ee0eb
Timestamp;Amplitude
1739209622.5033193;-35.57807855764607
1739209622.5033276;-45.120503652039325
1739209622.5033362;-38.13080360867914
1739209622.5033445;-38.13080360867914
1739209622.503353;-45.120503652039325
1739209622.5033615;-45.120503652039325
1739209622.50337;-38.13080360867914
1739209622.5033784;-38.13080360867914
1739209622.503387;-38.13080360867914
1739209622.5033956;-38.13080360867914
1739209622.503404;-38.13080360867914
1739209622.5034125;-45.120503652039325
1739209622.5034208;-45.120503652039325
1739209622.5034294;-45.120503652039325
1739209622.5034378;-38.13080360867914
1739209622.5034463;-33.981070128970906
1739209622.5034547;-38.13080360867914
1739209622.5034633;-45.120503652039325
1739209622.5034719;-45.120503652039325
1739209622.5034802;-38.13080360867914
1739209622.5034888;-38.13080360867914
1739209622.5034971;-45.120503652039325
1739209622.5035057;-38.13080360867914
1739209622.503514;-26.991370085610722
1739209622.5035226;-35.57807855764607
1739209622.503531;-38.13080360867914
1739209622.5035396;-38.13080360867914
1739209622.5035481;-38.13080360867914
1739209622.5035565;-45.120503652039325
1739209622.503565;-45.120503652039325
1739209622.5035734;-38.13080360867914
1739209622.503582;-31.14110356531892
1739209622.5035903;-38.13080360867914
1739209622.503599;-38.13080360867914
1739209622.5036073;-45.120503652039325
1739209622.5036159;-38.13080360867914
1739209622.5036244;-35.57807855764607
1739209622.5036328;-38.13080360867914
1739209622.5036414;-38.13080360867914
1739209622.5036497;-28.992665084841942
1739209622.5036583;-38.13080360867914
1739209622.5036666;-45.120503652039325
1739209622.5036752;-38.13080360867914
1739209622.5036836;-33.981070128970906
1739209622.5036922;-38.13080360867914
1739209622.5037007;-45.120503652039325
1739209622.503709;-45.120503652039325
1739209622.5037177;-45.120503652039325
1739209622.503726;-45.120503652039325
1739209622.5037346;-45.120503652039325
1739209622.503743;-45.120503652039325
1739209622.5037515;-45.120503652039325
1739209622.5037599;-38.13080360867914
1739209622.5037684;-45.120503652039325
1739209622.503777;-45.120503652039325
1739209622.5037854;-33.981070128970906
1739209622.503794;-31.141103565318893
1739209622.5038023;-38.13080360867914
1739209622.503811;-35.57807855764607
1739209622.5038192;-38.13080360867914
1739209622.5038278;-45.120503652039325
1739209622.5038362;-45.120503652039325
1739209622.5038447;-45.120503652039325
1739209622.5038533;-32.816014438256545
1739209622.5038617;-38.13080360867914
1739209622.5038702;-45.120503652039325
1739209622.5038786;-45.120503652039325
1739209622.5038872;-38.13080360867914
1739209622.5038955;-38.13080360867914
1739209622.503904;-45.120503652039325
1739209622.5039124;-45.120503652039325
1739209622.503921;-38.13080360867914
1739209622.5039294;-45.120503652039325
1739209622.503938;-38.13080360867914
1739209622.5039465;-38.13080360867914
1739209622.503955;-38.13080360867914
1739209622.5039635;-38.13080360867914
1739209622.5039718;-45.120503652039325
1739209622.5039804;-45.120503652039325
1739209622.5039887;-26.991370085610722
1739209622.5039973;-30.49652367304973
1739209622.5040057;-45.120503652039325
1739209622.5040143;-38.13080360867914
1739209622.5040228;-32.816014438256545
1739209622.5040312;-38.13080360867914
1739209622.5040398;-38.13080360867914
1739209622.504048;-35.57807855764607
1739209622.5040567;-45.120503652039325
1739209622.504065;-38.13080360867914
1739209622.5040736;-38.13080360867914
1739209622.504082;-45.120503652039325
1739209622.5040905;-45.120503652039325
1739209622.5040991;-45.120503652039325
1739209622.5041075;-33.981070128970906
1739209622.504116;-45.120503652039325
1739209622.5041244;-32.816014438256545
1739209622.504133;-27.8777449560314
1739209622.5041413;-45.120503652039325
1739209622.50415;-38.13080360867914
1739209622.5041583;-38.13080360867914
1739209622.5041668;-38.13080360867914
1739209622.5041754;-45.120503652039325
1739209622.5041838;-32.816014438256545
1739209622.5041924;-38.13080360867914
1739209622.5042007;-38.13080360867914
1739209622.5042093;-38.13080360867914
1739209622.5042176;-38.13080360867914
1739209622.5042262;-45.120503652039325
1739209622.5042346;-45.120503652039325
1739209622.5042431;-38.13080360867914
1739209622.5042517;-35.57807855764607
1739209622.50426;-32.816014438256545
1739209622.5042686;-29.438486411369333
1739209622.504277;-38.13080360867914
1739209622.5042856;-35.57807855764607
1739209622.504294;-33.981070128970906
1739209622.5043025;-33.981070128970906
1739209622.5043108;-45.120503652039325
1739209622.5043194;-33.981070128970906
1739209622.504328;-45.120503652039325
1739209622.5043364;-33.981070128970956
1739209622.504345;-33.981070128970906
1739209622.5043533;-38.13080360867914
1739209622.5043619;-45.120503652039325
1739209622.5043702;-38.13080360867914
1739209622.5043788;-45.120503652039325
1739209622.5043871;-38.13080360867914
1739209622.5043957;-35.57807855764607
1739209622.5044043;-35.57807855764607
1739209622.5044127;-38.13080360867914
1739209622.5044212;-38.13080360867914
1739209622.5044296;-45.120503652039325
1739209622.5044382;-45.120503652039325
1739209622.5044465;-38.13080360867914
1739209622.504455;-38.13080360867914
1739209622.5044634;-45.120503652039325
1739209622.504472;-45.120503652039325
1739209622.5044806;-38.13080360867914
1739209622.504489;-45.120503652039325
1739209622.5044975;-45.120503652039325
1739209622.5045059;-45.120503652039325
