CAN Message; 0x150:060063a2d98d0c49
Timestamp;Amplitude
1739209792.3187294;-45.120503652039325
1739209792.3187313;-38.13080360867914
1739209792.318733;-38.13080360867914
1739209792.318735;-38.13080360867914
1739209792.3187366;-45.120503652039325
1739209792.3187385;-31.141103565318893
1739209792.3187401;-28.58837851428586
1739209792.3187418;-45.120503652039325
1739209792.3187437;-38.13080360867914
1739209792.3187454;-32.816014438256545
1739209792.3187473;-35.57807855764607
1739209792.318749;-45.120503652039325
1739209792.3187506;-35.57807855764607
1739209792.3187525;-38.13080360867914
1739209792.3187542;-38.13080360867914
1739209792.318756;-38.13080360867914
1739209792.3187578;-38.13080360867914
1739209792.3187597;-45.120503652039325
1739209792.3187613;-45.120503652039325
1739209792.318763;-38.13080360867914
1739209792.318765;-38.13080360867914
1739209792.3187666;-35.57807855764607
1739209792.3187685;-32.816014438256545
1739209792.3187702;-45.120503652039325
1739209792.3187718;-45.120503652039325
1739209792.3187737;-45.120503652039325
1739209792.3187754;-45.120503652039325
1739209792.3187773;-38.13080360867914
1739209792.318779;-38.13080360867914
1739209792.318781;-45.120503652039325
1739209792.3187826;-38.13080360867914
1739209792.3187842;-45.120503652039325
1739209792.3187861;-45.120503652039325
1739209792.3187878;-45.120503652039325
1739209792.3187897;-38.13080360867914
1739209792.3187914;-38.13080360867914
1739209792.3187933;-38.13080360867914
1739209792.318795;-45.120503652039325
1739209792.3187966;-38.13080360867914
1739209792.3187985;-38.13080360867914
1739209792.3188002;-38.13080360867914
1739209792.318802;-45.120503652039325
1739209792.3188038;-45.120503652039325
1739209792.3188055;-38.13080360867914
1739209792.3188074;-45.120503652039325
1739209792.318809;-38.13080360867914
1739209792.318811;-32.816014438256545
1739209792.3188126;-45.120503652039325
1739209792.3188145;-45.120503652039325
1739209792.3188162;-45.120503652039325
1739209792.3188179;-38.13080360867914
1739209792.3188198;-38.13080360867914
1739209792.3188214;-31.141103565318915
1739209792.3188233;-38.13080360867914
1739209792.318825;-45.120503652039325
1739209792.318827;-35.57807855764607
