CAN Message; 0x24:000090fb34303018
Timestamp;Amplitude
1739209838.36525;-45.120503652039325
1739209838.3652532;-38.13080360867914
1739209838.3652565;-38.13080360867914
1739209838.3652596;-35.57807855764607
1739209838.3652627;-28.992665084841942
1739209838.3652658;-35.57807855764607
1739209838.3652692;-45.120503652039325
1739209838.3652723;-45.120503652039325
1739209838.3652754;-45.120503652039325
1739209838.3652785;-45.120503652039325
1739209838.3652818;-38.13080360867914
1739209838.365285;-45.120503652039325
1739209838.365288;-38.13080360867914
1739209838.365291;-38.13080360867914
1739209838.3652945;-45.120503652039325
1739209838.3652976;-38.13080360867914
1739209838.3653007;-45.120503652039325
1739209838.3653038;-38.13080360867914
1739209838.365307;-38.13080360867914
1739209838.3653102;-35.57807855764607
1739209838.3653133;-45.120503652039325
1739209838.3653164;-38.13080360867914
1739209838.3653197;-38.13080360867914
1739209838.3653228;-35.57807855764607
1739209838.365326;-35.57807855764607
1739209838.365329;-45.120503652039325
1739209838.3653321;-45.120503652039325
1739209838.3653355;-45.120503652039325
1739209838.3653386;-33.981070128970906
1739209838.3653417;-38.13080360867914
1739209838.3653448;-38.13080360867914
1739209838.365348;-38.13080360867914
1739209838.3653512;-33.981070128970906
1739209838.3653543;-45.120503652039325
1739209838.3653574;-38.13080360867914
1739209838.3653607;-38.13080360867914
1739209838.3653638;-30.49652367304973
1739209838.365367;-38.13080360867914
1739209838.36537;-45.120503652039325
1739209838.3653734;-38.13080360867914
1739209838.3653765;-38.13080360867914
1739209838.3653796;-45.120503652039325
1739209838.3653827;-38.13080360867914
1739209838.365386;-33.981070128970906
1739209838.365389;-28.58837851428586
1739209838.3653922;-38.13080360867914
1739209838.3653953;-38.13080360867914
1739209838.3653984;-45.120503652039325
1739209838.3654017;-38.13080360867914
1739209838.3654048;-45.120503652039325
1739209838.365408;-45.120503652039325
1739209838.365411;-38.13080360867914
1739209838.3654144;-33.981070128970906
1739209838.3654175;-33.981070128970906
1739209838.3654206;-38.13080360867914
1739209838.3654237;-38.13080360867914
1739209838.365427;-45.120503652039325
1739209838.36543;-45.120503652039325
1739209838.3654332;-45.120503652039325
1739209838.3654363;-38.13080360867914
1739209838.3654397;-38.13080360867914
1739209838.3654428;-38.13080360867914
1739209838.3654459;-38.13080360867914
1739209838.365449;-38.13080360867914
1739209838.3654523;-35.57807855764607
1739209838.3654554;-45.120503652039325
1739209838.3654585;-45.120503652039325
1739209838.3654616;-38.13080360867914
1739209838.365465;-45.120503652039325
1739209838.365468;-45.120503652039325
1739209838.3654711;-45.120503652039325
1739209838.3654742;-45.120503652039325
1739209838.3654773;-45.120503652039325
1739209838.3654807;-35.57807855764607
1739209838.3654838;-45.120503652039325
1739209838.3654869;-38.13080360867914
1739209838.36549;-38.13080360867914
1739209838.3654933;-45.120503652039325
1739209838.3654964;-38.13080360867914
1739209838.3654995;-45.120503652039325
1739209838.3655026;-33.981070128970906
1739209838.365506;-45.120503652039325
1739209838.365509;-38.13080360867914
1739209838.3655121;-38.13080360867914
1739209838.3655152;-38.13080360867914
1739209838.3655186;-38.13080360867914
1739209838.3655217;-38.13080360867914
1739209838.3655248;-45.120503652039325
1739209838.3655279;-45.120503652039325
1739209838.3655312;-38.13080360867914
1739209838.3655343;-45.120503652039325
1739209838.3655374;-45.120503652039325
1739209838.3655405;-45.120503652039325
1739209838.3655436;-35.57807855764607
1739209838.365547;-38.13080360867914
1739209838.36555;-45.120503652039325
1739209838.3655531;-38.13080360867914
1739209838.3655562;-38.13080360867914
1739209838.3655596;-45.120503652039325
1739209838.3655627;-45.120503652039325
1739209838.3655658;-38.13080360867914
1739209838.3655689;-38.13080360867914
1739209838.3655722;-38.13080360867914
1739209838.3655753;-45.120503652039325
1739209838.3655784;-45.120503652039325
1739209838.3655815;-38.13080360867914
1739209838.3655849;-35.57807855764607
1739209838.365588;-45.120503652039325
1739209838.365591;-38.13080360867914
1739209838.3655941;-38.13080360867914
1739209838.3655975;-45.120503652039325
1739209838.3656006;-38.13080360867914
1739209838.3656037;-35.57807855764607
1739209838.3656068;-38.13080360867914
1739209838.3656101;-45.120503652039325
1739209838.3656132;-30.49652367304973
1739209838.3656163;-45.120503652039325
1739209838.3656194;-45.120503652039325
1739209838.3656225;-38.13080360867914
1739209838.3656259;-45.120503652039325
1739209838.365629;-45.120503652039325
1739209838.365632;-38.13080360867914
1739209838.3656352;-38.13080360867914
1739209838.3656385;-45.120503652039325
1739209838.3656416;-38.13080360867914
1739209838.3656447;-45.120503652039325
1739209838.3656478;-38.13080360867914
1739209838.3656511;-38.13080360867914
1739209838.3656542;-38.13080360867914
1739209838.3656573;-45.120503652039325
1739209838.3656604;-45.120503652039325
1739209838.3656638;-38.13080360867914
1739209838.3656669;-38.13080360867914
1739209838.36567;-45.120503652039325
1739209838.365673;-38.13080360867914
1739209838.3656764;-38.13080360867914
1739209838.3656795;-38.13080360867914
1739209838.3656826;-45.120503652039325
1739209838.3656857;-38.13080360867914
1739209838.3656888;-35.57807855764607
1739209838.3656921;-45.120503652039325
1739209838.3656952;-38.13080360867914
1739209838.3656983;-33.981070128970906
1739209838.3657014;-45.120503652039325
1739209838.3657048;-38.13080360867914
1739209838.3657079;-45.120503652039325
1739209838.365711;-45.120503652039325
1739209838.365714;-45.120503652039325
1739209838.3657174;-38.13080360867914
1739209838.3657205;-45.120503652039325
1739209838.3657236;-45.120503652039325
1739209838.3657267;-35.57807855764607
1739209838.36573;-38.13080360867914
1739209838.3657331;-31.141103565318893
1739209838.3657362;-38.13080360867914
1739209838.3657393;-45.120503652039325
1739209838.3657427;-45.120503652039325
1739209838.3657458;-38.13080360867914
1739209838.365749;-33.981070128970906
1739209838.365752;-45.120503652039325
1739209838.3657553;-45.120503652039325
1739209838.3657584;-38.13080360867914
1739209838.3657615;-35.57807855764607
1739209838.3657646;-45.120503652039325
1739209838.3657677;-45.120503652039325
1739209838.365771;-38.13080360867914
1739209838.3657742;-45.120503652039325
1739209838.3657773;-45.120503652039325
1739209838.3657804;-45.120503652039325
1739209838.3657837;-38.13080360867914
1739209838.3657868;-45.120503652039325
1739209838.36579;-38.13080360867914
1739209838.365793;-38.13080360867914
1739209838.3657963;-38.13080360867914
1739209838.3657994;-35.57807855764607
1739209838.3658025;-38.13080360867914
1739209838.3658056;-45.120503652039325
1739209838.365809;-38.13080360867914
1739209838.365812;-38.13080360867914
1739209838.3658152;-45.120503652039325
1739209838.3658183;-38.13080360867914
1739209838.3658216;-38.13080360867914
1739209838.3658247;-31.141103565318915
1739209838.3658278;-35.57807855764607
1739209838.365831;-38.13080360867914
1739209838.3658342;-38.13080360867914
1739209838.3658373;-45.120503652039325
1739209838.3658404;-38.13080360867914
1739209838.3658435;-38.13080360867914
