CAN Message; 0x1bb:000044b7dc8a8ec9
Timestamp;Amplitude
1739209623.1193879;-45.120503652039325
1739209623.1193936;-45.120503652039325
1739209623.1193995;-45.120503652039325
1739209623.1194055;-32.816014438256545
1739209623.1194112;-35.57807855764607
1739209623.1194172;-38.13080360867914
1739209623.1194232;-45.120503652039325
1739209623.1194289;-38.13080360867914
1739209623.1194348;-33.981070128970906
1739209623.1194408;-45.120503652039325
1739209623.1194465;-45.120503652039325
1739209623.1194525;-45.120503652039325
1739209623.1194584;-45.120503652039325
1739209623.1194642;-45.120503652039325
1739209623.1194701;-45.120503652039325
1739209623.1194758;-38.13080360867914
1739209623.1194818;-33.981070128970906
1739209623.1194878;-45.120503652039325
1739209623.1194935;-45.120503652039325
1739209623.1194994;-35.57807855764607
1739209623.1195054;-38.13080360867914
1739209623.1195111;-45.120503652039325
1739209623.119517;-45.120503652039325
1739209623.119523;-32.816014438256545
1739209623.1195288;-32.816014438256545
1739209623.1195347;-45.120503652039325
1739209623.1195407;-45.120503652039325
1739209623.1195464;-45.120503652039325
1739209623.1195524;-45.120503652039325
1739209623.1195583;-45.120503652039325
1739209623.119564;-38.13080360867914
1739209623.11957;-38.13080360867914
1739209623.119576;-45.120503652039325
1739209623.1195817;-38.13080360867914
1739209623.1195877;-45.120503652039325
1739209623.1195936;-38.13080360867914
1739209623.1195993;-32.816014438256545
1739209623.1196053;-45.120503652039325
1739209623.1196113;-45.120503652039325
1739209623.119617;-30.49652367304973
1739209623.119623;-32.816014438256545
1739209623.1196287;-45.120503652039325
1739209623.1196346;-45.120503652039325
1739209623.1196406;-31.141103565318893
1739209623.1196463;-28.58837851428586
1739209623.1196523;-45.120503652039325
1739209623.1196582;-45.120503652039325
1739209623.119664;-45.120503652039325
1739209623.11967;-38.13080360867914
1739209623.1196759;-45.120503652039325
1739209623.1196816;-45.120503652039325
1739209623.1196876;-45.120503652039325
1739209623.1196935;-38.13080360867914
1739209623.1196992;-45.120503652039325
1739209623.1197052;-45.120503652039325
1739209623.1197112;-31.141103565318915
1739209623.119717;-45.120503652039325
1739209623.1197228;-38.13080360867914
1739209623.1197288;-45.120503652039325
1739209623.1197345;-29.438486411369333
1739209623.1197405;-27.8777449560314
1739209623.1197464;-45.120503652039325
1739209623.1197522;-45.120503652039325
1739209623.1197581;-38.13080360867914
1739209623.119764;-35.57807855764607
1739209623.1197698;-45.120503652039325
1739209623.1197758;-38.13080360867914
1739209623.1197815;-38.13080360867914
1739209623.1197875;-45.120503652039325
1739209623.1197934;-35.57807855764607
1739209623.1197991;-38.13080360867914
1739209623.119805;-38.13080360867914
1739209623.119811;-45.120503652039325
1739209623.1198168;-38.13080360867914
1739209623.1198227;-38.13080360867914
1739209623.1198287;-32.816014438256545
1739209623.1198344;-38.13080360867914
1739209623.1198404;-45.120503652039325
1739209623.1198463;-45.120503652039325
1739209623.119852;-35.57807855764607
1739209623.119858;-38.13080360867914
1739209623.119864;-45.120503652039325
1739209623.1198697;-38.13080360867914
1739209623.1198757;-38.13080360867914
1739209623.1198816;-31.141103565318915
1739209623.1198874;-45.120503652039325
1739209623.1198933;-45.120503652039325
1739209623.1198993;-38.13080360867914
1739209623.119905;-38.13080360867914
1739209623.119911;-45.120503652039325
1739209623.119917;-45.120503652039325
