CAN Message; 0x1b8:0300bb3bb3dbfb7c
Timestamp;Amplitude
1739209605.7516084;-45.120503652039325
1739209605.751616;-45.120503652039325
1739209605.7516234;-38.13080360867914
1739209605.7516308;-45.120503652039325
1739209605.7516382;-45.120503652039325
1739209605.7516458;-38.13080360867914
1739209605.7516532;-38.13080360867914
1739209605.7516606;-45.120503652039325
1739209605.751668;-32.816014438256545
1739209605.7516756;-38.13080360867914
1739209605.751683;-45.120503652039325
1739209605.7516904;-38.13080360867914
1739209605.751698;-35.57807855764607
1739209605.7517054;-45.120503652039325
1739209605.7517128;-33.981070128970906
1739209605.7517202;-32.816014438256545
1739209605.7517278;-38.13080360867914
1739209605.7517352;-38.13080360867914
1739209605.7517426;-38.13080360867914
1739209605.75175;-45.120503652039325
1739209605.7517576;-38.13080360867914
1739209605.751765;-38.13080360867914
1739209605.7517724;-45.120503652039325
1739209605.75178;-45.120503652039325
1739209605.7517874;-38.13080360867914
1739209605.7517948;-38.13080360867914
1739209605.7518022;-45.120503652039325
1739209605.7518098;-38.13080360867914
1739209605.7518172;-45.120503652039325
1739209605.7518246;-45.120503652039325
1739209605.751832;-38.13080360867914
1739209605.7518396;-35.57807855764607
1739209605.751847;-38.13080360867914
1739209605.7518544;-38.13080360867914
1739209605.751862;-45.120503652039325
1739209605.7518694;-45.120503652039325
1739209605.7518768;-45.120503652039325
1739209605.7518842;-45.120503652039325
1739209605.7518919;-45.120503652039325
1739209605.7518992;-38.13080360867914
1739209605.7519066;-38.13080360867914
1739209605.751914;-45.120503652039325
1739209605.7519217;-45.120503652039325
1739209605.751929;-45.120503652039325
1739209605.7519364;-45.120503652039325
1739209605.751944;-38.13080360867914
1739209605.7519515;-35.57807855764607
1739209605.7519588;-35.57807855764607
1739209605.7519662;-45.120503652039325
1739209605.7519739;-45.120503652039325
1739209605.7519813;-35.57807855764607
1739209605.7519886;-33.981070128970906
1739209605.751996;-35.57807855764607
1739209605.7520037;-32.816014438256545
1739209605.752011;-45.120503652039325
1739209605.7520185;-38.13080360867914
1739209605.752026;-45.120503652039325
1739209605.7520335;-45.120503652039325
1739209605.7520409;-45.120503652039325
1739209605.7520483;-38.13080360867914
1739209605.752056;-38.13080360867914
1739209605.7520633;-45.120503652039325
1739209605.7520707;-38.13080360867914
1739209605.752078;-38.13080360867914
1739209605.7520857;-38.13080360867914
1739209605.752093;-38.13080360867914
1739209605.7521005;-45.120503652039325
1739209605.752108;-33.981070128970906
1739209605.7521155;-45.120503652039325
1739209605.7521229;-45.120503652039325
1739209605.7521303;-45.120503652039325
1739209605.752138;-38.13080360867914
