CAN Message; 0x1d3:00004a7dd52880ae
Timestamp;Amplitude
1739209591.2671525;-45.120503652039325
1739209591.2671688;-38.13080360867914
1739209591.2671847;-38.13080360867914
1739209591.267201;-38.13080360867914
1739209591.2672172;-32.816014438256545
1739209591.2672334;-45.120503652039325
1739209591.2672496;-45.120503652039325
1739209591.2672658;-38.13080360867914
1739209591.2672818;-38.13080360867914
1739209591.267298;-45.120503652039325
1739209591.2673142;-45.120503652039325
1739209591.2673304;-38.13080360867914
1739209591.2673466;-38.13080360867914
1739209591.2673628;-35.57807855764607
1739209591.2673788;-38.13080360867914
1739209591.267395;-38.13080360867914
1739209591.2674112;-45.120503652039325
1739209591.2674274;-35.57807855764607
1739209591.2674437;-35.57807855764607
1739209591.2674599;-45.120503652039325
1739209591.2674758;-45.120503652039325
1739209591.267492;-38.13080360867914
1739209591.2675083;-35.57807855764607
1739209591.2675245;-45.120503652039325
1739209591.2675407;-45.120503652039325
1739209591.267557;-45.120503652039325
1739209591.2675729;-45.120503652039325
1739209591.267589;-45.120503652039325
1739209591.2676053;-45.120503652039325
1739209591.2676215;-45.120503652039325
1739209591.2676377;-38.13080360867914
1739209591.267654;-45.120503652039325
1739209591.26767;-45.120503652039325
1739209591.2676861;-38.13080360867914
1739209591.2677023;-45.120503652039325
1739209591.2677186;-38.13080360867914
1739209591.2677348;-45.120503652039325
1739209591.267751;-35.57807855764607
1739209591.267767;-26.991370085610722
1739209591.2677832;-38.13080360867914
1739209591.2677994;-38.13080360867914
1739209591.2678156;-38.13080360867914
1739209591.2678318;-35.57807855764607
1739209591.267848;-33.981070128970906
1739209591.267864;-38.13080360867914
1739209591.2678802;-38.13080360867914
1739209591.2678964;-33.981070128970956
1739209591.2679126;-45.120503652039325
1739209591.2679288;-38.13080360867914
1739209591.267945;-45.120503652039325
1739209591.267961;-45.120503652039325
1739209591.2679772;-38.13080360867914
1739209591.2679935;-38.13080360867914
1739209591.2680097;-38.13080360867914
1739209591.2680259;-33.981070128970906
1739209591.268042;-35.57807855764607
1739209591.268058;-35.57807855764607
1739209591.2680743;-45.120503652039325
1739209591.2680905;-45.120503652039325
1739209591.2681067;-45.120503652039325
1739209591.268123;-38.13080360867914
1739209591.2681391;-38.13080360867914
1739209591.268155;-38.13080360867914
1739209591.2681713;-38.13080360867914
1739209591.2681875;-35.57807855764607
1739209591.2682037;-45.120503652039325
1739209591.26822;-38.13080360867914
1739209591.2682362;-33.981070128970906
1739209591.2682521;-38.13080360867914
1739209591.2682683;-38.13080360867914
1739209591.2682846;-45.120503652039325
1739209591.2683008;-45.120503652039325
1739209591.268317;-38.13080360867914
1739209591.268333;-38.13080360867914
1739209591.2683492;-45.120503652039325
1739209591.2683654;-38.13080360867914
1739209591.2683816;-38.13080360867914
1739209591.2683978;-38.13080360867914
1739209591.268414;-32.816014438256545
1739209591.26843;-35.57807855764607
1739209591.2684462;-32.816014438256545
1739209591.2684624;-38.13080360867914
1739209591.2684786;-38.13080360867914
1739209591.2684948;-31.141103565318915
1739209591.268511;-35.57807855764607
1739209591.268527;-38.13080360867914
1739209591.2685432;-45.120503652039325
1739209591.2685595;-45.120503652039325
1739209591.2685757;-38.13080360867914
1739209591.268592;-45.120503652039325
1739209591.268608;-38.13080360867914
1739209591.268624;-38.13080360867914
1739209591.2686403;-45.120503652039325
1739209591.2686565;-45.120503652039325
1739209591.2686727;-45.120503652039325
1739209591.268689;-45.120503652039325
1739209591.2687051;-45.120503652039325
1739209591.268721;-45.120503652039325
1739209591.2687373;-45.120503652039325
1739209591.2687535;-45.120503652039325
1739209591.2687697;-45.120503652039325
1739209591.268786;-45.120503652039325
1739209591.2688022;-45.120503652039325
1739209591.2688181;-38.13080360867914
1739209591.2688344;-35.57807855764607
1739209591.2688506;-45.120503652039325
1739209591.2688668;-45.120503652039325
1739209591.268883;-38.13080360867914
1739209591.2688992;-38.13080360867914
1739209591.2689152;-38.13080360867914
1739209591.2689314;-38.13080360867914
1739209591.2689476;-38.13080360867914
1739209591.2689638;-38.13080360867914
1739209591.26898;-35.57807855764607
1739209591.2689962;-35.57807855764607
1739209591.2690122;-38.13080360867914
1739209591.2690284;-38.13080360867914
1739209591.2690446;-38.13080360867914
1739209591.2690609;-38.13080360867914
1739209591.269077;-33.981070128970906
1739209591.2690933;-38.13080360867914
1739209591.2691092;-45.120503652039325
1739209591.2691255;-45.120503652039325
1739209591.2691417;-38.13080360867914
1739209591.269158;-45.120503652039325
1739209591.269174;-38.13080360867914
1739209591.2691903;-45.120503652039325
1739209591.2692063;-45.120503652039325
1739209591.2692225;-45.120503652039325
1739209591.2692387;-45.120503652039325
1739209591.269255;-45.120503652039325
1739209591.2692711;-45.120503652039325
1739209591.2692873;-38.13080360867914
1739209591.2693033;-38.13080360867914
1739209591.2693195;-45.120503652039325
1739209591.2693357;-30.49652367304973
1739209591.269352;-35.57807855764607
1739209591.2693682;-45.120503652039325
1739209591.2693844;-45.120503652039325
1739209591.2694004;-38.13080360867914
1739209591.2694166;-38.13080360867914
1739209591.2694328;-45.120503652039325
1739209591.269449;-45.120503652039325
1739209591.2694652;-45.120503652039325
1739209591.2694814;-45.120503652039325
1739209591.2694974;-35.57807855764607
1739209591.2695136;-35.57807855764607
1739209591.2695298;-45.120503652039325
1739209591.269546;-45.120503652039325
1739209591.2695622;-45.120503652039325
1739209591.2695782;-45.120503652039325
1739209591.2695944;-38.13080360867914
1739209591.2696106;-38.13080360867914
1739209591.2696269;-45.120503652039325
1739209591.269643;-45.120503652039325
1739209591.2696593;-33.981070128970906
1739209591.2696753;-38.13080360867914
1739209591.2696915;-38.13080360867914
1739209591.2697077;-45.120503652039325
1739209591.269724;-32.816014438256545
1739209591.26974;-35.57807855764607
1739209591.2697563;-38.13080360867914
1739209591.2697723;-45.120503652039325
1739209591.2697885;-38.13080360867914
1739209591.2698047;-45.120503652039325
1739209591.269821;-45.120503652039325
1739209591.2698371;-31.141103565318915
