CAN Message; 0x77:00d45f2734a1598c
Timestamp;Amplitude
1739209760.2742805;-31.141103565318893
1739209760.2742825;-38.13080360867914
1739209760.2742846;-45.120503652039325
1739209760.2742867;-33.981070128970906
1739209760.274289;-33.981070128970906
1739209760.2742908;-33.981070128970906
1739209760.274293;-45.120503652039325
1739209760.274295;-38.13080360867914
1739209760.2742972;-45.120503652039325
1739209760.2742991;-38.13080360867914
1739209760.2743013;-45.120503652039325
1739209760.2743034;-45.120503652039325
1739209760.2743056;-35.57807855764607
1739209760.2743075;-45.120503652039325
1739209760.2743096;-45.120503652039325
1739209760.2743118;-45.120503652039325
1739209760.274314;-45.120503652039325
1739209760.2743158;-38.13080360867914
1739209760.274318;-45.120503652039325
1739209760.2743201;-45.120503652039325
1739209760.2743223;-32.816014438256545
1739209760.2743242;-38.13080360867914
1739209760.2743263;-45.120503652039325
1739209760.2743285;-45.120503652039325
1739209760.2743304;-38.13080360867914
1739209760.2743325;-38.13080360867914
1739209760.2743347;-45.120503652039325
1739209760.2743368;-38.13080360867914
1739209760.2743387;-38.13080360867914
1739209760.2743409;-33.981070128970906
1739209760.274343;-38.13080360867914
1739209760.2743452;-38.13080360867914
1739209760.274347;-45.120503652039325
1739209760.2743492;-45.120503652039325
1739209760.2743514;-45.120503652039325
1739209760.2743535;-45.120503652039325
1739209760.2743554;-38.13080360867914
1739209760.2743576;-31.141103565318915
1739209760.2743597;-45.120503652039325
1739209760.2743618;-45.120503652039325
1739209760.2743638;-35.57807855764607
1739209760.274366;-38.13080360867914
1739209760.274368;-38.13080360867914
1739209760.2743702;-38.13080360867914
1739209760.274372;-45.120503652039325
1739209760.2743742;-31.14110356531892
1739209760.2743764;-45.120503652039325
1739209760.2743783;-38.13080360867914
1739209760.2743804;-45.120503652039325
1739209760.2743826;-45.120503652039325
1739209760.2743847;-38.13080360867914
1739209760.2743866;-38.13080360867914
1739209760.2743888;-38.13080360867914
1739209760.274391;-28.992665084841942
1739209760.274393;-38.13080360867914
1739209760.274395;-45.120503652039325
1739209760.2743971;-38.13080360867914
1739209760.2743993;-38.13080360867914
1739209760.2744014;-45.120503652039325
1739209760.2744033;-45.120503652039325
1739209760.2744055;-45.120503652039325
1739209760.2744076;-45.120503652039325
1739209760.2744098;-38.13080360867914
1739209760.2744117;-38.13080360867914
1739209760.2744138;-38.13080360867914
1739209760.274416;-38.13080360867914
1739209760.274418;-45.120503652039325
1739209760.27442;-38.13080360867914
1739209760.2744222;-45.120503652039325
1739209760.2744243;-38.13080360867914
1739209760.2744262;-32.816014438256545
1739209760.2744284;-38.13080360867914
1739209760.2744305;-45.120503652039325
1739209760.2744327;-38.13080360867914
1739209760.2744346;-38.13080360867914
1739209760.2744367;-38.13080360867914
1739209760.2744389;-45.120503652039325
1739209760.274441;-38.13080360867914
1739209760.274443;-35.57807855764607
1739209760.274445;-45.120503652039325
1739209760.2744472;-45.120503652039325
1739209760.2744493;-38.13080360867914
1739209760.2744513;-45.120503652039325
1739209760.2744534;-38.13080360867914
1739209760.2744555;-32.816014438256545
1739209760.2744577;-45.120503652039325
1739209760.2744596;-38.13080360867914
1739209760.2744617;-32.816014438256545
1739209760.274464;-45.120503652039325
1739209760.274466;-45.120503652039325
1739209760.274468;-38.13080360867914
1739209760.27447;-38.13080360867914
1739209760.2744722;-45.120503652039325
1739209760.2744741;-28.992665084841942
1739209760.2744763;-27.8777449560314
1739209760.2744784;-45.120503652039325
1739209760.2744806;-45.120503652039325
1739209760.2744825;-35.57807855764607
1739209760.2744846;-45.120503652039325
1739209760.2744868;-45.120503652039325
1739209760.274489;-33.981070128970906
1739209760.2744908;-38.13080360867914
1739209760.274493;-38.13080360867914
1739209760.2744951;-33.981070128970906
1739209760.2744973;-45.120503652039325
1739209760.2744992;-38.13080360867914
1739209760.2745013;-45.120503652039325
1739209760.2745035;-45.120503652039325
1739209760.2745056;-38.13080360867914
1739209760.2745075;-35.57807855764607
1739209760.2745097;-32.816014438256545
1739209760.2745118;-45.120503652039325
1739209760.274514;-38.13080360867914
1739209760.2745159;-38.13080360867914
1739209760.274518;-45.120503652039325
1739209760.2745202;-38.13080360867914
1739209760.274522;-38.13080360867914
1739209760.2745242;-38.13080360867914
1739209760.2745264;-45.120503652039325
1739209760.2745285;-38.13080360867914
1739209760.2745304;-35.57807855764607
1739209760.2745326;-35.57807855764607
1739209760.2745347;-38.13080360867914
1739209760.2745368;-38.13080360867914
1739209760.2745388;-35.57807855764607
1739209760.274541;-45.120503652039325
1739209760.274543;-45.120503652039325
1739209760.2745452;-38.13080360867914
1739209760.274547;-32.816014438256545
1739209760.2745492;-45.120503652039325
1739209760.2745514;-45.120503652039325
1739209760.2745535;-38.13080360867914
1739209760.2745554;-38.13080360867914
1739209760.2745576;-35.57807855764607
1739209760.2745597;-32.816014438256545
1739209760.274562;-45.120503652039325
1739209760.2745638;-38.13080360867914
1739209760.274566;-33.981070128970906
1739209760.274568;-38.13080360867914
1739209760.27457;-38.13080360867914
1739209760.2745721;-35.57807855764607
1739209760.2745743;-45.120503652039325
1739209760.2745764;-45.120503652039325
1739209760.2745783;-33.981070128970906
1739209760.2745805;-32.816014438256545
1739209760.2745826;-45.120503652039325
1739209760.2745848;-45.120503652039325
1739209760.2745867;-35.57807855764607
1739209760.2745888;-38.13080360867914
1739209760.274591;-45.120503652039325
1739209760.274593;-35.57807855764607
1739209760.274595;-38.13080360867914
1739209760.2745972;-38.13080360867914
1739209760.2745993;-45.120503652039325
1739209760.2746015;-45.120503652039325
1739209760.2746034;-45.120503652039325
1739209760.2746055;-33.981070128970906
1739209760.2746077;-38.13080360867914
1739209760.2746098;-45.120503652039325
1739209760.2746117;-45.120503652039325
1739209760.2746139;-33.981070128970906
1739209760.274616;-38.13080360867914
1739209760.274618;-45.120503652039325
1739209760.27462;-35.57807855764607
1739209760.2746222;-35.57807855764607
1739209760.2746243;-35.57807855764607
1739209760.2746263;-38.13080360867914
1739209760.2746284;-35.57807855764607
1739209760.2746305;-38.13080360867914
1739209760.2746327;-45.120503652039325
1739209760.2746346;-45.120503652039325
1739209760.2746367;-38.13080360867914
1739209760.274639;-45.120503652039325
1739209760.274641;-45.120503652039325
1739209760.274643;-38.13080360867914
1739209760.274645;-38.13080360867914
1739209760.2746472;-38.13080360867914
1739209760.2746494;-38.13080360867914
1739209760.2746513;-38.13080360867914
1739209760.2746534;-38.13080360867914
1739209760.2746556;-38.13080360867914
1739209760.2746577;-45.120503652039325
1739209760.2746596;-38.13080360867914
1739209760.2746618;-33.981070128970906
1739209760.274664;-45.120503652039325
1739209760.274666;-38.13080360867914
1739209760.274668;-45.120503652039325
1739209760.2746701;-45.120503652039325
1739209760.2746723;-45.120503652039325
1739209760.2746742;-45.120503652039325
1739209760.2746763;-45.120503652039325
1739209760.2746785;-45.120503652039325
1739209760.2746806;-45.120503652039325
1739209760.2746825;-45.120503652039325
1739209760.2746847;-38.13080360867914
1739209760.2746868;-38.13080360867914
1739209760.274689;-33.981070128970906
1739209760.2746909;-45.120503652039325
1739209760.274693;-45.120503652039325
1739209760.2746952;-35.57807855764607
1739209760.2746973;-38.13080360867914
1739209760.2746992;-45.120503652039325
1739209760.2747014;-38.13080360867914
1739209760.2747035;-32.816014438256545
1739209760.2747056;-35.57807855764607
1739209760.2747076;-45.120503652039325
1739209760.2747097;-38.13080360867914
1739209760.2747118;-38.13080360867914
1739209760.274714;-45.120503652039325
1739209760.274716;-32.816014438256545
1739209760.274718;-38.13080360867914
1739209760.2747202;-38.13080360867914
1739209760.274722;-38.13080360867914
1739209760.2747242;-38.13080360867914
1739209760.2747264;-45.120503652039325
1739209760.2747285;-33.981070128970906
1739209760.2747304;-45.120503652039325
1739209760.2747326;-45.120503652039325
1739209760.2747347;-38.13080360867914
1739209760.274737;-33.981070128970906
1739209760.2747388;-45.120503652039325
1739209760.274741;-38.13080360867914
1739209760.274743;-38.13080360867914
1739209760.2747452;-29.438486411369347
1739209760.2747471;-45.120503652039325
1739209760.2747493;-45.120503652039325
1739209760.2747514;-45.120503652039325
1739209760.2747536;-45.120503652039325
1739209760.2747555;-45.120503652039325
1739209760.2747576;-38.13080360867914
1739209760.2747598;-38.13080360867914
1739209760.274762;-28.992665084841942
1739209760.2747638;-38.13080360867914
1739209760.274766;-45.120503652039325
1739209760.274768;-45.120503652039325
1739209760.27477;-45.120503652039325
1739209760.2747722;-45.120503652039325
1739209760.2747743;-38.13080360867914
1739209760.2747765;-35.57807855764607
1739209760.2747784;-29.438486411369347
1739209760.2747805;-45.120503652039325
1739209760.2747827;-45.120503652039325
1739209760.2747848;-45.120503652039325
1739209760.2747867;-45.120503652039325
1739209760.2747889;-45.120503652039325
1739209760.274791;-45.120503652039325
1739209760.2747931;-45.120503652039325
1739209760.274795;-27.267205301931607
1739209760.2747972;-33.981070128970906
1739209760.2747993;-45.120503652039325
1739209760.2748015;-45.120503652039325
1739209760.2748034;-33.981070128970906
1739209760.2748055;-45.120503652039325
1739209760.2748077;-45.120503652039325
1739209760.2748098;-38.13080360867914
1739209760.2748117;-35.57807855764607
1739209760.274814;-38.13080360867914
1739209760.274816;-38.13080360867914
1739209760.274818;-45.120503652039325
