CAN Message; 0x1a7:000044151fe610e9
Timestamp;Amplitude
1739209914.8061461;-27.267205301931607
1739209914.8061543;-25.826314394896354
1739209914.806162;-20.695705961394808
1739209914.80617;-24.589719217205094
1739209914.8061779;-28.992665084841942
1739209914.806186;-38.13080360867914
1739209914.8061938;-45.120503652039325
1739209914.8062017;-45.120503652039325
1739209914.8062098;-38.13080360867914
1739209914.8062177;-45.120503652039325
1739209914.8062255;-38.13080360867914
1739209914.8062336;-32.81601443825658
1739209914.8062415;-23.75329798047523
1739209914.8062494;-31.141103565318893
1739209914.8062572;-22.448786368009163
1739209914.8062654;-25.826314394896357
1739209914.8062732;-30.49652367304973
1739209914.806281;-45.120503652039325
1739209914.8062892;-32.816014438256545
1739209914.806297;-33.981070128970906
1739209914.806305;-45.120503652039325
1739209914.806313;-31.141103565318893
1739209914.806321;-35.57807855764607
1739209914.8063288;-28.992665084841942
1739209914.8063366;-28.588378514285886
1739209914.8063447;-29.438486411369354
1739209914.8063526;-33.981070128970906
1739209914.8063605;-28.58837851428586
1739209914.8063686;-29.438486411369333
1739209914.8063765;-45.120503652039325
1739209914.8063843;-35.57807855764607
1739209914.8063922;-33.981070128970906
1739209914.8064003;-38.13080360867914
1739209914.8064082;-35.57807855764607
1739209914.806416;-45.120503652039325
1739209914.8064241;-28.992665084841942
1739209914.806432;-24.438645034577675
1739209914.8064399;-38.13080360867914
1739209914.806448;-27.877744956031414
1739209914.8064559;-18.598040242006057
1739209914.8064637;-24.589719217205094
1739209914.8064716;-45.120503652039325
1739209914.8064797;-29.438486411369333
1739209914.8064876;-45.120503652039325
1739209914.8064954;-38.13080360867914
1739209914.8065035;-45.120503652039325
1739209914.8065114;-33.981070128970906
1739209914.8065193;-31.141103565318893
1739209914.8065271;-27.877744956031414
1739209914.8065352;-25.826314394896364
1739209914.806543;-33.981070128970906
1739209914.806551;-27.87774495603143
1739209914.806559;-33.981070128970956
1739209914.806567;-33.981070128970906
1739209914.8065748;-33.981070128970956
1739209914.806583;-33.981070128970906
1739209914.8065908;-38.13080360867914
1739209914.8065987;-38.13080360867914
1739209914.8066065;-38.13080360867914
1739209914.8066146;-38.13080360867914
1739209914.8066225;-26.487275050834715
1739209914.8066304;-24.589719217205094
1739209914.8066385;-45.120503652039325
1739209914.8066463;-25.077289914212862
1739209914.8066542;-28.992665084841942
1739209914.8066623;-32.816014438256545
1739209914.8066702;-33.981070128970906
1739209914.806678;-45.120503652039325
1739209914.806686;-38.13080360867914
1739209914.806694;-45.120503652039325
1739209914.806702;-45.120503652039325
1739209914.8067098;-45.120503652039325
1739209914.8067179;-45.120503652039325
1739209914.8067257;-38.13080360867914
1739209914.8067336;-35.57807855764607
1739209914.8067415;-45.120503652039325
1739209914.8067496;-45.120503652039325
1739209914.8067575;-45.120503652039325
1739209914.8067653;-38.13080360867914
1739209914.8067734;-38.13080360867914
1739209914.8067813;-35.57807855764607
1739209914.8067892;-45.120503652039325
1739209914.8067973;-45.120503652039325
1739209914.8068051;-38.13080360867914
1739209914.806813;-38.13080360867914
1739209914.8068209;-32.816014438256545
1739209914.806829;-28.58837851428586
1739209914.8068368;-45.120503652039325
1739209914.8068447;-33.981070128970906
1739209914.8068528;-35.57807855764607
1739209914.8068607;-38.13080360867914
1739209914.8068686;-45.120503652039325
1739209914.8068767;-38.13080360867914
1739209914.8068845;-45.120503652039325
1739209914.8068924;-45.120503652039325
1739209914.8069003;-38.13080360867914
1739209914.8069084;-45.120503652039325
1739209914.8069162;-45.120503652039325
1739209914.806924;-45.120503652039325
1739209914.8069322;-45.120503652039325
1739209914.80694;-38.13080360867914
1739209914.806948;-45.120503652039325
1739209914.8069558;-45.120503652039325
1739209914.806964;-45.120503652039325
1739209914.8069718;-38.13080360867914
1739209914.8069797;-45.120503652039325
1739209914.8069878;-45.120503652039325
1739209914.8069956;-38.13080360867914
1739209914.8070035;-38.13080360867914
1739209914.8070116;-38.13080360867914
1739209914.8070195;-35.57807855764607
1739209914.8070273;-38.13080360867914
1739209914.8070352;-38.13080360867914
1739209914.8070433;-38.13080360867914
1739209914.8070512;-32.816014438256545
1739209914.807059;-45.120503652039325
1739209914.8070672;-45.120503652039325
1739209914.807075;-45.120503652039325
1739209914.807083;-45.120503652039325
1739209914.807091;-45.120503652039325
1739209914.8070989;-45.120503652039325
1739209914.8071067;-45.120503652039325
1739209914.8071146;-38.13080360867914
1739209914.8071227;-38.13080360867914
1739209914.8071306;-38.13080360867914
1739209914.8071384;-45.120503652039325
1739209914.8071465;-38.13080360867914
1739209914.8071544;-38.13080360867914
1739209914.8071623;-45.120503652039325
1739209914.8071702;-38.13080360867914
1739209914.8071783;-38.13080360867914
1739209914.8071861;-45.120503652039325
1739209914.807194;-38.13080360867914
1739209914.807202;-38.13080360867914
1739209914.80721;-33.981070128970906
1739209914.8072178;-33.981070128970906
1739209914.807226;-45.120503652039325
1739209914.8072338;-38.13080360867914
1739209914.8072417;-35.57807855764607
1739209914.8072495;-33.981070128970906
1739209914.8072577;-45.120503652039325
1739209914.8072655;-45.120503652039325
1739209914.8072734;-45.120503652039325
1739209914.8072815;-38.13080360867914
1739209914.8072894;-45.120503652039325
1739209914.8072972;-45.120503652039325
1739209914.807305;-45.120503652039325
1739209914.8073132;-38.13080360867914
1739209914.807321;-45.120503652039325
1739209914.807329;-38.13080360867914
1739209914.807337;-28.992665084841942
1739209914.807345;-45.120503652039325
1739209914.8073528;-26.487275050834715
1739209914.807361;-29.438486411369333
1739209914.8073688;-27.8777449560314
1739209914.8073766;-45.120503652039325
1739209914.8073845;-27.8777449560314
1739209914.8073926;-38.13080360867914
1739209914.8074005;-45.120503652039325
1739209914.8074083;-38.13080360867914
1739209914.8074164;-26.03565346325281
1739209914.8074243;-33.981070128970956
1739209914.8074322;-38.13080360867914
1739209914.8074403;-45.120503652039325
1739209914.8074481;-30.49652367304976
1739209914.807456;-28.58837851428586
1739209914.807464;-33.981070128970906
1739209914.807472;-28.992665084841967
1739209914.8074799;-30.49652367304973
1739209914.8074877;-28.58837851428586
1739209914.8074958;-28.21854285175415
1739209914.8075037;-38.13080360867914
1739209914.8075116;-38.13080360867914
1739209914.8075194;-27.8777449560314
1739209914.8075275;-27.267205301931607
1739209914.8075354;-45.120503652039325
1739209914.8075433;-27.267205301931607
1739209914.8075514;-22.740042620751332
1739209914.8075593;-31.141103565318915
