CAN Message; 0x1a7:0000b8c7831576df
Timestamp;Amplitude
1739209683.805905;-33.981070128970906
1739209683.8059103;-35.57807855764607
1739209683.8059154;-45.120503652039325
1739209683.8059206;-38.13080360867914
1739209683.8059256;-38.13080360867914
1739209683.8059306;-45.120503652039325
1739209683.8059359;-45.120503652039325
1739209683.8059409;-35.57807855764607
1739209683.805946;-38.13080360867914
1739209683.805951;-45.120503652039325
1739209683.8059561;-45.120503652039325
1739209683.8059614;-32.816014438256545
1739209683.8059664;-35.57807855764607
1739209683.8059716;-31.141103565318915
1739209683.8059766;-38.13080360867914
1739209683.8059816;-45.120503652039325
1739209683.805987;-38.13080360867914
1739209683.805992;-38.13080360867914
1739209683.8059971;-45.120503652039325
1739209683.8060021;-38.13080360867914
1739209683.8060071;-35.57807855764607
1739209683.8060124;-45.120503652039325
1739209683.8060174;-38.13080360867914
1739209683.8060226;-33.981070128970906
1739209683.8060277;-33.981070128970906
1739209683.8060327;-45.120503652039325
1739209683.806038;-45.120503652039325
1739209683.806043;-45.120503652039325
1739209683.8060482;-45.120503652039325
1739209683.8060532;-45.120503652039325
1739209683.8060582;-38.13080360867914
1739209683.8060634;-38.13080360867914
1739209683.8060684;-35.57807855764607
1739209683.8060737;-38.13080360867914
1739209683.8060787;-38.13080360867914
1739209683.8060837;-35.57807855764607
1739209683.806089;-38.13080360867914
1739209683.806094;-45.120503652039325
1739209683.8060992;-45.120503652039325
1739209683.8061042;-32.816014438256545
1739209683.8061092;-38.13080360867914
1739209683.8061144;-45.120503652039325
1739209683.8061194;-38.13080360867914
1739209683.8061247;-35.57807855764607
1739209683.8061297;-38.13080360867914
1739209683.8061347;-45.120503652039325
1739209683.80614;-38.13080360867914
1739209683.806145;-38.13080360867914
1739209683.8061502;-45.120503652039325
1739209683.8061552;-33.981070128970906
1739209683.8061602;-45.120503652039325
1739209683.8061655;-38.13080360867914
1739209683.8061705;-38.13080360867914
1739209683.8061757;-38.13080360867914
1739209683.8061807;-35.57807855764607
1739209683.8061857;-38.13080360867914
1739209683.806191;-38.13080360867914
1739209683.806196;-38.13080360867914
1739209683.8062012;-45.120503652039325
1739209683.8062062;-38.13080360867914
1739209683.8062112;-33.981070128970906
1739209683.8062165;-45.120503652039325
1739209683.8062215;-45.120503652039325
1739209683.8062267;-32.816014438256545
1739209683.8062317;-38.13080360867914
1739209683.8062367;-38.13080360867914
1739209683.806242;-38.13080360867914
1739209683.806247;-28.58837851428586
1739209683.8062522;-45.120503652039325
1739209683.8062572;-29.438486411369333
1739209683.8062623;-27.8777449560314
1739209683.8062675;-38.13080360867914
1739209683.8062725;-45.120503652039325
1739209683.8062778;-35.57807855764607
1739209683.8062828;-38.13080360867914
1739209683.8062878;-45.120503652039325
1739209683.806293;-38.13080360867914
1739209683.806298;-45.120503652039325
1739209683.8063033;-45.120503652039325
1739209683.8063083;-45.120503652039325
1739209683.8063133;-45.120503652039325
1739209683.8063185;-38.13080360867914
1739209683.8063235;-45.120503652039325
1739209683.8063288;-45.120503652039325
1739209683.8063338;-45.120503652039325
1739209683.8063388;-31.141103565318893
1739209683.806344;-30.49652367304973
1739209683.806349;-45.120503652039325
1739209683.8063543;-45.120503652039325
1739209683.8063593;-32.816014438256545
1739209683.8063643;-30.49652367304973
1739209683.8063695;-45.120503652039325
1739209683.8063745;-38.13080360867914
1739209683.8063798;-45.120503652039325
1739209683.8063848;-45.120503652039325
1739209683.8063898;-45.120503652039325
1739209683.806395;-45.120503652039325
1739209683.8064;-45.120503652039325
1739209683.8064053;-45.120503652039325
1739209683.8064103;-38.13080360867914
1739209683.8064153;-45.120503652039325
1739209683.8064206;-35.57807855764607
1739209683.8064256;-32.816014438256545
1739209683.8064308;-45.120503652039325
1739209683.8064358;-45.120503652039325
1739209683.8064408;-35.57807855764607
1739209683.806446;-38.13080360867914
1739209683.806451;-45.120503652039325
1739209683.8064563;-45.120503652039325
1739209683.8064613;-45.120503652039325
1739209683.8064663;-31.141103565318915
1739209683.8064716;-38.13080360867914
1739209683.8064766;-38.13080360867914
1739209683.8064818;-38.13080360867914
1739209683.8064868;-38.13080360867914
1739209683.8064919;-45.120503652039325
1739209683.806497;-45.120503652039325
1739209683.806502;-45.120503652039325
1739209683.8065073;-45.120503652039325
1739209683.8065124;-45.120503652039325
1739209683.8065174;-45.120503652039325
1739209683.8065226;-38.13080360867914
1739209683.8065276;-45.120503652039325
1739209683.8065329;-45.120503652039325
1739209683.8065379;-45.120503652039325
1739209683.8065429;-38.13080360867914
1739209683.806548;-27.267205301931607
1739209683.8065531;-45.120503652039325
1739209683.8065584;-45.120503652039325
1739209683.8065634;-45.120503652039325
1739209683.8065684;-35.57807855764607
1739209683.8065736;-38.13080360867914
1739209683.8065786;-38.13080360867914
1739209683.806584;-45.120503652039325
1739209683.806589;-31.14110356531892
1739209683.806594;-38.13080360867914
1739209683.8065991;-45.120503652039325
1739209683.8066041;-45.120503652039325
1739209683.8066094;-45.120503652039325
1739209683.8066144;-45.120503652039325
1739209683.8066194;-45.120503652039325
1739209683.8066247;-35.57807855764607
1739209683.8066297;-31.141103565318915
1739209683.806635;-38.13080360867914
1739209683.80664;-38.13080360867914
1739209683.806645;-38.13080360867914
1739209683.8066502;-35.57807855764607
1739209683.8066552;-38.13080360867914
1739209683.8066604;-45.120503652039325
1739209683.8066654;-45.120503652039325
1739209683.8066704;-38.13080360867914
1739209683.8066757;-38.13080360867914
1739209683.8066807;-33.981070128970906
1739209683.806686;-45.120503652039325
1739209683.806691;-45.120503652039325
1739209683.806696;-38.13080360867914
1739209683.8067012;-45.120503652039325
1739209683.8067062;-45.120503652039325
1739209683.8067114;-38.13080360867914
1739209683.8067164;-38.13080360867914
1739209683.8067214;-33.981070128970906
1739209683.8067267;-45.120503652039325
1739209683.8067317;-38.13080360867914
1739209683.806737;-38.13080360867914
1739209683.806742;-38.13080360867914
1739209683.806747;-45.120503652039325
1739209683.8067522;-45.120503652039325
1739209683.8067572;-35.57807855764607
1739209683.8067625;-33.981070128970906
1739209683.8067675;-45.120503652039325
1739209683.8067725;-38.13080360867914
1739209683.8067777;-31.141103565318893
1739209683.8067827;-38.13080360867914
1739209683.8067877;-38.13080360867914
1739209683.806793;-33.981070128970906
1739209683.806798;-33.981070128970906
1739209683.8068032;-33.981070128970906
1739209683.8068082;-45.120503652039325
1739209683.8068132;-45.120503652039325
1739209683.8068185;-45.120503652039325
1739209683.8068235;-38.13080360867914
1739209683.8068287;-45.120503652039325
1739209683.8068337;-38.13080360867914
1739209683.8068388;-45.120503652039325
1739209683.806844;-45.120503652039325
1739209683.806849;-45.120503652039325
1739209683.8068542;-45.120503652039325
1739209683.8068593;-33.981070128970906
1739209683.8068643;-45.120503652039325
1739209683.8068695;-38.13080360867914
1739209683.8068745;-35.57807855764607
1739209683.8068798;-38.13080360867914
1739209683.8068848;-45.120503652039325
1739209683.8068898;-35.57807855764607
1739209683.806895;-38.13080360867914
1739209683.8069;-45.120503652039325
1739209683.8069053;-45.120503652039325
1739209683.8069103;-45.120503652039325
1739209683.8069153;-38.13080360867914
1739209683.8069205;-45.120503652039325
1739209683.8069255;-45.120503652039325
1739209683.8069308;-38.13080360867914
1739209683.8069358;-38.13080360867914
1739209683.8069408;-45.120503652039325
1739209683.806946;-38.13080360867914
1739209683.806951;-38.13080360867914
1739209683.8069563;-38.13080360867914
1739209683.8069613;-45.120503652039325
1739209683.8069663;-45.120503652039325
1739209683.8069715;-45.120503652039325
1739209683.8069766;-38.13080360867914
1739209683.8069818;-38.13080360867914
1739209683.8069868;-45.120503652039325
1739209683.8069918;-35.57807855764607
1739209683.806997;-35.57807855764607
1739209683.807002;-45.120503652039325
1739209683.8070073;-45.120503652039325
1739209683.8070123;-38.13080360867914
1739209683.8070173;-45.120503652039325
1739209683.8070226;-45.120503652039325
1739209683.8070276;-38.13080360867914
1739209683.8070328;-32.816014438256545
1739209683.8070378;-33.981070128970906
1739209683.8070428;-31.141103565318893
1739209683.807048;-35.57807855764607
1739209683.807053;-45.120503652039325
1739209683.8070583;-45.120503652039325
1739209683.8070633;-33.981070128970906
1739209683.8070683;-32.816014438256545
1739209683.8070736;-38.13080360867914
1739209683.8070786;-33.981070128970906
1739209683.8070838;-45.120503652039325
1739209683.8070889;-45.120503652039325
1739209683.8070939;-45.120503652039325
1739209683.807099;-38.13080360867914
1739209683.807104;-38.13080360867914
1739209683.8071094;-38.13080360867914
1739209683.8071144;-38.13080360867914
1739209683.8071194;-38.13080360867914
1739209683.8071246;-35.57807855764607
1739209683.8071296;-33.981070128970906
1739209683.8071349;-38.13080360867914
1739209683.8071399;-45.120503652039325
1739209683.8071449;-35.57807855764607
1739209683.8071501;-32.816014438256545
1739209683.8071551;-45.120503652039325
1739209683.8071604;-45.120503652039325
1739209683.8071654;-45.120503652039325
1739209683.8071704;-45.120503652039325
1739209683.8071756;-31.141103565318893
1739209683.8071806;-38.13080360867914
1739209683.807186;-45.120503652039325
1739209683.807191;-38.13080360867914
1739209683.807196;-38.13080360867914
1739209683.8072011;-38.13080360867914
1739209683.8072062;-45.120503652039325
1739209683.8072114;-45.120503652039325
1739209683.8072164;-45.120503652039325
1739209683.8072214;-38.13080360867914
1739209683.8072267;-35.57807855764607
1739209683.8072317;-33.981070128970906
1739209683.807237;-38.13080360867914
1739209683.807242;-38.13080360867914
1739209683.807247;-45.120503652039325
1739209683.8072522;-45.120503652039325
1739209683.8072572;-45.120503652039325
1739209683.8072624;-45.120503652039325
1739209683.8072674;-33.981070128970956
1739209683.8072724;-45.120503652039325
1739209683.8072777;-38.13080360867914
1739209683.8072827;-45.120503652039325
1739209683.807288;-45.120503652039325
1739209683.807293;-38.13080360867914
1739209683.807298;-38.13080360867914
1739209683.8073032;-45.120503652039325
1739209683.8073082;-32.816014438256545
1739209683.8073134;-35.57807855764607
1739209683.8073184;-45.120503652039325
1739209683.8073235;-45.120503652039325
1739209683.8073287;-38.13080360867914
1739209683.8073337;-28.992665084841942
1739209683.807339;-45.120503652039325
1739209683.807344;-45.120503652039325
1739209683.807349;-35.57807855764607
1739209683.8073542;-32.816014438256545
1739209683.8073592;-45.120503652039325
1739209683.8073645;-45.120503652039325
1739209683.8073695;-45.120503652039325
1739209683.8073745;-33.981070128970956
1739209683.8073797;-45.120503652039325
1739209683.8073847;-45.120503652039325
1739209683.80739;-45.120503652039325
1739209683.807395;-45.120503652039325
1739209683.8074;-45.120503652039325
1739209683.8074052;-45.120503652039325
1739209683.8074102;-38.13080360867914
1739209683.8074155;-31.141103565318915
1739209683.8074205;-38.13080360867914
1739209683.8074255;-38.13080360867914
1739209683.8074307;-35.57807855764607
1739209683.8074358;-33.981070128970906
1739209683.807441;-38.13080360867914
1739209683.807446;-38.13080360867914
1739209683.807451;-38.13080360867914
1739209683.8074563;-38.13080360867914
1739209683.8074613;-38.13080360867914
1739209683.8074665;-45.120503652039325
1739209683.8074715;-45.120503652039325
1739209683.8074765;-45.120503652039325
1739209683.8074818;-45.120503652039325
1739209683.8074868;-45.120503652039325
1739209683.807492;-33.981070128970906
1739209683.807497;-38.13080360867914
1739209683.807502;-45.120503652039325
1739209683.8075073;-38.13080360867914
1739209683.8075123;-38.13080360867914
1739209683.8075175;-45.120503652039325
1739209683.8075225;-45.120503652039325
1739209683.8075275;-45.120503652039325
1739209683.8075328;-45.120503652039325
1739209683.8075378;-27.267205301931607
1739209683.807543;-38.13080360867914
1739209683.807548;-45.120503652039325
1739209683.807553;-45.120503652039325
1739209683.8075583;-38.13080360867914
1739209683.8075633;-35.57807855764607
1739209683.8075686;-38.13080360867914
1739209683.8075736;-45.120503652039325
1739209683.8075786;-31.14110356531892
1739209683.8075838;-38.13080360867914
1739209683.8075888;-45.120503652039325
1739209683.807594;-35.57807855764607
1739209683.807599;-38.13080360867914
1739209683.807604;-45.120503652039325
