CAN Message; 0x150:0300f552ca5c2348
Timestamp;Amplitude
1739209761.1842465;-45.120503652039325
1739209761.184261;-38.13080360867914
1739209761.1842756;-45.120503652039325
1739209761.1842902;-45.120503652039325
1739209761.1843047;-45.120503652039325
1739209761.1843193;-45.120503652039325
1739209761.184334;-45.120503652039325
1739209761.1843486;-38.13080360867914
1739209761.1843631;-38.13080360867914
1739209761.1843777;-45.120503652039325
1739209761.1843922;-27.8777449560314
1739209761.1844068;-28.992665084841942
1739209761.1844213;-45.120503652039325
1739209761.1844358;-35.57807855764607
1739209761.1844506;-35.57807855764607
1739209761.1844652;-38.13080360867914
1739209761.1844797;-45.120503652039325
1739209761.1844943;-38.13080360867914
1739209761.1845088;-45.120503652039325
1739209761.1845233;-45.120503652039325
1739209761.184538;-45.120503652039325
1739209761.1845527;-45.120503652039325
1739209761.1845672;-45.120503652039325
1739209761.1845818;-38.13080360867914
1739209761.1845963;-38.13080360867914
1739209761.1846108;-38.13080360867914
1739209761.1846254;-32.816014438256545
1739209761.18464;-31.141103565318915
1739209761.1846547;-38.13080360867914
1739209761.1846693;-45.120503652039325
1739209761.1846838;-45.120503652039325
1739209761.1846983;-38.13080360867914
1739209761.184713;-45.120503652039325
1739209761.1847274;-45.120503652039325
1739209761.184742;-45.120503652039325
1739209761.1847568;-35.57807855764607
1739209761.1847713;-38.13080360867914
1739209761.1847858;-45.120503652039325
1739209761.1848004;-32.816014438256545
1739209761.184815;-35.57807855764607
1739209761.1848295;-38.13080360867914
1739209761.184844;-45.120503652039325
1739209761.1848588;-45.120503652039325
1739209761.1848733;-45.120503652039325
1739209761.184888;-38.13080360867914
1739209761.1849024;-45.120503652039325
1739209761.184917;-45.120503652039325
1739209761.1849315;-45.120503652039325
1739209761.184946;-45.120503652039325
1739209761.1849608;-38.13080360867914
1739209761.1849754;-45.120503652039325
1739209761.18499;-33.981070128970906
1739209761.1850045;-33.981070128970906
1739209761.185019;-45.120503652039325
1739209761.1850336;-38.13080360867914
1739209761.185048;-33.981070128970906
1739209761.185063;-32.816014438256545
1739209761.1850774;-38.13080360867914
1739209761.185092;-45.120503652039325
1739209761.1851065;-38.13080360867914
1739209761.185121;-38.13080360867914
1739209761.1851356;-45.120503652039325
1739209761.1851501;-32.816014438256545
1739209761.1851647;-45.120503652039325
1739209761.1851795;-38.13080360867914
1739209761.185194;-38.13080360867914
1739209761.1852086;-45.120503652039325
1739209761.185223;-38.13080360867914
1739209761.1852376;-38.13080360867914
1739209761.1852522;-38.13080360867914
1739209761.1852667;-45.120503652039325
1739209761.1852815;-33.981070128970906
1739209761.185296;-33.981070128970906
1739209761.1853106;-33.981070128970906
1739209761.1853251;-45.120503652039325
1739209761.1853397;-38.13080360867914
1739209761.1853542;-35.57807855764607
1739209761.1853688;-38.13080360867914
1739209761.1853836;-45.120503652039325
1739209761.185398;-45.120503652039325
1739209761.1854126;-35.57807855764607
1739209761.1854272;-38.13080360867914
1739209761.1854417;-38.13080360867914
1739209761.1854563;-45.120503652039325
1739209761.1854708;-38.13080360867914
1739209761.1854856;-33.981070128970906
1739209761.1855001;-45.120503652039325
1739209761.1855147;-38.13080360867914
1739209761.1855292;-45.120503652039325
1739209761.1855438;-38.13080360867914
1739209761.1855583;-45.120503652039325
1739209761.1855729;-38.13080360867914
1739209761.1855876;-33.981070128970906
1739209761.1856022;-45.120503652039325
1739209761.1856167;-45.120503652039325
1739209761.1856313;-45.120503652039325
1739209761.1856458;-35.57807855764607
1739209761.1856604;-38.13080360867914
1739209761.185675;-45.120503652039325
1739209761.1856897;-45.120503652039325
1739209761.1857042;-45.120503652039325
1739209761.1857188;-38.13080360867914
1739209761.1857333;-32.816014438256545
1739209761.1857479;-38.13080360867914
1739209761.1857624;-45.120503652039325
1739209761.185777;-38.13080360867914
1739209761.1857915;-45.120503652039325
1739209761.1858063;-38.13080360867914
1739209761.1858208;-32.816014438256545
1739209761.1858354;-45.120503652039325
1739209761.18585;-38.13080360867914
1739209761.1858644;-45.120503652039325
1739209761.185879;-38.13080360867914
1739209761.1858935;-45.120503652039325
1739209761.1859083;-45.120503652039325
1739209761.1859229;-45.120503652039325
1739209761.1859374;-45.120503652039325
1739209761.185952;-45.120503652039325
1739209761.1859665;-45.120503652039325
1739209761.185981;-45.120503652039325
1739209761.1859956;-45.120503652039325
1739209761.1860104;-45.120503652039325
1739209761.186025;-45.120503652039325
1739209761.1860394;-38.13080360867914
1739209761.186054;-45.120503652039325
1739209761.1860685;-35.57807855764607
1739209761.186083;-38.13080360867914
1739209761.1860976;-33.981070128970906
1739209761.1861124;-38.13080360867914
1739209761.186127;-38.13080360867914
1739209761.1861415;-45.120503652039325
1739209761.186156;-38.13080360867914
1739209761.1861706;-32.816014438256545
1739209761.1861851;-38.13080360867914
1739209761.1861997;-45.120503652039325
1739209761.1862144;-45.120503652039325
1739209761.186229;-38.13080360867914
1739209761.1862435;-38.13080360867914
1739209761.186258;-45.120503652039325
1739209761.1862726;-45.120503652039325
1739209761.1862872;-38.13080360867914
1739209761.1863017;-45.120503652039325
1739209761.1863165;-45.120503652039325
1739209761.186331;-38.13080360867914
1739209761.1863456;-38.13080360867914
1739209761.1863601;-45.120503652039325
1739209761.1863747;-38.13080360867914
1739209761.1863892;-45.120503652039325
1739209761.1864038;-26.991370085610736
1739209761.1864183;-35.57807855764607
1739209761.186433;-38.13080360867914
1739209761.1864476;-45.120503652039325
1739209761.1864622;-32.816014438256545
1739209761.1864767;-45.120503652039325
1739209761.1864913;-45.120503652039325
1739209761.1865058;-33.981070128970906
1739209761.1865203;-38.13080360867914
1739209761.1865351;-45.120503652039325
1739209761.1865497;-38.13080360867914
1739209761.1865642;-45.120503652039325
1739209761.1865788;-45.120503652039325
1739209761.1865933;-38.13080360867914
1739209761.1866078;-35.57807855764607
1739209761.1866224;-38.13080360867914
1739209761.1866372;-28.21854285175415
1739209761.1866517;-35.57807855764607
1739209761.1866663;-38.13080360867914
1739209761.1866808;-33.981070128970906
1739209761.1866953;-38.13080360867914
1739209761.18671;-38.13080360867914
1739209761.1867244;-45.120503652039325
1739209761.1867392;-33.981070128970906
1739209761.1867537;-32.81601443825658
1739209761.1867683;-45.120503652039325
1739209761.1867828;-32.816014438256545
1739209761.1867974;-38.13080360867914
1739209761.186812;-45.120503652039325
1739209761.1868265;-45.120503652039325
1739209761.1868412;-38.13080360867914
1739209761.1868558;-45.120503652039325
1739209761.1868703;-27.8777449560314
1739209761.1868849;-32.816014438256545
1739209761.1868994;-45.120503652039325
1739209761.186914;-38.13080360867914
1739209761.1869285;-35.57807855764607
1739209761.1869433;-33.981070128970906
1739209761.1869578;-45.120503652039325
1739209761.1869724;-35.57807855764607
1739209761.186987;-38.13080360867914
1739209761.1870015;-45.120503652039325
1739209761.187016;-38.13080360867914
1739209761.1870306;-38.13080360867914
1739209761.187045;-45.120503652039325
1739209761.1870599;-38.13080360867914
1739209761.1870744;-38.13080360867914
1739209761.187089;-38.13080360867914
1739209761.1871035;-35.57807855764607
1739209761.187118;-45.120503652039325
1739209761.1871326;-45.120503652039325
1739209761.1871471;-45.120503652039325
1739209761.187162;-35.57807855764607
1739209761.1871765;-38.13080360867914
1739209761.187191;-45.120503652039325
1739209761.1872056;-38.13080360867914
1739209761.18722;-35.57807855764607
1739209761.1872346;-33.981070128970906
1739209761.1872492;-38.13080360867914
1739209761.187264;-38.13080360867914
1739209761.1872785;-38.13080360867914
1739209761.187293;-38.13080360867914
1739209761.1873076;-45.120503652039325
1739209761.1873221;-38.13080360867914
1739209761.1873367;-38.13080360867914
1739209761.1873512;-45.120503652039325
1739209761.187366;-45.120503652039325
1739209761.1873806;-38.13080360867914
1739209761.187395;-38.13080360867914
1739209761.1874096;-45.120503652039325
1739209761.1874242;-45.120503652039325
1739209761.1874387;-38.13080360867914
1739209761.1874533;-30.49652367304973
1739209761.187468;-27.267205301931607
1739209761.1874826;-45.120503652039325
1739209761.1874971;-38.13080360867914
1739209761.1875117;-38.13080360867914
1739209761.1875262;-38.13080360867914
1739209761.1875408;-45.120503652039325
1739209761.1875553;-45.120503652039325
1739209761.18757;-45.120503652039325
1739209761.1875846;-32.81601443825658
1739209761.1875992;-38.13080360867914
1739209761.1876137;-45.120503652039325
1739209761.1876283;-38.13080360867914
1739209761.1876428;-38.13080360867914
1739209761.1876574;-45.120503652039325
1739209761.187672;-45.120503652039325
1739209761.1876867;-33.981070128970906
1739209761.1877012;-31.141103565318915
1739209761.1877158;-45.120503652039325
1739209761.1877303;-45.120503652039325
1739209761.1877449;-45.120503652039325
1739209761.1877594;-38.13080360867914
1739209761.187774;-38.13080360867914
1739209761.1877887;-45.120503652039325
1739209761.1878033;-45.120503652039325
1739209761.1878178;-45.120503652039325
1739209761.1878324;-45.120503652039325
1739209761.187847;-45.120503652039325
1739209761.1878614;-38.13080360867914
1739209761.187876;-38.13080360867914
