CAN Message; 0x150:0600220e93b46b85
Timestamp;Amplitude
1739209779.8140924;-38.13080360867914
1739209779.8140996;-45.120503652039325
1739209779.8141065;-33.981070128970906
1739209779.8141134;-38.13080360867914
1739209779.8141205;-45.120503652039325
1739209779.8141274;-45.120503652039325
1739209779.8141344;-38.13080360867914
1739209779.8141415;-35.57807855764607
1739209779.8141484;-45.120503652039325
1739209779.8141553;-45.120503652039325
1739209779.8141625;-38.13080360867914
1739209779.8141694;-38.13080360867914
1739209779.8141763;-38.13080360867914
1739209779.8141835;-38.13080360867914
1739209779.8141904;-38.13080360867914
1739209779.8141973;-38.13080360867914
1739209779.8142042;-45.120503652039325
1739209779.8142114;-32.816014438256545
1739209779.8142183;-45.120503652039325
1739209779.8142252;-45.120503652039325
1739209779.8142323;-45.120503652039325
1739209779.8142393;-38.13080360867914
1739209779.8142462;-45.120503652039325
1739209779.8142533;-45.120503652039325
1739209779.8142602;-38.13080360867914
1739209779.8142672;-38.13080360867914
1739209779.8142743;-31.141103565318893
1739209779.8142812;-29.438486411369333
1739209779.8142881;-45.120503652039325
1739209779.8142953;-45.120503652039325
1739209779.8143022;-45.120503652039325
1739209779.8143091;-45.120503652039325
1739209779.8143163;-45.120503652039325
1739209779.8143232;-32.816014438256545
1739209779.81433;-45.120503652039325
1739209779.8143373;-32.81601443825658
1739209779.8143442;-38.13080360867914
1739209779.814351;-38.13080360867914
1739209779.8143582;-38.13080360867914
1739209779.8143651;-45.120503652039325
1739209779.814372;-38.13080360867914
1739209779.8143792;-45.120503652039325
1739209779.8143861;-38.13080360867914
1739209779.814393;-28.21854285175415
1739209779.8144002;-38.13080360867914
1739209779.814407;-38.13080360867914
1739209779.814414;-33.981070128970906
1739209779.8144212;-38.13080360867914
1739209779.814428;-45.120503652039325
1739209779.814435;-45.120503652039325
1739209779.814442;-45.120503652039325
1739209779.814449;-45.120503652039325
1739209779.814456;-45.120503652039325
1739209779.814463;-38.13080360867914
1739209779.81447;-38.13080360867914
1739209779.814477;-38.13080360867914
1739209779.814484;-38.13080360867914
1739209779.814491;-45.120503652039325
1739209779.814498;-38.13080360867914
1739209779.8145049;-35.57807855764607
1739209779.814512;-38.13080360867914
1739209779.814519;-45.120503652039325
1739209779.8145258;-45.120503652039325
1739209779.814533;-45.120503652039325
1739209779.81454;-38.13080360867914
1739209779.8145468;-45.120503652039325
1739209779.814554;-38.13080360867914
1739209779.814561;-29.438486411369333
1739209779.8145678;-45.120503652039325
1739209779.814575;-45.120503652039325
1739209779.8145819;-38.13080360867914
1739209779.8145888;-31.141103565318915
1739209779.814596;-45.120503652039325
1739209779.8146029;-45.120503652039325
1739209779.8146098;-38.13080360867914
1739209779.814617;-45.120503652039325
1739209779.8146238;-45.120503652039325
1739209779.8146307;-45.120503652039325
1739209779.814638;-33.981070128970906
1739209779.8146448;-33.981070128970906
1739209779.8146517;-33.981070128970906
1739209779.8146589;-45.120503652039325
1739209779.8146658;-38.13080360867914
1739209779.8146727;-35.57807855764607
1739209779.8146796;-38.13080360867914
1739209779.8146868;-45.120503652039325
1739209779.8146937;-38.13080360867914
1739209779.8147006;-38.13080360867914
1739209779.8147078;-45.120503652039325
1739209779.8147147;-45.120503652039325
1739209779.8147216;-38.13080360867914
1739209779.8147287;-45.120503652039325
1739209779.8147357;-45.120503652039325
1739209779.8147426;-45.120503652039325
1739209779.8147497;-38.13080360867914
1739209779.8147566;-35.57807855764607
1739209779.8147635;-33.981070128970906
1739209779.8147707;-45.120503652039325
1739209779.8147776;-45.120503652039325
1739209779.8147845;-38.13080360867914
1739209779.8147917;-28.992665084841942
1739209779.8147986;-32.816014438256545
1739209779.8148055;-38.13080360867914
1739209779.8148127;-45.120503652039325
1739209779.8148196;-33.981070128970906
1739209779.8148265;-38.13080360867914
1739209779.8148336;-38.13080360867914
1739209779.8148406;-38.13080360867914
1739209779.8148475;-38.13080360867914
1739209779.8148546;-45.120503652039325
1739209779.8148615;-38.13080360867914
1739209779.8148685;-38.13080360867914
1739209779.8148756;-38.13080360867914
1739209779.8148825;-38.13080360867914
1739209779.8148894;-38.13080360867914
1739209779.8148963;-45.120503652039325
1739209779.8149035;-31.141103565318915
1739209779.8149104;-32.816014438256545
1739209779.8149173;-45.120503652039325
1739209779.8149245;-38.13080360867914
