CAN Message; 0x1d3:00002d8c1048bf9e
Timestamp;Amplitude
1739209816.7861314;-35.57807855764607
1739209816.786137;-38.13080360867914
1739209816.7861428;-38.13080360867914
1739209816.7861488;-35.57807855764607
1739209816.7861545;-35.57807855764607
1739209816.7861602;-38.13080360867914
1739209816.786166;-45.120503652039325
1739209816.7861717;-38.13080360867914
1739209816.7861774;-45.120503652039325
1739209816.7861834;-38.13080360867914
1739209816.786189;-32.816014438256545
1739209816.7861948;-31.141103565318915
1739209816.7862005;-38.13080360867914
1739209816.7862062;-45.120503652039325
1739209816.786212;-45.120503652039325
1739209816.7862177;-33.981070128970906
1739209816.7862236;-33.981070128970906
1739209816.7862294;-45.120503652039325
1739209816.786235;-45.120503652039325
1739209816.7862408;-38.13080360867914
1739209816.7862465;-45.120503652039325
1739209816.7862523;-45.120503652039325
1739209816.7862582;-45.120503652039325
1739209816.786264;-33.981070128970906
1739209816.7862697;-38.13080360867914
1739209816.7862754;-45.120503652039325
1739209816.786281;-38.13080360867914
1739209816.7862868;-32.816014438256545
1739209816.7862928;-38.13080360867914
1739209816.7862985;-45.120503652039325
1739209816.7863042;-45.120503652039325
1739209816.78631;-45.120503652039325
1739209816.7863157;-45.120503652039325
1739209816.7863214;-45.120503652039325
1739209816.7863271;-45.120503652039325
1739209816.786333;-45.120503652039325
1739209816.7863388;-45.120503652039325
1739209816.7863445;-45.120503652039325
1739209816.7863503;-38.13080360867914
1739209816.786356;-38.13080360867914
1739209816.7863617;-45.120503652039325
1739209816.7863677;-33.981070128970906
1739209816.7863734;-45.120503652039325
1739209816.786379;-45.120503652039325
1739209816.7863848;-45.120503652039325
1739209816.7863905;-35.57807855764607
1739209816.7863963;-45.120503652039325
1739209816.7864022;-38.13080360867914
1739209816.786408;-32.816014438256545
1739209816.7864137;-45.120503652039325
1739209816.7864194;-38.13080360867914
1739209816.786425;-38.13080360867914
1739209816.7864308;-45.120503652039325
1739209816.7864366;-38.13080360867914
1739209816.7864425;-38.13080360867914
1739209816.7864482;-45.120503652039325
1739209816.786454;-45.120503652039325
1739209816.7864597;-38.13080360867914
1739209816.7864654;-38.13080360867914
1739209816.7864711;-45.120503652039325
1739209816.786477;-45.120503652039325
1739209816.7864828;-35.57807855764607
1739209816.7864885;-35.57807855764607
1739209816.7864943;-33.981070128970906
1739209816.7865;-38.13080360867914
1739209816.7865057;-38.13080360867914
1739209816.7865114;-38.13080360867914
1739209816.7865174;-35.57807855764607
1739209816.786523;-32.816014438256545
1739209816.7865288;-45.120503652039325
1739209816.7865345;-38.13080360867914
1739209816.7865403;-38.13080360867914
1739209816.786546;-38.13080360867914
1739209816.786552;-45.120503652039325
1739209816.7865577;-38.13080360867914
