CAN Message; 0x39:0a3d2283953b3c49
Timestamp;Amplitude
1739209885.1476338;-45.120503652039325
1739209885.14764;-45.120503652039325
1739209885.1476464;-38.13080360867914
1739209885.1476529;-45.120503652039325
1739209885.147659;-38.13080360867914
1739209885.1476655;-38.13080360867914
1739209885.147672;-45.120503652039325
1739209885.1476784;-45.120503652039325
1739209885.1476846;-45.120503652039325
1739209885.147691;-38.13080360867914
1739209885.1476974;-38.13080360867914
1739209885.1477036;-45.120503652039325
1739209885.14771;-45.120503652039325
1739209885.1477165;-38.13080360867914
1739209885.1477227;-35.57807855764607
1739209885.1477292;-45.120503652039325
1739209885.1477356;-45.120503652039325
1739209885.1477418;-38.13080360867914
1739209885.1477482;-38.13080360867914
1739209885.1477547;-45.120503652039325
1739209885.1477609;-45.120503652039325
1739209885.1477673;-45.120503652039325
1739209885.1477737;-38.13080360867914
1739209885.1477802;-38.13080360867914
1739209885.1477864;-45.120503652039325
1739209885.1477928;-38.13080360867914
1739209885.1477993;-38.13080360867914
1739209885.1478055;-38.13080360867914
1739209885.147812;-45.120503652039325
1739209885.1478183;-30.49652367304973
1739209885.1478245;-32.816014438256545
1739209885.147831;-45.120503652039325
1739209885.1478374;-38.13080360867914
1739209885.1478436;-35.57807855764607
1739209885.14785;-35.57807855764607
1739209885.1478565;-38.13080360867914
1739209885.147863;-38.13080360867914
1739209885.147869;-45.120503652039325
1739209885.1478755;-45.120503652039325
1739209885.147882;-45.120503652039325
1739209885.1478882;-45.120503652039325
1739209885.1478946;-45.120503652039325
1739209885.147901;-45.120503652039325
1739209885.1479073;-45.120503652039325
1739209885.1479137;-45.120503652039325
1739209885.1479201;-38.13080360867914
1739209885.1479263;-45.120503652039325
1739209885.1479328;-45.120503652039325
1739209885.1479392;-45.120503652039325
1739209885.1479454;-31.141103565318915
1739209885.1479518;-45.120503652039325
1739209885.1479583;-45.120503652039325
1739209885.1479647;-45.120503652039325
1739209885.147971;-30.49652367304973
1739209885.1479774;-30.49652367304973
1739209885.1479838;-45.120503652039325
1739209885.14799;-35.57807855764607
1739209885.1479964;-45.120503652039325
1739209885.1480029;-38.13080360867914
1739209885.148009;-45.120503652039325
1739209885.1480155;-45.120503652039325
1739209885.148022;-45.120503652039325
1739209885.1480281;-45.120503652039325
1739209885.1480346;-45.120503652039325
1739209885.148041;-45.120503652039325
1739209885.1480474;-45.120503652039325
1739209885.1480536;-45.120503652039325
1739209885.14806;-45.120503652039325
1739209885.1480665;-45.120503652039325
1739209885.1480727;-32.816014438256545
1739209885.1480792;-32.816014438256545
1739209885.1480856;-45.120503652039325
1739209885.1480918;-45.120503652039325
1739209885.1480982;-35.57807855764607
1739209885.1481047;-32.816014438256545
1739209885.1481109;-45.120503652039325
1739209885.1481173;-45.120503652039325
1739209885.1481237;-45.120503652039325
1739209885.14813;-45.120503652039325
1739209885.1481364;-45.120503652039325
1739209885.1481428;-45.120503652039325
1739209885.1481493;-35.57807855764607
1739209885.1481555;-38.13080360867914
1739209885.148162;-38.13080360867914
1739209885.1481683;-38.13080360867914
1739209885.1481745;-45.120503652039325
1739209885.148181;-45.120503652039325
1739209885.1481874;-38.13080360867914
1739209885.1481936;-38.13080360867914
1739209885.1482;-45.120503652039325
1739209885.1482065;-45.120503652039325
1739209885.1482127;-33.981070128970906
1739209885.148219;-45.120503652039325
1739209885.1482255;-35.57807855764607
1739209885.1482317;-29.438486411369333
1739209885.1482382;-38.13080360867914
1739209885.1482446;-38.13080360867914
1739209885.148251;-45.120503652039325
1739209885.1482573;-45.120503652039325
1739209885.1482637;-38.13080360867914
1739209885.1482701;-35.57807855764607
1739209885.1482763;-45.120503652039325
1739209885.1482828;-45.120503652039325
1739209885.1482892;-38.13080360867914
1739209885.1482954;-45.120503652039325
1739209885.1483018;-45.120503652039325
1739209885.1483083;-32.816014438256545
1739209885.1483145;-45.120503652039325
1739209885.148321;-38.13080360867914
1739209885.1483274;-38.13080360867914
1739209885.1483338;-45.120503652039325
1739209885.14834;-38.13080360867914
1739209885.1483464;-33.981070128970906
1739209885.1483529;-45.120503652039325
1739209885.148359;-38.13080360867914
1739209885.1483655;-38.13080360867914
1739209885.148372;-45.120503652039325
1739209885.1483781;-38.13080360867914
1739209885.1483846;-32.816014438256545
1739209885.148391;-38.13080360867914
1739209885.1483972;-32.816014438256545
1739209885.1484036;-38.13080360867914
1739209885.14841;-33.981070128970906
1739209885.1484163;-38.13080360867914
1739209885.1484227;-38.13080360867914
1739209885.1484292;-38.13080360867914
1739209885.1484356;-45.120503652039325
1739209885.1484418;-45.120503652039325
1739209885.1484482;-38.13080360867914
1739209885.1484547;-38.13080360867914
1739209885.1484609;-38.13080360867914
1739209885.1484673;-45.120503652039325
1739209885.1484737;-38.13080360867914
1739209885.14848;-35.57807855764607
1739209885.1484864;-45.120503652039325
1739209885.1484928;-38.13080360867914
1739209885.148499;-38.13080360867914
1739209885.1485054;-38.13080360867914
1739209885.148512;-45.120503652039325
1739209885.1485183;-32.816014438256545
1739209885.1485245;-32.816014438256545
1739209885.148531;-38.13080360867914
1739209885.1485374;-38.13080360867914
1739209885.1485436;-38.13080360867914
1739209885.14855;-45.120503652039325
1739209885.1485565;-38.13080360867914
1739209885.1485627;-45.120503652039325
1739209885.148569;-38.13080360867914
1739209885.1485755;-38.13080360867914
1739209885.1485817;-45.120503652039325
1739209885.1485882;-45.120503652039325
1739209885.1485946;-38.13080360867914
1739209885.1486008;-35.57807855764607
1739209885.1486073;-45.120503652039325
1739209885.1486137;-45.120503652039325
1739209885.1486201;-38.13080360867914
1739209885.1486263;-35.57807855764607
1739209885.1486328;-38.13080360867914
1739209885.1486392;-45.120503652039325
1739209885.1486454;-38.13080360867914
1739209885.1486518;-38.13080360867914
1739209885.1486583;-38.13080360867914
1739209885.1486645;-45.120503652039325
1739209885.148671;-38.13080360867914
1739209885.1486773;-35.57807855764607
1739209885.1486835;-35.57807855764607
1739209885.14869;-38.13080360867914
1739209885.1486964;-30.49652367304973
1739209885.1487029;-38.13080360867914
1739209885.148709;-45.120503652039325
1739209885.1487155;-45.120503652039325
1739209885.148722;-38.13080360867914
1739209885.1487281;-38.13080360867914
1739209885.1487346;-45.120503652039325
1739209885.148741;-45.120503652039325
1739209885.1487472;-38.13080360867914
