CAN Message; 0x98:0000f885bbf7b90e
Timestamp;Amplitude
1739209870.81703;-35.57807855764607
1739209870.8170424;-38.13080360867914
1739209870.817055;-38.13080360867914
1739209870.8170676;-45.120503652039325
1739209870.81708;-38.13080360867914
1739209870.8170927;-45.120503652039325
1739209870.8171053;-33.981070128970906
1739209870.817118;-38.13080360867914
1739209870.8171303;-45.120503652039325
1739209870.817143;-45.120503652039325
1739209870.8171556;-45.120503652039325
1739209870.817168;-45.120503652039325
1739209870.8171806;-31.141103565318915
1739209870.8171933;-38.13080360867914
1739209870.8172057;-38.13080360867914
1739209870.8172183;-32.816014438256545
1739209870.817231;-45.120503652039325
1739209870.8172436;-45.120503652039325
1739209870.817256;-45.120503652039325
1739209870.8172686;-45.120503652039325
1739209870.8172812;-38.13080360867914
1739209870.8172936;-38.13080360867914
1739209870.8173063;-45.120503652039325
1739209870.817319;-38.13080360867914
1739209870.8173313;-35.57807855764607
1739209870.817344;-38.13080360867914
1739209870.8173566;-45.120503652039325
1739209870.8173692;-45.120503652039325
1739209870.8173816;-45.120503652039325
1739209870.8173943;-38.13080360867914
1739209870.817407;-35.57807855764607
1739209870.8174193;-35.57807855764607
1739209870.817432;-38.13080360867914
1739209870.8174446;-35.57807855764607
1739209870.817457;-38.13080360867914
1739209870.8174696;-38.13080360867914
1739209870.8174822;-38.13080360867914
1739209870.8174946;-45.120503652039325
1739209870.8175073;-38.13080360867914
1739209870.81752;-45.120503652039325
1739209870.8175325;-45.120503652039325
1739209870.817545;-45.120503652039325
1739209870.8175576;-45.120503652039325
1739209870.8175702;-45.120503652039325
1739209870.8175826;-35.57807855764607
1739209870.8175952;-38.13080360867914
1739209870.8176079;-45.120503652039325
1739209870.8176203;-45.120503652039325
1739209870.817633;-30.49652367304973
1739209870.8176455;-35.57807855764607
1739209870.8176582;-45.120503652039325
1739209870.8176706;-38.13080360867914
1739209870.8176832;-38.13080360867914
1739209870.8176959;-35.57807855764607
1739209870.8177083;-38.13080360867914
1739209870.817721;-45.120503652039325
1739209870.8177335;-45.120503652039325
1739209870.817746;-45.120503652039325
1739209870.8177586;-45.120503652039325
1739209870.8177712;-45.120503652039325
1739209870.8177838;-45.120503652039325
1739209870.8177962;-45.120503652039325
1739209870.8178089;-38.13080360867914
1739209870.8178215;-38.13080360867914
1739209870.817834;-45.120503652039325
1739209870.8178465;-45.120503652039325
1739209870.8178592;-38.13080360867914
1739209870.8178716;-38.13080360867914
1739209870.8178842;-35.57807855764607
1739209870.8178968;-33.981070128970906
1739209870.8179095;-45.120503652039325
1739209870.8179219;-45.120503652039325
1739209870.8179345;-35.57807855764607
1739209870.8179471;-32.816014438256545
1739209870.8179595;-45.120503652039325
1739209870.8179722;-45.120503652039325
1739209870.8179848;-45.120503652039325
1739209870.8179972;-33.981070128970906
1739209870.8180099;-45.120503652039325
1739209870.8180225;-38.13080360867914
1739209870.818035;-38.13080360867914
1739209870.8180475;-38.13080360867914
1739209870.8180602;-38.13080360867914
1739209870.8180728;-45.120503652039325
1739209870.8180852;-45.120503652039325
1739209870.8180978;-33.981070128970956
1739209870.8181105;-45.120503652039325
1739209870.8181229;-45.120503652039325
1739209870.8181355;-38.13080360867914
1739209870.8181481;-45.120503652039325
1739209870.8181605;-38.13080360867914
1739209870.8181732;-45.120503652039325
1739209870.8181858;-38.13080360867914
1739209870.8181984;-31.141103565318915
1739209870.8182108;-35.57807855764607
1739209870.8182235;-35.57807855764607
