CAN Message; 0x150:010019431498b853
Timestamp;Amplitude
1739209865.7841504;-45.120503652039325
1739209865.784159;-35.57807855764607
1739209865.7841673;-45.120503652039325
1739209865.7841759;-38.13080360867914
1739209865.7841842;-38.13080360867914
1739209865.7841928;-33.981070128970906
1739209865.7842011;-45.120503652039325
1739209865.7842097;-38.13080360867914
1739209865.784218;-28.58837851428586
1739209865.7842264;-38.13080360867914
1739209865.784235;-45.120503652039325
1739209865.7842433;-38.13080360867914
1739209865.784252;-32.816014438256545
1739209865.7842603;-38.13080360867914
1739209865.7842689;-45.120503652039325
1739209865.7842772;-45.120503652039325
1739209865.7842858;-45.120503652039325
1739209865.7842941;-45.120503652039325
1739209865.7843027;-45.120503652039325
1739209865.784311;-45.120503652039325
1739209865.7843194;-45.120503652039325
1739209865.784328;-45.120503652039325
1739209865.7843363;-38.13080360867914
1739209865.784345;-38.13080360867914
1739209865.7843533;-38.13080360867914
1739209865.7843618;-45.120503652039325
1739209865.7843702;-45.120503652039325
1739209865.7843788;-38.13080360867914
1739209865.784387;-38.13080360867914
1739209865.7843955;-45.120503652039325
1739209865.784404;-45.120503652039325
1739209865.7844124;-45.120503652039325
1739209865.784421;-38.13080360867914
1739209865.7844293;-38.13080360867914
1739209865.784438;-45.120503652039325
1739209865.7844462;-45.120503652039325
1739209865.7844548;-45.120503652039325
1739209865.7844632;-35.57807855764607
1739209865.7844718;-35.57807855764607
1739209865.78448;-38.13080360867914
1739209865.7844884;-45.120503652039325
1739209865.784497;-38.13080360867914
1739209865.7845054;-38.13080360867914
1739209865.784514;-38.13080360867914
1739209865.7845223;-45.120503652039325
1739209865.7845309;-45.120503652039325
1739209865.7845392;-38.13080360867914
1739209865.7845478;-45.120503652039325
1739209865.7845562;-29.438486411369333
1739209865.7845645;-32.816014438256545
1739209865.784573;-45.120503652039325
1739209865.7845814;-38.13080360867914
1739209865.78459;-35.57807855764607
1739209865.7845984;-38.13080360867914
1739209865.784607;-45.120503652039325
1739209865.7846153;-35.57807855764607
1739209865.7846239;-45.120503652039325
1739209865.7846322;-45.120503652039325
1739209865.7846408;-38.13080360867914
1739209865.7846491;-35.57807855764607
1739209865.7846575;-45.120503652039325
1739209865.784666;-38.13080360867914
1739209865.7846744;-45.120503652039325
1739209865.784683;-45.120503652039325
1739209865.7846913;-38.13080360867914
1739209865.7847;-45.120503652039325
1739209865.7847083;-38.13080360867914
1739209865.7847168;-45.120503652039325
1739209865.7847252;-45.120503652039325
1739209865.7847335;-38.13080360867914
1739209865.784742;-38.13080360867914
1739209865.7847505;-45.120503652039325
1739209865.784759;-31.141103565318893
1739209865.7847674;-32.816014438256545
1739209865.784776;-38.13080360867914
1739209865.7847843;-38.13080360867914
1739209865.784793;-35.57807855764607
1739209865.7848012;-38.13080360867914
1739209865.7848096;-45.120503652039325
1739209865.7848182;-38.13080360867914
1739209865.7848265;-38.13080360867914
1739209865.784835;-45.120503652039325
1739209865.7848434;-38.13080360867914
1739209865.784852;-45.120503652039325
1739209865.7848604;-45.120503652039325
1739209865.784869;-33.981070128970906
1739209865.7848773;-38.13080360867914
1739209865.784886;-45.120503652039325
1739209865.7848942;-32.816014438256545
1739209865.7849026;-32.816014438256545
1739209865.7849112;-45.120503652039325
1739209865.7849195;-45.120503652039325
1739209865.784928;-45.120503652039325
1739209865.7849364;-45.120503652039325
1739209865.784945;-32.816014438256545
1739209865.7849534;-45.120503652039325
1739209865.784962;-38.13080360867914
1739209865.7849703;-35.57807855764607
1739209865.7849786;-38.13080360867914
1739209865.7849872;-38.13080360867914
1739209865.7849956;-45.120503652039325
1739209865.7850041;-45.120503652039325
1739209865.7850125;-45.120503652039325
1739209865.785021;-33.981070128970906
1739209865.7850294;-45.120503652039325
1739209865.785038;-45.120503652039325
1739209865.7850463;-35.57807855764607
1739209865.785055;-35.57807855764607
1739209865.7850633;-38.13080360867914
1739209865.7850716;-33.981070128970906
1739209865.7850802;-45.120503652039325
1739209865.7850885;-45.120503652039325
